	en	fr	es	el	it	ar	de	ja	hu	pt
GRIHO_email	invid@udl.cat	invid@udl.cat	invid@udl.cat	invid@udl.cat	invid@udl.cat	invid@udl.cat	invid@udl.cat	invid@udl.cat	invid@udl.cat	invid@udl.cat
and	and	et	y	και	e	و	und	と	és	e
usfd_part_1	Provided by	Fourni par le	Proporcionado por	Παρέχεται από	Fornito da	مقدمة من قبل	Zur Verfügung gestellt von	提供元	Szolgáltató	Fornecido por
usfd_link	https://cloud.gate.ac.uk/shopfront	https://cloud.gate.ac.uk/shopfront	https://cloud.gate.ac.uk/shopfront	https://cloud.gate.ac.uk/shopfront	https://cloud.gate.ac.uk/shopfront	https://cloud.gate.ac.uk/shopfront	https://cloud.gate.ac.uk/shopfront	https://cloud.gate.ac.uk/shopfront	https://cloud.gate.ac.uk/shopfront	https://cloud.gate.ac.uk/shopfront
usfd_link_label	University of Sheffield	University of Sheffield	University of Sheffield	University of Sheffield	University of Sheffield	University of Sheffield	University of Sheffield	University of Sheffield	University of Sheffield	University of Sheffield
usfd_part_2	To contact us, use the feedback tool.	Pour nous contacter, utilisez l'outil de feedback.	Para ponerse en contacto con nosotros, utilice la herramienta de feedback.	Για να επικοινωνήσετε μαζί μας, χρησιμοποιήστε το εργαλείο σχολίων.	Per contattarci, utilizzare lo strumento Feedback.	للاتصال بنا، استخدم أداة التغذية الراجعة.	Verwenden Sie das Feedback-Tool, um uns zu kontaktieren.	お問い合わせの際は、フィードバックツールをご利用ください。	Kapcsolatfelvételhez használja a visszajelző eszközt.	Para entrar em contato conosco, utilize a ferramenta de feedback.
eudisinfolab_link	https://www.disinfo.eu/	https://www.disinfo.eu/	https://www.disinfo.eu/	https://www.disinfo.eu/	https://www.disinfo.eu/	https://www.disinfo.eu/	https://www.disinfo.eu/	https://www.disinfo.eu/	https://www.disinfo.eu/	https://www.disinfo.eu/
eudisinfolab_link_label	EU DisinfoLab	EU DisinfoLab	EU DisinfoLab	EU DisinfoLab	EU DisinfoLab	EU DisinfoLab	EU Disinfolab	EU DisinfoLab	EU DisinfoLab	EU DisinfoLab
borelli_part_1	Provided by	Fourni par le	Proporcionado por	Παρέχεται από	Fornito da	مقدمة من قبل	Zur Verfügung gestellt von	提供元	Szolgáltató	Fornecido por
borelli_link	https://ens-paris-saclay.fr/en/research/research-laboratories/centre-borelli	https://ens-paris-saclay.fr/recherche/laboratoires-et-instituts/centre-borelli	https://ens-paris-saclay.fr/recherche/laboratoires-et-instituts/centre-borelli	https://ens-paris-saclay.fr/en/research/research-laboratories/centre-borelli	https://ens-paris-saclay.fr/en/research/research-laboratories/centre-borelli	https://ens-paris-saclay.fr/en/research/research-laboratories/centre-borelli	https://ens-paris-saclay.fr/en/research/research-laboratories/centre-borelli	https://ens-paris-saclay.fr/en/research/research-laboratories/centre-borelli	https://ens-paris-saclay.fr/en/research/research-laboratories/centre-borelli	https://ens-paris-saclay.fr/recherche/laboratoires-et-instituts/centre-borelli
borelli_link_label	Borelli Center	Centre Borelli	Centro Borelli	Borelli Center	Borelli Center	Borelli Center	Borelli Center	ボレッリセンター	Borelli Központ	Centro Borelli
borelli_part_2	To contact us, use the feedback tool.	Pour nous contacter, utilisez l'outil de feedback.	Para ponerse en contacto con nosotros, utilice la herramienta de feedback.	Για να επικοινωνήσετε μαζί μας, χρησιμοποιήστε το εργαλείο σχολίων.	Per contattarci, utilizzare lo strumento Feedback.	للاتصال بنا، استخدم أداة التغذية الراجعة.	Verwenden Sie das Feedback-Tool, um uns zu kontaktieren.	お問い合わせの際は、フィードバックツールをご利用ください。	Kapcsolatfelvételhez használja a visszajelző eszközt.	Para entrar em contato conosco, utilize a ferramenta de feedback.
unina_link_label	GRIP UNINA	GRIP UNINA	GRIP UNINA	GRIP UNINA	GRIP UNINA	GRIP UNINA	GRIP UNINA	GRIP UNINA	GRIP UNINA	GRIP UNINA
unina_link	https://www.grip.unina.it	https://www.grip.unina.it	https://www.grip.unina.it	https://www.grip.unina.it	https://www.grip.unina.it	https://www.grip.unina.it	https://www.grip.unina.it	https://www.grip.unina.it	https://www.grip.unina.it	https://www.grip.unina.it
hiya_link_label	Hiya	Hiya	Hiya	Hiya	Hiya	Hiya	Hiya	Hiya	Hiya	Hiya
hiya_link	https://www.hiya.com/products/ai-voice#request-access	https://www.hiya.com/products/ai-voice#request-access	https://www.hiya.com/products/ai-voice#request-access	https://www.hiya.com/products/ai-voice#request-access	https://www.hiya.com/products/ai-voice#request-access	https://www.hiya.com/products/ai-voice#request-access		https://www.hiya.com/products/ai-voice#request-access	https://www.hiya.com/products/ai-voice#request-access	https://www.hiya.com/products/ai-voice#request-access
kinit_link_label	KInIT	KInIT	KInIT	KInIT	KInIT	KInIT	KInIT	KInIT	KInIT	KInIT
kinit_link	https://kinit.sk	https://kinit.sk	https://kinit.sk	https://kinit.sk	https://kinit.sk	https://kinit.sk	https://kinit.sk	https://kinit.sk	https://kinit.sk	https://kinit.sk
viginum_link_label	D3lta (VIGINUM)	D3lta (VIGINUM)	D3lta (VIGINUM)	D3lta (VIGINUM)	D3lta (VIGINUM)	D3lta (VIGINUM)	D3lta (VIGINUM)	D3lta (VIGINUM)	D3lta (VIGINUM)	D3lta (VIGINUM)
viginum_link	https://github.com/VIGINUM-FR/D3lta	https://github.com/VIGINUM-FR/D3lta	https://github.com/VIGINUM-FR/D3lta	https://github.com/VIGINUM-FR/D3lta	https://github.com/VIGINUM-FR/D3lta	https://github.com/VIGINUM-FR/D3lta	https://github.com/VIGINUM-FR/D3lta	https://github.com/VIGINUM-FR/D3lta	https://github.com/VIGINUM-FR/D3lta	https://github.com/VIGINUM-FR/D3lta
coorTweet_link	https://github.com/nicolarighetti/CooRTweet	https://github.com/nicolarighetti/CooRTweet	https://github.com/nicolarighetti/CooRTweet	https://github.com/nicolarighetti/CooRTweet	https://github.com/nicolarighetti/CooRTweet	https://github.com/nicolarighetti/CooRTweet	https://github.com/nicolarighetti/CooRTweet	https://github.com/nicolarighetti/CooRTweet	https://github.com/nicolarighetti/CooRTweet	https://github.com/nicolarighetti/CooRTweet
coorTweet_link_label	CooRTweet	CooRTweet	CooRTweet	CooRTweet	CooRTweet	CooRTweet	CooRTweet	CooRTweet	CooRTweet	CooRTweet
urbino_link	https://github.com/nicolarighetti/CooRTweet	https://github.com/nicolarighetti/CooRTweet	https://github.com/nicolarighetti/CooRTweet	https://github.com/nicolarighetti/CooRTweet	https://github.com/nicolarighetti/CooRTweet	https://github.com/nicolarighetti/CooRTweet	https://github.com/nicolarighetti/CooRTweet	https://github.com/nicolarighetti/CooRTweet	https://github.com/nicolarighetti/CooRTweet	https://github.com/nicolarighetti/CooRTweet
urbino_link_label	CooRTweet	CooRTweet	CooRTweet	CooRTweet	CooRTweet	CooRTweet	CooRTweet	CooRTweet	CooRTweet	CooRTweet

