	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl	rs
AUTHCARD_REQUIREAUTH_TEXT	Please login in order to access this service.	Veuillez vous identifier pour accéder au service.	Por favor identifíquese para acceder a este servicio.	Παρακαλώ συνδεθείτε για να αποκτήσετε πρόσβαση σε αυτή την υπηρεσία.	Effettua il login per accedere a questo servizio.	يرجى تسجيل الدخول للوصول إلى هذه الخدمة.	Bitte melden Sie sich an, um auf diesen Dienst zuzugreifen.	このサービスにアクセスするにはログインしてください。	Kérjük, jelentkezzen be a szolgáltatás eléréséhez.	Por favor, identifique-se para acessar este serviço.	Molimo prijavite se kako biste pristupili ovoj usluzi.	Za dostop do te storitve se prijavite.	Молимо пријавите се како бисте приступили овој услузи.
AUTHCARD_EXPLANATION_TEXT	Why register ? Due to the high computer load, the use of this feature is restricted to journalists, fact-checkers and researchers. You need to register first and once your registration has been approved, you will be able to request the access code to use the advanced tools. We DO NOT store personal data and will NOT use your email for any other purpose. In case of problem, use the feedback button.	Pourquoi s'enregistrer ? En raison de la charge informatique élevée, l'utilisation de ce module est réservée aux journalistes, aux fact-checkers et aux chercheurs. Vous devez d'abord vous inscrire et, une fois votre inscription approuvée, vous pourrez demander le code d'accès pour utiliser les outils avancés. Nous ne stockons pas de données personnelles et votre adresse mail ne sera pas utilisée en dehors de ce service. En cas de problème, utilisez le bouton de Feedback.	¿Por que registrarse? Debido a la alta carga informática, el uso de este modulo está limitado a los periodistas, verificadores e investigadores. Es necesario registrarse primero y una vez que su registro haya sido aprobado, podrá solicitar un código de acceso para utilizar las herramientas avanzadas. No hacemos uso de sus datos personales o de su correo fuera de este servicio. En caso de problema, utilice el botón de feedback.	Γιατί να εγγραφείτε; Για να αποκτήσετε πρόσβαση σε αυτή την υπηρεσία, θα πρέπει να εγγραφείτε. Πρέπει πρώτα να εγγραφείτε και μόλις εγκριθεί η εγγραφή σας, θα μπορέσετε να ζητήσετε τον κωδικό πρόσβασης για να χρησιμοποιήσετε τα προηγμένα εργαλεία. Στη συνέχεια θα μπορείτε να ζητήσετε έναν κωδικό πρόσβασης για να συνδεθείτε. Σε περίπτωση προβλήματος, χρησιμοποιήστε το κουμπί ανατροφοδότησης.	Perché registrarsi? A causa del carico informatico elevato, l'uso di questa funzione è limitato a giornalisti, factcheckers e ricercatori. È necessario registrarsi prima e una volta che la registrazione è stata approvata, sarai in grado di richiedere il codice di accesso per utilizzare gli strumenti avanzati. Non memorizziamo i dati personali e non useremo la tua email per nessun altro scopo. In caso di problemi, utilizzare il pulsante di feedback.	لماذا التسجيل؟ نظرًا للعبء الكبير على الكمبيوتر، يقتصر استخدام هذه الميزة على الصحفيين ومدققي الحقائق والباحثين. تحتاج إلى التسجيل أولاً وبمجرد الموافقة على تسجيلك، ستتمكن من طلب رمز الوصول لاستخدام الأدوات المتقدمة. نحن لا نخزن البيانات الشخصية ولن نستخدم بريدك الإلكتروني لأي غرض آخر. في حالة وجود مشكلة، استخدم زر التعليقات.	Warum registrieren? Aufgrund der hohen Computerlast ist die Nutzung dieser Funktion auf Journalisten, Faktenprüfer und Forscher beschränkt. Sie müssen sich zuerst registrieren und sobald Ihre Registrierung genehmigt wurde, können Sie den Zugangscode anfordern, um die erweiterten Tools zu verwenden. Wir speichern KEINE persönlichen Daten und werden Ihre E-Mail-Adresse NICHT für andere Zwecke verwenden. Bei Problemen verwenden Sie die Feedback-Schaltfläche.	なぜ登録するのですか？コンピュータの負荷が高いため、この機能の使用はジャーナリスト、ファクトチェッカー、研究者に制限されています。最初に登録する必要があり、登録が承認されると、高度なツールを使用するためのアクセスコードを要求できます。個人データは保存せず、メールアドレスを他の目的で使用することはありません。問題が発生した場合は、フィードバックボタンを使用してください。	Miért regisztráljon? A nagy számítógépes terhelés miatt ennek a funkciónak a használata újságírókra, tényellenőrzőkre és kutatókra korlátozódik. Először regisztrálnia kell, és miután a regisztrációját jóváhagyták, kérheti a hozzáférési kódot a haladó eszközök használatához. NEM tárolunk személyes adatokat, és NEM használjuk fel e-mail címét semmilyen más célra. Probléma esetén használja a visszajelzés gombot.	Por que se registrar? Devido à alta carga do computador, o uso deste recurso é restrito a jornalistas, verificadores de fatos e pesquisadores. Você precisa se registrar primeiro e, uma vez que seu registro for aprovado, poderá solicitar o código de acesso para usar as ferramentas avançadas. NÃO armazenamos dados pessoais e NÃO usaremos seu e-mail para nenhum outro propósito. Em caso de problema, use o botão de feedback.	Zašto se registrirati? Zbog velikog opterećenja računala, korištenje ove značajke ograničeno je na novinare, provjeravatelje činjenica i istraživače. Morate se prvo registrirati i nakon što vaša registracija bude odobrena, moći ćete zatražiti pristupni kod za korištenje naprednih alata. NE pohranjujemo osobne podatke i NEćemo koristiti vašu e-poštu u bilo koju drugu svrhu. U slučaju problema, koristite gumb za povratne informacije.	Zakaj se registrirati? Zaradi velike obremenitve računalnika je uporaba te funkcije omejena na novinarje, preverjevalce dejstev in raziskovalce. Najprej se morate registrirati in ko bo vaša registracija odobrena, boste lahko zahtevali kodo za dostop za uporabo naprednih orodij. OSEBNIH podatkov NE shranjujemo in vašega e-poštnega naslova NE bomo uporabljali za noben drug namen. V primeru težav uporabite gumb za povratne informacije.	Зашто се регистрирати? Због великог оптерећења рачунала, кориштење ове значајке ограничено је на новинаре, провјераватеље чињеница и истраживаче. Морате се прво регистрирати и након што ваша регистрација буде одобрена, моћи ћете затражити приступни код за кориштење напредних алата. НЕ похрањујемо особне податке и НЕћемо користити вашу е-пошту у било коју другу сврху. У случају проблема, користите гумб за повратне информације.
REGISTRATIONFORM_TITLE	Not already registered? Register for an access to the service:	Pas encore de compte ? Demandez un accès au service:	No se ha registrado? Registrese para acceder al servicio:	Δεν έχετε εγγραφεί; Εγγραφείτε για πρόσβαση στην υπηρεσία:	Non sei già registrato? Registrati per un accesso al servizio:	لم يتم تسجيلها بالفعل؟ سجل للوصول إلى الخدمة:	Nicht schon registriert? Registrieren Sie sich für einen Zugriff auf den Dienst:	まだ登録されていませんか? サービスへのアクセスを登録します。	Még nem regisztrált? Regisztráljon a szolgáltatáshoz való hozzáféréshez:	Ainda não se cadastrou? Cadastre-se para acessar o serviço:	Niste još registrirani? Registrirajte se za pristup usluzi:	Se še niste registrirali? Registrirajte se za dostop do storitve:	Нисте још регистрирани? Регистрирајте се за приступ услузи:
REGISTRATIONFORM_EMAIL_LABEL	Email	Courriel	Correo electrónico	Ηλεκτρονική διεύθυνση	E-mail	البريد الإلكتروني	Email	電子メール	E-mail	E-mail	E-mail	E-naslov	Е-маил
REGISTRATIONFORM_EMAIL_PLACEHOLDER	Enter your email address	Saisissez votre adresse de courrier électronique	Introduzca su dirección de correo electrónico	Εισάγετε τη διευθύνση του ηλεκτρονικού ταχυδρομείου σας	Inserisci il tuo indirizzo email	أدخل عنوان بريدك الالكتروني	Geben sie ihre E-Mailadresse ein	メールアドレスを入力してください	Adja meg az e-mail címét	Insira seu endereço de e-mail	Unesite svoju email adresu	Vnesite svoj e-poštni naslov	Унесите своју емаил адресу
REGISTRATIONFORM_EMAIL_ERR_REQUIRED	Email address is required	Veuillez saisir une adresse de courrier électronique	Se requiere una dirección de correo electrónico	Απαιτείται διεύθυνση ηλεκτρονικού ταχυδρομείου	L'indirizzo email è richiesto	عنوان البريد الإلكتروني مطلوب	E-Mailadresse wird benötigt	メールアドレスは必須です	E-mail cím megadása kötelező	Um endereço de e-mail é obrigatório	Potrebna je adresa e-pošte	E-poštni naslov je obvezen	Потребна је адреса е-поште
REGISTRATIONFORM_EMAIL_ERR_EMAIL	Email address must be valid	L'adresse email est invalide	La dirección de correo electrónico debe ser válido	Η διεύθυνση ηλεκτρονικού ταχυδρομείου πρέπει να είναι έγκυρη	L'indirizzo email deve essere valido	يجب أن يكون عنوان البريد الإلكتروني صالحًا	Die E -Mail -Adresse muss gültig sein	メールアドレスは有効である必要があります	Az e-mail címnek érvényesnek kell lennie	O endereço de e-mail deve ser válido	Adresa e-pošte mora biti važeća	E-poštni naslov mora biti veljaven	Адреса е-поште мора бити важећа
REGISTRATIONFORM_FIRSTNAME_LABEL	First name	Prénom	Nombre	Ονομα	Nome	الاسم الاول	Vorname	名	Keresztnév	Nome	Ime	Ime	Име
REGISTRATIONFORM_FIRSTNAME_PLACEHOLDER	Enter your first name	Saisissez votre prénom	Ponga su nombre	Πληκτρολογήστε το όνομα σας	Inserisci il tuo nome	أدخل اسمك الأول	Geben Sie Ihren Vornamen ein	あなたの名を入力してください	Adja meg a keresztnevét	Insira seu nome	Unesite svoje ime	Vnesite svoje ime	Унесите своје име
REGISTRATIONFORM_FIRSTNAME_ERR_REQUIRED	First name is required	Veuillez saisir votre prénom	Se requiere el nombre	Απαιτείται όνομα	Il nome è richiesto	الإسم الأول مطلوب	Vorname ist erforderlich	名は必須です	Keresztnév megadása kötelező	O nome é obrigatório	Ime je obavezno	Ime je obvezno	Име је обавезно
REGISTRATIONFORM_LASTNAME_LABEL	Last name	Nom	Apellido(s)	Επίθετο	Cognome	الاسم الأخير	Familienname, Nachname	姓	Vezetéknév	Sobrenome	Prezime	Priimek	Презиме
REGISTRATIONFORM_LASTNAME_PLACEHOLDER	Enter your last name	Saisissez votre nom	Introduzca su apellido	Πληκτρολογήστε το επώνυμό σας	Inserire il cognome	أدخل اسمك الأخير	Geben Sie Ihren Nachnamen ein	姓を入力してください	Adja meg a vezetéknevét	Insira seu sobrenome	Unesite svoje prezime	Vnesite svoj priimek	Унесите своје презиме
REGISTRATIONFORM_LASTNAME_ERR_REQUIRED	Last name is required	Veuillez saisir votre nom	Se requiere el apellido	Απαιτείται επώνυμο	È richiesto il cognome	إسم العائلة مطلوب	Nachname ist erforderlich	姓は必須です	Vezetéknév megadása kötelező	O sobrenome é obrigatório	Prezime je obavezno	Priimek je obvezen	Презиме је обавезно
REGISTRATIONFORM_ORGANIZATION_LABEL	Organization	Organisation	Organización	Οργανισμός	Organizzazione	المؤسسة	Organisation	組織	Szervezet	Organização	Organizacija	Organizacija	Организација
REGISTRATIONFORM_ORGANIZATION_PLACEHOLDER	Enter your organization name	Saisissez le nom de votre organisation	Introduzca el nombre de la organización	Πληκτρολογήστε το όνομα του οργανισμού σας	Inserisci il nome dell'organizzazione	أدخل اسم مؤسستك	Geben Sie Ihren Organisationsnamen ein	組織名を入力してください	Adja meg a szervezet nevét	Insira o nome da organização	Unesite naziv svoje organizacije	Vnesite ime vaše organizacije	Унесите назив своје организације
REGISTRATIONFORM_ORGANIZATION_ERR_REQUIRED	Organization is required	Veuillez saisir le nom de votre organisation	Se requiere la organización	Απαιτείται οργανισμός	L'organizzazione è richiesta	اسم المؤسسة مطلوب	Organisation ist erforderlich	組織名が必要です	Szervezet megadása kötelező	A organização é obrigatória	Organizacija je obavezna	Organizacija je obvezna	Организација је обавезна
REGISTRATIONFORM_ORGANIZATIONROLE_LABEL	Role	Role	Papel	Ρόλος	Ruolo	دور	Rolle	役職	Szerepkör	Função	Uloga	Vloga	Улога
REGISTRATIONFORM_ORGANIZATIONROLE_REPORTER_LABEL	Reporter	Journaliste	Reportero	Δημοσιογράφος	Reporter	مراسل	ReporterIn	記者	Riporter	Repórter	Novinar	Poročevalec	Новинар
REGISTRATIONFORM_ORGANIZATIONROLE_FAKENEWSCHECKER_LABEL	Fact-checker	Fact-checker	Fact-checker	Ελεγκτής ψευδών ειδήσεων	Fact-Checker	مدقق معلومات	FaktencheckerIn	ファクトチェッカー	Tényellenőr	Verificador de fatos	Provjeravač činjenica	Preverjevalec dejstev	Провјеравач чињеница
REGISTRATIONFORM_ORGANIZATIONROLE_OTHER_LABEL	Other	Autre	Otro	Άλλο	Altro	آخر	Andere	その他	Egyéb	Outro	Drugo	Drugo	Друго
REGISTRATIONFORM_ORGANIZATIONROLE_PLACEHOLDER	Select your role within organization	Sélectionnez votre role au sein de l'organisation	Seleccione su papel dentro de la organización	Επιλέξτε το ρόλο σας στον οργανισμό	Seleziona il tuo ruolo all'interno dell'organizzazione	حدد دورك داخل المؤسسة	Wählen Sie Ihre Rolle in der Organisation aus	組織内での役割を選択してください	Válassza ki a szervezeten belüli szerepkörét	Selecione sua função dentro da organização	Odaberite svoju ulogu u organizaciji	Izberite svojo vlogo v organizaciji	Одаберите своју улогу у организацији
REGISTRATIONFORM_ORGANIZATIONROLE_ERR_REQUIRED	Role within organization is required	Veuillez sélectionner votre role au sein de l'organisation	Precise su papel dentro de la organización	Ο ρόλος εντός του οργανισμού είναι απαραίτητος	È richiesto un ruolo all'interno dell'organizzazione	دورك داخل المؤسسة مطلوب	Rolle innerhalb der Organisation ist erforderlich	組織内での役割が必要です	A szervezeten belüli szerepkör megadása kötelező	Especifique sua função dentro da organização	Potrebna je uloga unutar organizacije	Vloga v organizaciji je obvezna	Потребна је улога унутар организације
REGISTRATIONFORM_ORGANIZATIONROLEOTHER_LABEL	Role (Other)	Role (Autre)	Papel (Otro)	Ρόλος (Άλλο)	Ruolo (altro)	دور (آخر)	Rolle (andere)	役割（その他）	Szerepkör (Egyéb)	Função (Outro)	Uloga (drugo)	Vloga (drugo)	Улога (друго)
REGISTRATIONFORM_ORGANIZATIONROLEOTHER_PLACEHOLDER	Enter your role within organization	Saisissez votre role au sein de l'organisation	Introduzca su papel dentro de la organización	Πληκτρολογήστε το ρόλο σας στον οργανισμό	Inserisci il tuo ruolo all'interno dell'organizzazione	أدخل دورك داخل المؤسسة	Geben Sie Ihre Rolle in der Organisation ein	組織内での役割を入力してください	Adja meg a szervezeten belüli szerepkörét	Insira sua função dentro da organização	Unesite svoju ulogu u organizaciji	Vnesite svojo vlogo v organizaciji	Унесите своју улогу у организацији
REGISTRATIONFORM_ORGANIZATIONROLEOTHER_ERR_REQUIRED	Please fill in your role within organization	Veuillez saisir votre role au sein de l'organisation	Por favor, introduzca su papel dentro de la organización	Παρακαλούμε συμπληρώστε το ρόλο σας στον οργανισμό	Si prega di compilare il tuo ruolo all'interno dell'organizzazione	يرجى ملء دورك في المؤسسة	Bitte füllen Sie Ihre Rolle in der Organisation aus	組織内でのあなたの役割を記入してください	Kérjük, adja meg a szervezeten belüli szerepkörét	Por favor, insira sua função dentro da organização	Molimo ispunite svoju ulogu u organizaciji	Prosimo, izpolnite svojo vlogo v organizaciji	Молимо испуните своју улогу у организацији
REGISTRATIONFORM_SUBMIT_LABEL	Register	S'enregistrer	Registrarse	Εγγραφή	Registrati	تسجيل	Registrieren	登録する	Regisztráció	Cadastrar	Registrirajte se	Registrirajte se	Регистрирајте се
REGISTRATIONFORM_SUCCESS_TEXT	Your registration request has been sent successfully and will be reviewed shortly by our service. You will receive a notification by email once your account is activated.	Nous avons bien reçu votre demande de compte d'accès et allons la traiter dans les plus brefs délais. Vous serez notifié par email lorsque votre compte sera activé.	Su solicitud de registro ha sido enviada con éxito y será revisada en breve. Usted recibirá una notificación por correo electrónico.	Η αίτηση εγγραφής σας έχει σταλεί με επιτυχία και θα ελεγθεί σύντομα από την υπηρεσία μας. Θα λάβετε μια ειδοποίηση μέσω ηλεκτρονικού ταχυδρομείου όταν ενεργοποιηθεί ο λογαριασμός σας.	La tua richiesta di registrazione è stata inviata con successo e verrà rivista a breve dal nostro servizio. Riceverai una notifica via e-mail una volta attivato il tuo account.	تم إرسال طلب التسجيل الخاص بك بنجاح وسيتم مراجعته قريبًا بواسطة خدمتنا. سوف تتلقى إشعارًا عبر البريد الإلكتروني بمجرد تنشيط حسابك.	Ihre Registrierungsanfrage wurde erfolgreich gesendet und wird in Kürze von unserem Service überprüft. Sie erhalten eine Benachrichtigung per E -Mail, sobald Ihr Konto aktiviert ist.	登録リクエストは正常に送信され、我々のサービスによって間もなく審査されます。アカウントが有効になると、電子メールで通知が届きます。	A regisztrációs kérelme sikeresen elküldve, és szolgáltatásunk hamarosan áttekinti. Az aktiválás után e-mailben értesítést kap.	Sua solicitação de cadastro foi enviada com sucesso e será revisada em breve. Você receberá uma notificação por e-mail.	Vaš zahtjev za registraciju je uspješno poslan i naša će ga služba uskoro pregledati. Primit ćete obavijest e-poštom kada se vaš račun aktivira.	Vaša zahteva za registracijo je bila uspešno poslana in jo bo naša služba kmalu pregledala. Ko bo vaš račun aktiviran, boste prejeli obvestilo po e-pošti.	Ваш захтјев за регистрацију је успјешно послан и наша ће га служба ускоро прегледати. Примит ћете обавијест е-поштом када се ваш рачун активира.
REGISTRATIONFORM_SUCCESS_TITLE	Registration wait for approval	Inscription en attente d'approbation	El registro espera la aprobación	Η εγγραφή περιμένει έγκριση	Registrazione Aspetta l'approvazione	التسجيل ينتظر الموافقة	Registrierungswartung auf die Genehmigung	承認待ち	Regisztráció jóváhagyásra vár	Cadastro aguardando aprovação	Registracija čeka odobrenje	Registracija čaka na odobritev	Регистрација чека одобрење
REGISTRATIONFORM_SUCCESS_RESET_LABEL	New request	Nouvelle demande	Nueva solicitud	Νέο αίτημα	Nuova richiesta	طلب جديد	Neue Anfrage	新しいリクエスト	Új kérelem	Nova solicitação	Novi zahtjev	Nova zahteva	Нови захтјев
ACCESSCODEFORM_TITLE	Already registered? Get an access code:	Déjà inscrit ? Demandez un code d'accès :	¿Ya registrado? Obtener un código de acceso:	Έχετε ήδη εγγραφεί; Πάρτε έναν κωδικό πρόσβασης:	Già registrato? Ottieni un codice di accesso:	مسجل بالفعل؟ احصل على رمز الوصول:	Bereits registriert? Holen Sie sich einen Zugriffscode:	すでに登録されていますか?アクセスコードを取得します。	Már regisztrált? Hozzáférési kód kérése:	Já cadastrado? Obter um código de acesso:	Već ste registrirani? Nabavite pristupni kod:	Že registrirani? Pridobite kodo za dostop:	Већ сте регистрирани? Набавите приступни код:
ACCESSCODEFORM_EMAIL_CHECK	Check your email	Vérifiez votre e-mail	Consulte su correo electrónico	Ελέγξτε το email σας	Controlla la tua email	تحقق من بريدك الالكتروني	Check deine E-Mails	メールを確認してください	Ellenőrizze az e-mailjeit	Verifique seu e-mail	Provjerite svoju e-poštu	Preverite svojo e-pošto	Провјерите своју е-пошту
ACCESSCODEFORM_EMAIL_LABEL	Email	Email	Correo electrónico	Ηλεκτρονική διεύθυνση	E-mail	البريد الإلكتروني	Email	電子メール	E-mail	E-mail	E-mail	E-naslov	Е-маил
ACCESSCODEFORM_EMAIL_PLACEHOLDER	Enter your email address	Saisissez votre adresse mail	Introduzca su dirección de correo electrónico	Πληκτρολογήστε τη διευθύνση του ηλεκτρονικού ταχυδρομείου σας	Inserisci il tuo indirizzo email	أدخل عنوان بريدك الالكتروني	Geben sie ihre E-Mailadresse ein	メールアドレスを入力してください	Adja meg az e-mail címét	Insira seu endereço de e-mail	Unesite svoju email adresu	Vnesite svoj e-poštni naslov	Унесите своју емаил адресу
ACCESSCODEFORM_EMAIL_ERR_REQUIRED	Email address is required	Veuillez saisir une addresse mail	Se precisa una dirección de correo electrónico	Απαιτείται διεύθυνση ηλεκτρονικού ταχυδρομείου	L'indirizzo email è richiesto	عنوان البريد الإلكتروني مطلوب	E-Mailadresse wird benötigt	メールアドレスは必須です	E-mail cím megadása kötelező	É necessário um endereço de e-mail	Potrebna je adresa e-pošte	E-poštni naslov je obvezen	Потребна је адреса е-поште
ACCESSCODEFORM_EMAIL_ERR_EMAIL	A valid fact-checking, media or research organization email address is required	Une adresse électronique valide d'un organisme de fact-checking, d'un média ou d'une organisation de recherche est requise.	Se requiere una dirección de correo electrónico válida de una organización de fact-checking, de medios de comunicación o de investigación.	Απαιτείται έγκυρη διεύθυνση ηλεκτρονικού ταχυδρομείου οργανισμού ελέγχου γεγονότων, μέσων ενημέρωσης ή έρευνας	È richiesto un valido indirizzo di controllo dei fatti, media o organizzazione di ricerca	مطلوب عنوان بريد إلكتروني صالح لمؤسسة تدقيق معلومات أو وسيلة اعلامية أو منظمة البحث	Eine gültige E-Mail-Adresse (für Medien oder Forschungsorganisationen) ist erforderlich	ファクトチェック団体、メディア、研究者の組織のメールアドレスが必要です	Érvényes tényellenőrző, média vagy kutatószervezeti e-mail cím szükséges	É necessário um endereço de e-mail válido de uma organização de verificação de fatos, de mídia ou de pesquisa.	Potrebna je važeća adresa e-pošte organizacije za provjeru činjenica, medijske ili istraživačke organizacije	Potreben je veljaven e-poštni naslov organizacije za preverjanje dejstev, medijske ali raziskovalne organizacije	Потребна је важећа адреса е-поште организације за провјеру чињеница, медијске или истраживачке организације
ACCESSCODEFORM_SUBMIT_LABEL	Get an Access Code	Obtenir un code d'accès	Obtener un código de acceso	Πάρτε έναν κωδικό πρόσβασης	Ottieni un codice di accesso	احصل على رمز الوصول	Holen Sie sich einen Zugriffscode	アクセスコードを取得する	Hozzáférési kód kérése	Obter um código de acesso	Zatražite pristupni kod	Pridobite kodo za dostop	Затражите приступни код
ACCESSCODEFORM_SUCCESS_TEXT	Your access code request has been sent successfully. If your account is valid, you should receive your access code by email in a few minutes.	Nous avons bien reçu votre demande de code d'accès. Si votre compte est actif, vous recevrez votre code par email dans quelques minutes.	Su petición de código de acceso ha sido enviada con éxito. Si su cuenta es válida, debe recibir el código de acceso por correo electrónico en unos pocos minutos.	Το αίτημα σας για κωδικό πρόσβασης έχει σταλεί με επιτυχία. Εάν ο λογαριασμός σας είναι έγκυρος, θα πρέπει να λάβετε τον κωδικό πρόσβασης σας μέσω e-mail μέσα σε λίγα λεπτά.	La tua richiesta di codice di accesso è stata inviata con successo. Se il tuo account è valido, dovresti ricevere il tuo codice di accesso via e-mail in pochi minuti.	تم إرسال طلب رمز الوصول الخاص بك بنجاح. إذا كان حسابك صالحًا، فيجب أن تتلقى رمز الوصول الخاص بك عن طريق البريد الإلكتروني خلال بضع دقائق.	Ihre Zugriffscode -Anfrage wurde erfolgreich gesendet. Wenn Ihr Konto gültig ist, sollten Sie Ihren Zugriffscode in wenigen Minuten per E -Mail erhalten.	アクセスコードのリクエストは正常に送信されました。アカウントが有効であれば、数分以内にアクセスコードが電子メールで届きます。	A hozzáférési kód kérése sikeresen elküldve. Ha a fiókja érvényes, néhány percen belül meg kell kapnia a hozzáférési kódot e-mailben.	Seu pedido de código de acesso foi enviado com sucesso. Se sua conta for válida, você deve receber o código de acesso por e-mail em alguns minutos.	Vaš zahtjev za pristupnim kodom uspješno je poslan. Ako je vaš račun važeći, trebali biste primiti svoj pristupni kod e-poštom za nekoliko minuta.	Vaša zahteva za kodo za dostop je bila uspešno poslana. Če je vaš račun veljaven, bi morali v nekaj minutah po e-pošti prejeti kodo za dostop.	Ваш захтјев за приступним кодом успјешно је послан. Ако је ваш рачун важећи, требали бисте примити свој приступни код е-поштом за неколико минута.
