	en	fr	es	el	ar	de	ja	hu
table_description_urls	"The ${Object.keys(urlTableData).length === 10 ? ""ten most frequently occurring"" : """"} URLs within the selected replies:"	"Le $ {objet.keys (urltabledata) .length === 10? ""Dix les plus fréquents"": """"} URL dans les réponses sélectionnées:"	"El $ {objetos.Keys (urltabledata) .length === 10? ""Diez más frecuentemente ocurriendo"": """"} URLs dentro de las respuestas seleccionadas:"	"Το $ {Object.Keys (URLTADADA). Mength === 10; ""Δέκα πιο συχνά συμβαίνουν"": """"} URL στις επιλεγμένες απαντήσεις:"	"$ {object.keys (urltabledata) .Length === 10؟ ""عشرة أكثر حدوثًا"": """"} عناوين URL ضمن الردود المحددة:"		"${Object.keys(urlTableData).length === 10 ? ""最も頻繁に発生する 10 個"" : """"} 選択した返信内の URL:"	A kiválasztott válaszokban szereplő tíz leggyakrabban előforduló URL:
table_header_screen_name	Screen Name	Nom de l'écran	Nombre de pantalla	Όνομα οθόνης	الاسم الذي سيظهر		ハンドルネーム	Felhasználónév
table_header_tweets	Tweets	Tweet	Tweets	Tweets	تغريدات		ツイート	Tweetek
table_header_url	URL	URL	Url	Url	عنوان URL		URL	URL
table_header_appearances	Appearances	Les apparences	Apariciones	Εμφανίσματα	ظهور	表示		Előfordulások
stance_support	Support	Soutien	Apoyo	Υποστήριξη	الدعم		サポート	Támogatás
stance_query	Query	Requete	Consulta	Ερώτηση	استفسار		クエリ	Kérdés
stance_deny	Disapprove	Désapprouver	Desaprobar	Αποδοκιμάζω	رفض		不許可	Ellentmondás
stance_comment	Comment	Commenter	Comentario	Σχόλιο	تعليق		コメント	Megjegyzés
contains_hashtags	Hashtag	Hashtag	Hashtag	Hashtag	الوسم		ハッシュタグ	Hashtag
contains_user_mentions	User mention	Mentionner l'utilisateur	Mención de usuarios	Ο χρήστης αναφέρει	الإشارة إلى المستخدم		ユーザーのメンション	Felhasználó említése
contains_urls	URL or media	URL ou média	URL o Medios	URL ή μέσα ενημέρωσης	عنوان URL أو الوسائط		URLまたはメディア	URL vagy média
user_overview	Joined Twitter on the ${this.state.created_at} - ${this.state.account_age} days ago	Rejoint Twitter sur le $ {this.state.created_at} - $ {this.state.account_age} il y a quelques jours	Se unió a Twitter en el $ {esta.state.created_at} - $ {este.state.account_age} hace	Προσχώρησε στο Twitter στο $ {Thatate.Created_AT} - $ {This.State.Account_age} Ημέρες πριν	انضم إلى Twitter على $ {this.state.created_at} - $ {this.state.account_age} منذ أيام		${this.state.created_at} - ${this.state.account_age} 日前に Twitter に参加しました	Twitterhez csatlakozott ekkor: ${this.state.created_at} – ${this.state.account_age} napja
the_hashtags	Hashtags	Hashtags	Etiquetas	Hashtags	الوسومات		ハッシュタグ	Hashtag-ek
the_people	Users	Utilisateurs	Usuarios	Χρήστες	المستخدمون		ユーザー	Felhasználók
the_urls	URLs	URL	URLS	Urls	عناوين URL		URL	URL-ek
more_tweets_prefix	It is likely that we are still collecting and processing replies for this tweet. You can	Il est probable que nous collections toujours et que nous traitons des réponses pour ce tweet. Tu peux	Es probable que todavía estemos recopilando y procesando respuestas para este Tweet. Usted puede	Είναι πιθανό ότι εξακολουθούμε να συλλέγουμε και να επεξεργαζόμαστε απαντήσεις για αυτό το tweet. Μπορείς	ما زلنا قيد عملية جمع ومعالجة الردود لهذه التغريدة. 　このツイートに対する返信は、まだ収集および処理中である可能性があります			Valószínű, hogy még gyűjtjük és feldolgozzuk a válaszokat ehhez a Tweethez.  
more_tweets_suffix	the page to check for more replies.	la page pour vérifier plus de réponses.	La página para verificar más respuestas.	τη σελίδα για να ελέγξετε για περισσότερες απαντήσεις.	الصفحة للتحقق من وجود المزيد من الردود		さらに返信があるかどうかを確認するページ	Újratöltheted az oldalt, hogy ellenőrizd, vannak-e új válaszok.
filter_by	Filter by	Filtrer par	Filtrado por	Φιλτράρισμα κατά	مصنف بواسطة		フィルター条件	Szűrés
replies_filter_stance	Categories	Catégories	Categorías	Κατηγορία	الفئات		カテゴリー	Kategóriák
replies_filter_contain	Contains	Contenir	Contiene	Περιέχει	يحتوي على		含まれています	Tartalmazza
replies_filtered	${conversation.number_of_replies.toLocaleString()} Tweets (${filterPercent.toFixed().toLocaleString()}%)	$ {conversation.number_of_replies.tolocalestring ()} Tweets ($ {filtrepercent.tofixed (). Tolocalestring ()}%)	$ {conversation.number_of_replies.tolocalessring ()} tweets ($ {filtercent.tofixed (). TolocalesTring ()}%)	$ {conversation.number_of_replies.tolocalestring ()} tweets ($ {filterpercent.tofixed (). TolocalEstring ()}%)	$ {محادثة		${conversation.number_of_replies.toLocaleString()} ツイート (${filterPercent.toFixed().toLocaleString()}%)	${conversation.number_of_replies.toLocaleString()} Tweet (${filterPercent.toFixed().toLocaleString()}%)
hashtags_summary	${hashtagCount} of the selected replies contain the hashtag #${hashtag}.	$ {hashtagcount} des réponses sélectionnées contiennent le hashtag # $ {HASHTAG}.	$ {Hashtagcount} de las respuestas seleccionadas contienen el hashtag # $ {hashtag}.	$ {hashtagcount} των επιλεγμένων απαντήσεων περιέχουν το hashtag # $ {hashtag}.	 {hashtagcount} من الردود المحددة تحتوي على علامة وسم # {hashtag}.		選択した返信の ${hashtagCount} にはハッシュタグ #${hashtag} が含まれています	A kiválasztott válaszok közül ${hashtagCount} tartalmazza ezt a hashtaget: #${hashtag}.
hashtags_view_on_twitter	View hashtag on Twitter	Voir hashtag sur Twitter	Ve Hashtag en Twitter	Προβολή Hashtag στο Twitter	عرض الوسم على تويتر		Twitterのハッシュタグを見る	Hashtag megtekintése a Twitteren
tweets_loading	Loading...	Chargement...	Cargando...	Φόρτωση...	قيد التحميل		読み込み中...	Betöltés...
tweets_all	That's all the replies, so far...	C'est toutes les réponses, jusqu'à présent ...	Esas son todas las respuestas, hasta ahora ...	Αυτές είναι όλες οι απαντήσεις, μέχρι στιγμής ...	هذه كل الردود، حتى الآن ...		これまでのところ、返信は以上です...	Eddig ezek a válaszok érkeztek...
refresh_reloading	reloading...	Rechargement ...	Recarga ...	Επαναφόρτωση ...	إعادة التحميل ...		リロード中...	újratöltés...
refresh_countdown	Page will automatically reload in ${seconds}s	La page rechargera automatiquement en $ {secondes} s	La página se volverá a cargar automáticamente en $ {segundos} s	Η σελίδα θα επαναφόρτωση αυτόματα σε $ {δευτερόλεπτα} s	سيتم إعادة تحميل الصفحة تلقائيًا في $ {Seconds} s		ページは ${秒}秒以内に自動的に再読み込みされます	Az oldal automatikusan újratöltődik ${seconds} másodperc múlva
user_homepage	Homepage	Page d'accueil	Página principal	Αρχική σελίδα	الصفحة الرئيسية		ホームページ	Főoldal
user_following	Following	Suivant	Siguiente	ΕΠΟΜΕΝΟ	مُتابَعون (أشخاص أو حسابات أتابعها)		フォロー中	Követés
user_followers	Followers	Suiveurs	Seguidores	Οπαδοί	متابِعون		フォロワー	Követők
user_tweets	Tweets	Tweet	Tweets	Tweets	تغريدات		ツイート	Tweetek
user_lists	Lists	Listes	Liza	Τόπος αγώνων	قوائم		リスト	Listák
user_tweets_average	Tweets/Day	Tweets / jour	Tweets / día	Tweets / ημέρα	تغريدات/يوم		ツイート/日	Tweet/nap
hashtags_none	There are no hashtags within the selected replies	Il n'y a pas de hashtags dans les réponses sélectionnées	No hay hashtags dentro de las respuestas seleccionadas.	Δεν υπάρχουν hashtags μέσα στις επιλεγμένες απαντήσεις	لا توجد وسومات  ضمن الردود المحددة		選択した返信にはハッシュタグがありません	A kiválasztott válaszokban nincs hashtag
urls_none	There are no URLs within the selected replies	Il n'y a pas d'URL dans les réponses sélectionnées	No hay URL dentro de las respuestas seleccionadas.	Δεν υπάρχουν διευθύνσεις URL στις επιλεγμένες απαντήσεις	لا توجد عناوين URL ضمن الردود المحددة		選択した返信内に URL はありません	A kiválasztott válaszokban nincs URL
distribution_piechart	Distribution by categories	Distribution par catégories	Distribución por categorías	Διανομή ανά κατηγορίες	التوزيع حسب الفئات		カテゴリ別の分布	Eloszlás kategóriák szerint
distribution_histogram	Distribution over time	Distribution au fil du temps	Distribución a lo largo del tiempo	Διανομή με την πάροδο του χρόνου	التوزيع حسب الوقت		時間の経過に伴う分布	Eloszlás időben
tooltip_piechart	We automatically assign one of four possible labels to each reply based on how they support, refute, query, or just comment on the Tweet. This pie chart shows the proportion of these labels across all the replies to this Tweet, which we have processed so far.	Nous attribuons automatiquement l'une des quatre étiquettes possibles à chaque réponse en fonction de la prise en charge, de réfuter, de la requête ou de commentaire sur le Tweet. Ce graphique à secteurs montre la proportion de ces étiquettes sur toutes les réponses à ce tweet, que nous avons traitées jusqu'à présent.	Asignamos automáticamente una de las cuatro etiquetas posibles a cada respuesta según la forma en que admiten, refutar, consultar, o simplemente comentar en el Tweet. Este gráfico circular muestra la proporción de estas etiquetas en todas las respuestas a este Tweet, que hemos procesado hasta ahora.	Αντιμετωπίζουμε αυτόματα μια από τις τέσσερις πιθανές ετικέτες σε κάθε απάντηση με βάση τον τρόπο υποστήριξης, να αντικρούσει, να το ζητήσει ή απλά να σχολιάσει το tweet. Αυτό το διάγραμμα πίτας δείχνει το ποσοστό αυτών των ετικετών σε όλες τις απαντήσεις σε αυτό το tweet, το οποίο έχουμε επεξεργαστεί μέχρι στιγμής.	نقوم تلقائيًا بتعيين واحدة من أربع ملصقات محتملة لكل رد بناءً على كيفية دعمها أو دحضها أو الاستعلام عنها أو التعليق عليها فقط على التغريدة. يعرض المخطط الدائري هذا نسبة هذه الملصقات عبر جميع الردود على هذه التغريدة، والتي قمنا بمعالجتها حتى الآن.		ツイートに対する支持、反論、疑問、またはコメントに基づいて、各返信に 4 つの可能なラベルのうち 1 つが自動的に割り当てられます。この円グラフは、これまでに処理した、このツイートへのすべての返信におけるラベルの割合を示しています	Automatikusan hozzárendelünk egyet a négy lehetséges címke közül minden válaszhoz annak alapján, hogy az támogatja, megkérdőjelezi, ellentmond vagy egyszerűen csak megjegyzést fűz a Tweethez. Ez a kördiagram ezeknek az arányát mutatja az eddig feldolgozott válaszokban.
tooltip_histogram	This histogram shows how the replies, and thier labels, occur over time. Initially we show 7 days after the tweet, but you can select a different time period by dragging the axis or range selector.	Cet histogramme montre comment les réponses, et leurs étiquettes, surviennent avec le temps. Initialement, nous montrons 7 jours après le Tweet, mais vous pouvez sélectionner une période de temps différente en faisant glisser l'axe ou le sélecteur de plage.	Este histograma muestra cómo las respuestas, y sus etiquetas, ocurren con el tiempo. Inicialmente, mostramos 7 días después del Tweet, pero puede seleccionar un período de tiempo diferente arrastrando el eje o el selector de rango.	Αυτό το ιστόγραμμα δείχνει τον τρόπο με τον οποίο οι απαντήσεις και οι ετικέτες Ther, εμφανίζονται με την πάροδο του χρόνου. Αρχικά παρουσιάζουμε 7 ημέρες μετά το Tweet, αλλά μπορείτε να επιλέξετε μια διαφορετική χρονική περίοδο σύροντας τον επιλογέα άξονα ή εύρους.	يوضح هذا الرسم البياني كيف تحدث الردود والعلامات الخاصة بهم بمرور الوقت. في البداية، يتم العرص بعد 7 أيام من التغريد، ولكن يمكنك تحديد فترة زمنية مختلفة عن طريق سحب المحور أو محدد النطاق.		このヒストグラムは、応答とそのラベルが時間の経過とともにどのように発生するかを示します。最初はツイートから 7 日後が表示されますが、ドラッグすることで別の期間を選択できます	Ez a hisztogram azt mutatja, hogyan oszlanak meg a válaszok (és azok címkéi) az időben. Alapértelmezetten a Tweet utáni első 7 napot jelenítjük meg, de más időintervallumot is kiválaszthatsz az időtengely vagy a tartománykiválasztó húzásával.
tooltip_responses	This section allows you to explore the replies to the Tweet, including the ability to filter the replies to allow you to focus on certain types or content.	Cette section vous permet d'explorer les réponses au Tweet, y compris la possibilité de filtrer les réponses pour vous permettre de vous concentrer sur certains types ou contenus.	Esta sección le permite explorar las respuestas al Tweet, incluida la capacidad de filtrar las respuestas para permitirle centrarse en ciertos tipos o contenido.	Αυτή η ενότητα σάς επιτρέπει να εξερευνήσετε τις απαντήσεις στο Tweet, συμπεριλαμβανομένης της δυνατότητας φιλτράυσης των απαντήσεων για να σας επιτρέψει να εστιάσετε σε ορισμένους τύπους ή περιεχομένου.	يتيح لك هذا القسم استكشاف الردود على تغريدة، بما في ذلك القدرة على تصفية الردود للسماح لك بالتركيز على أنواع أو محتوى معين.		このセクションでは、ツイートへの返信を調べることができます。フィルターを使って特定の種類やコンテンツに焦点を当てる機能も含まれます	Ez a rész lehetővé teszi a válaszok felfedezését, beleértve a szűrési lehetőségeket is, amelyekkel egyes tartalomtípusokra összpontosíthatsz.
statistics_known	Known Replies	Réponses connues	Respuestas conocidas	Γνωστές απαντήσεις	ردود معروفة		既存の応答	Ismert válaszok
statistics_processed	Processed Replies	Réponses traitées	Respuestas procesadas	Επεξεργασμένες απαντήσεις	ردود معالجة		処理された返信	Feldolgozott válaszok
statistics_filtered	Filtered Replies	Réponses filtrées	Respuestas filtradas	Φιλτραρισμένες απαντήσεις	الردود المصفاة (مفلترة)		フィルターされた返信	Szűrt válaszok
