	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl	rs
semantic_search_search_engine_3_description	A Multilingual semantic search, which works the same as the one above, but should be able to work with all common languages, including CEDMO ones, i.e., Slovak, Czech, and Polish.	Une recherche sémantique multilingue, qui fonctionne de la même manière que celle ci-dessus, mais qui devrait être capable de fonctionner avec toutes les langues courantes, y compris les langues CEDMO, c'est-à-dire le slovaque, le tchèque et le polonais.	Una búsqueda semántica multilingüe, que funciona igual que la anterior, pero debería ser capaz de trabajar con todos los idiomas comunes, incluidos los de CEDMO, es decir, eslovaco, checo y polaco.	Μια πολύγλωσση σημασιολογική αναζήτηση, που λειτουργεί με τον ίδιο τρόπο με αυτήν που περιγράφηκε παραπάνω, αλλά πρέπει να είναι σε θέση να λειτουργήσει με όλες τις κοινές γλώσσες, συμπεριλαμβανομένων και εκείνων του CEDMO, δηλαδή του σλοβακικού, τσεχικού και πολωνικού.	Una ricerca semantica multilingue, che funziona allo stesso modo di quella sopra, ma dovrebbe essere in grado di funzionare con tutte le lingue comuni, comprese quelle di CEDMO, cioè slovacco, ceco e polacco.	بحث دلالي متعدد اللغات، يعمل بنفس الطريقة كما الذي أعلاه، ولكن يجب أن يكون قادرًا على العمل مع جميع اللغات الشائعة، بما في ذلك تلك التي تنتمي إلى CEDMO، أي السلوفاكية والتشيكية والبولندية.	Eine mehrsprachige semantische Suche, die genauso funktioniert wie die oben genannte, aber mit allen gängigen Sprachen funktionieren sollte, einschließlich der CEDMO-Sprachen, d. h. Slowakisch, Tschechisch und Polnisch.	多言語セマンティック検索。上記と同じように機能しますが、CEDMO 言語 (スロバキア語、チェコ語、ポーランド語) を含むすべての共通言語で機能する必要があります。	Többnyelvű szemantikus keresés, amely ugyanúgy működik, mint a fenti, de minden általános nyelvvel, beleértve a CEDMO nyelveket, azaz a szlovákot, a csehet és a lengyelt is, működnie kell.	Uma busca semântica multilíngue, que funciona da mesma forma que a anterior, mas deve ser capaz de trabalhar com todos os idiomas comuns, incluindo os do CEDMO, ou seja, eslovaco, tcheco e polonês.	Višejezično semantičko pretraživanje, koje radi na isti način kao i gore navedeno, ali bi trebalo raditi sa svim uobičajenim jezicima, uključujući i one iz CEDMO-a, tj. slovački, češki i poljski.	Večjezično semantično iskanje, ki deluje enako kot zgornje, vendar bi moralo delovati z vsemi običajnimi jeziki, vključno z jeziki CEDMO, tj. slovaščino, češčino in poljščino.	Višejezično semantičko pretraživanje, koje radi na isti način kao i gore navedeno, ali bi trebalo raditi sa svim uobičajenim jezicima, uključujući i one iz CEDMO-a, tj. slovački, češki i poljski.
semantic_search_search_engine_4_description	Finally, a simple English-based keyword-based search (a standard/baseline engine that can provide good results for shorter inputs and can serve for comparison with previous more advanced models).	Enfin, une recherche simple basée sur des mots-clés en anglais (un moteur standard/de base qui peut fournir de bons résultats pour des entrées plus courtes et peut servir de comparaison avec des modèles plus avancés précédents).	Finalmente, una búsqueda simple basada en palabras clave en inglés (un motor estándar/basado en palabras clave que puede proporcionar buenos resultados para entradas más cortas y puede servir para comparar con modelos más avanzados anteriores).	Τέλος, μια απλή αγγλική αναζήτηση βασισμένη σε λέξεις-κλειδιά (ένας κανονικός/βασικός κινητήρας που μπορεί να παρέχει καλά αποτελέσματα για μικρότερες εισόδους και μπορεί να χρησιμοποιηθεί για σύγκριση με προηγούμενα πιο προηγμένα μοντέλα).	Infine, una semplice ricerca basata su parole chiave in inglese (un motore standard/base che può fornire buoni risultati per input più brevi e può servire per il confronto con modelli più avanzati precedenti).	أخيرًا، بحث بسيط يعتمد على الكلمات الرئيسية باللغة الإنجليزية (محرك قياسي/أساسي يمكن أن يوفر نتائج جيدة للمداخل الأقصر ويمكن أن يستخدم للمقارنة مع النماذج المتقدمة السابقة).	Zuletzt eine einfache englischbasierte Stichwortsuche (ein Standard-/Baseline-Motor, der gute Ergebnisse für kürzere Eingaben liefern kann und zur Vergleich mit früheren fortgeschrittenen Modellen dienen kann).	最後に、単純な英語ベースのキーワードベースの検索 (短い入力でも良好な結果が得られ、より高度なモデルとの比較に役立つ標準/ベースラインエンジン)。	Végül egy egyszerű angol alapú kulcsszó alapú keresés (egy szabványos/alapmotor, amely rövidebb bemenetekhez jó eredményeket adhat, és összehasonlításra szolgálhat a korábbi fejlettebb modellekkel).	Finalmente, uma busca simples baseada em palavras-chave em inglês (um motor padrão/baseado em palavras-chave que pode fornecer bons resultados para entradas mais curtas e pode servir para comparação com modelos mais avançados anteriores).	Konačno, jednostavno pretraživanje temeljeno na ključnim riječima na engleskom jeziku (standardni/osnovni mehanizam koji može dati dobre rezultate za kraće unose i može poslužiti za usporedbu s prethodnim naprednijim modelima).	Nazadnje preprosto iskanje po ključnih besedah v angleščini (standardni/osnovni mehanizem, ki lahko zagotovi dobre rezultate za krajše vnose in služi za primerjavo s prejšnjimi naprednejšimi modeli).	Konačno, jednostavno pretraživanje temeljeno na ključnim riječima na engleskom jeziku (standardni/osnovni mehanizam koji može dati dobre rezultate za kraće unose i može poslužiti za usporedbu s prethodnim naprednijim modelima).
semantic_search_sort_relevant	Most relevant	Plus pertinent	Más relevante	Πιο σχετικό	Più rilevante	الأكثر صلة	Am relevantesten	最も関連性の高い	Legrelevánsabb	Mais relevante	Najrelevantnije	Najpomembnejše	Najrelevantnije
semantic_search_sort_desc	Most recent	Plus récent	Más reciente	Πιο πρόσφατο	Più recente	الأحدث	Am aktuellsten	最新	Legújabb	Mais recente	Najnovije	Najnovejše	Najnovije
semantic_search_nb_of_results	results	résultats	resultados	αποτελέσματα	risultati	نتائج	Ergebnisse	結果	eredmények	resultados	rezultata	rezultatov	rezultata
semantic_search_result_claim	Claim:	Revendication :	Reclamación:	Δήλωση:	Reclamo:	مطالبة:	Behauptung:	主張:	Állítás:	Alegação:	Tvrdnja:	Trditev:	Tvrdnja:
semantic_search_result_title	Title:	Titre :	Título:	Τίτλος:	Titolo:	عنوان:	Titel:	タイトル:	Cím:	Título:	Naslov:	Naslov:	Naslov:
semantic_search_result_translated_from	Translated from	Traduit de	Traducido de	Μεταφράστηκε από	Tradotto da	ترجمة من	Übersetzt aus	翻訳	Fordítva innen	Traduzido de	Prevedeno s	Prevedeno iz	Prevedeno s
semantic_search_result_see_original	See original	Voir l'original	Ver original	Δείτε το πρωτότυπο	Vedi originale	انظر الأصلي	Siehe Original	原文を見る	Eredeti megtekintése	Ver original	Vidi original	Oglejte si izvirnik	Vidi original
semantic_search_result_english_translation	Show English Translation	Afficher la traduction anglaise	Mostrar traducción al inglés	Εμφάνιση αγγλικής μετάφρασης	Mostra traduzione in inglese	عرض الترجمة الإنجليزية	Englische Übersetzung anzeigen	英語翻訳を表示	Angol fordítás megjelenítése	Mostrar tradução para o inglês	Prikaži engleski prijevod	Pokaži angleški prevod	Prikaži engleski prijevod
semantic_search_rating	Rating:	Évaluation :	Clasificación:	Αξιολόγηση:	Classificazione:	تصنيف:	Bewertung:	評価:	Értékelés:	Classificação:	Ocjena:	Ocena:	Ocjena:
