	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl	rs
language_slovak	Slovak	Slovaque	Eslovaco	Σλοβακικά	Slovacco	السلوفاكية	Slowakisch	スロバキア語	Szlovák	Eslovaco	Slovački	Slovaščina	Словачки
language_slovenian	Slovenian	Slovène	Esloveno	Σλοβενικά	Sloveno	السلوفينية	Slowenisch	スロベニア語	Szlovén	Esloveno	Slovenski	Slovenščina	Словеначки
language_somali	Somali	Somali	Somalí	Σομαλικά	Somalo	الصومالية	Somali	ソマリ語	Szomáli	Somali	Somalski	Somalščina	Сомалски
language_sotho	Sotho	Sotho	Sotho	Σόθο	Sotho	السوتو	Sotho	ソト語	Szotó	Soto	Soto	Soto	Сото
language_spanish	Spanish	Espagnol	Español	Ισπανικά	Spagnolo	الإسبانية	Spanisch	スペイン語	Spanyol	Espanhol	Španjolski	Španščina	Шпански
language_swahili	Swahili	Swahili	Swahili	Σουαχίλι	Swahili	السواحيلية	Swahili	スワヒリ語	Szuahéli	Suaíli	Svahili	Svahili	Свахили
language_swedish	Swedish	Suédois	Sueco	Σουηδικά	Svedese	السويدية	Schwedisch	スウェーデン語	Svéd	Sueco	Švedski	Švedščina	Шведски
language_thai	Thai	Thaï	Tailandés	Ταϊλανδικά	Tailandese	التايلاندية	Thailändisch	タイ語	Thai	Tailandês	Tajski	Tajščina	Тајландски
language_filipino	Filipino	Philippin	Filipino	Φιλιππινέζικα	Filippino	الفلبينية	Philippinisch	フィリピン語	Filippínó	Filipino	Filipinski	Filipinščina	Филипински
language_turkish	Turkish	Turc	Turco	Τουρκικά	Turco	التركية	Türkisch	トルコ語	Török	Turco	Turski	Turščina	Турски
language_ukrainian	Ukrainian	Ukrainien	Ucraniano	Ουκρανικά	Ucraino	الأوكرانية	Ukrainisch	ウクライナ語	Ukrán	Ucraniano	Ukrajinski	Ukrajinščina	Украјински
language_urdu	Urdu	Ourdou	Urdu	Ουρντού	Urdu	الأردية	Urdu	ウルドゥー語	Urdu	Urdu	Urdu	Urdu	Урду
language_vietnamese	Vietnamese	Vietnamien	Vietnamita	Βιετναμέζικα	Vietnamita	الفيتنامية	Vietnamesisch	ベトナム語	Vietnami	Vietnamita	Vijetnamski	Vietnamščina	Вијетнамски
language_yoruba	Yoruba	Yoruba	Yoruba	Γιορούμπα	Yoruba	اليوروبا	Yoruba	ヨルバ語	Joruba	Iorubá	Joruba	Jorubščina	Јоруба
language_zulu	Zulu	Zoulou	Zulú	Ζουλού	Zulu	الزولو	Zulu	ズールー語	Zulu	Zulu	Zulu	Zulujščina	Зулу
language_italian	Italian	Italien	Italiano	Ιταλικά	Italiano	الإيطالية	Italienisch	イタリア語	Olasz	Italiano	Talijanski	Italijanščina	Италијански
