	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl
twitterStats_media_images	images	images	fotos	εικόνες	immagini	صور	Bilder	写真	képek	fotos	slike	slike
twitterStats_media_videos	videos	vidéos	vídeo	βίντεο	Video	مقاطع فيديو	Videos	動画	videók	vídeo	videozapisi	videoposnetki
twitterStats_media_medias	media	média	medios de comunicación	μεσο ΜΑΖΙΚΗΣ ΕΝΗΜΕΡΩΣΗΣ	media	الوسائط	Medien	メディア	média	mídia	mediji	mediji
twitterStats_media_both	both	les deux	ambos	και τα δύο	entrambi	على حد سواء	beide	両方	mindkettő	ambos	obojica	oboje
twitter_sna_verified	Verified users only:	Utilisateurs verifiés uniquement :	Usuarios verificados únicamente :	Μόνο επαληθευμένοι χρήστες:	Solo utenti verificati:	الحسابات الموثوقة فقط:	Nur verifizierte Benutzer:	認証済ユーザーのみ:	Csak ellenőrzött felhasználók:	Usuários verificados apenas:	Samo provjereni korisnici:	Samo preverjeni uporabniki:
twitterStats_verified_no	no	non	no	ναι	no	لا	nein	いいえ	nem	não	ne	ne
twitterStats_verified_yes	yes	oui	si	οχι	sì	نعم	Ja	はい	igen	sim	da	da
lang_choices	Language:	Langue :	Lengua :	Γλώσσα:	Lingua:	اللغة:	Sprache :	言語:	Nyelv:	Idioma:	Jezik:	Jezik:
lang_all	none	aucun	ninguno	κανένα	nessuna	لا شيء	keiner	なし	nincs	nenhum	nijedan	brez
lang_fr	French	Français	Francés	Γαλλικά	Francese	الفرنسية	Französisch	フランス語	Francia	Francês	Francuski	Francoščina
lang_en	English	Anglais	Inglés	Αγγλικά	Inglese	الإنجليزية	Englisch	英語	Angol	Inglês	Engleski	Angleščina
lang_es	Spanish	Espagnol	Español	Ισπανικά	Spagnolo	الأسبانية	Spanisch	スペイン語	Spanyol	Espanhol	Španjolski	Španščina
lang_ar	Arabic	Arabe	Árabe	Αράβικα	Arabo	العربية	Arabisch	アラビア語	Arab	Árabe	Arapski	Arabščina
lang_de	German	Allemand	Alemán	Γερμανικά	Tedesco	الألمانية	Deutsch	ドイツ語	Német	Alemão	Njemački	Nemščina
lang_it	Italian	Italian	Italiano	Ιταλικά	Italiano	الإيطالية	Italienisch	イタリア語	Olasz	Italiano	Talijanski	Italijanščina
lang_id	Indonesian	Indonesian	Indonesio	Ινδονησιακά	Indonesiano	الأندونيسية	Indonesisch	インドネシア語	Indonéz	Indonésio	Indonezijski	Indonezijščina
lang_pt	Portuguese	Portuguese	Portugués	Πορτογαλικά	Portoghese	البرتغالية	Portugiesisch	ポルトガル語	Portugál	Português	Portugalski	Portugalščina
lang_ko	Korean	Korean	Coreano	Κορεάτικα	Coreano	الكورية	Koreanisch	韓国語	Koreai	Coreano	Korejski	Korejščina
lang_tr	Turkish	Turkish	Turco	Τούρκικα	Turco	التركية	Türkisch	トルコ語	Török	Turco	Turski	Turščina
lang_ru	Russian	Russian	Ruso	Ρώσικα	Russo	الروسية	Russisch	ロシア	Orosz	Russo	Ruski	Ruščina
lang_nl	Dutch	Dutch	Holandés	Ολλανδικά	Olandese	الهولندية	Niederländisch	オランダ語	Holland	Holandês	Nizozemski	Nizozemščina
lang_hi	Hindi	Hindi	Hindú	Χίντι	Hindi	الهندية	Hindi	ヒンディー語	Hindi	Hindi	Hindi	Hindujščina
lang_no	Norwegian	Norwegian	Noruego	Νορβηγικά	Norvegese	النرويجية	Norwegisch	ノルウェー語	Norvég	Norueguês	Norveški	Norveščina
lang_sv	Swedish	Swedish	Sueco	Σουηδικά	Svedese	السويدية	Schwedisch	スウェーデン語	Svéd	Sueco	Švedski	Švedščina
lang_fi	Finnish	Finnish	Finlandés	Φινλανδικά	Finlandese	الفنلندية	Finnisch	フィンランド語	Finn	Finlandês	Finski	Finščina
lang_da	Danish	Danish	Danés	Δανικά	Danese	الدنماركية	Dänisch	デンマーク語	Dán	Dinamarquês	Danski	Danščina
lang_pl	Polish	Polish	Polaco	Πολωνικά	Polacco	البولندية	Polieren	ポーランド語	Lengyel	Polonês	Poljski	Poljščina
lang_hu	Hungarian	Hungarian	Húngaro	Ούγγρικα	Ungherese	المجرية	Ungarisch	ハンガリー語	Magyar	Húngaro	Mađarski	Madžarščina
lang_fa	Farsi	Farsi	Farsi	Φαρσί	Persiano	الفارسية	Farsi	ペルシア語	Perzsa	Farsi	Perzijski	Perzijščina
lang_he	Hebrew	Hebrew	Hebreo	Εβραϊκά	Ebraico	العبرية	Hebräisch	ヘブライ語	Héber	Hebraico	Hebrejski	Hebrejščina
lang_ur	Urdu	Urdu	Urdu	Ουρντού	Urdu	الأردية	Urdu	ウルドゥー語	Urdu	Urdu	Urdu	Urdujščina
lang_th	Thai	Thai	Tailandés	Ταϊλανδέζικα	Tailandese	التايلاندية	Thai	タイ語	Thai	Tailandês	Tajlandski	Tajščina
button_submit	Submit	Envoyer	Enviar	Υποβολή	Invia	إرسال	Einreichen	送信	Küldés	Enviar	Pošlji	Pošlji
default_sna_error	Twitter analysis failed due to an unknown cause.	L'analyse de Twitter a été interrompue pour une raison inconnue.	El análisis de Twitter se ha interrumpido por una causa desconocida.	Η ανάλυση του Twitter απέτυψε λόγω άγνωστης αιτίας.	L'analisi di Twitter non è riuscita a causa di una causa sconosciuta.	فشل تحليل Twitter لسببس غير معروف.	Die Twitter Analyse schlug aufgrund einer unbekannten Ursache fehl.	原因不明のためTwitter解析に失敗しました。	A Twitter elemzése ismeretlen okból meghiúsult.	A análise do Twitter foi interrompida por um motivo desconhecido.	Analiza Twittera nije uspjela zbog nepoznatog uzroka.	Analiza Twitterja ni uspela zaradi neznanega vzroka.
twitterSnaErrorMessage	An error occurred while processing tweets	Une erreur s'est produite lors du traitement des tweets	Se produjo un error en el procesamiento de tweets	Παρουσιάστηκε σφάλμα κατά την επεξεργασία των tweets	Si è verificato un errore durante l'elaborazione dei tweet	حدث خطأ أثناء معالجة التغريدات	Bei der Verarbeitung von Tweets trat ein Fehler auf	ツイートの処理中にエラーが発生しました	Hiba történt a tweetek feldolgozása során	Ocorreu um erro ao processar tweets	Došlo je do pogreške tijekom obrade tweetova	Pri obdelavi tvitov je prišlo do napake.
top_users_pie_chart_title	Most active users	Utilisateurs les plus actifs	Usuarios más activos	Πιο ενεργοί χρήστες	Utenti più attivi	المستخدمون الأكثر نشاطا	Die aktivsten Benutzer	最もアクティブなユーザー	Legaktívabb felhasználók	Usuários mais ativos	Najaktivniji korisnici	Najaktivnejši uporabniki
mention_cloud_chart_title	Most mentioned accounts	Compte les plus mentionnés	Usuarios más mencionados	Λογαριασμοί που έχουν αναφερθεί πιο πολύ	Conti più menzionati	الحسابات الأكثر ذكراً	Am meisten erwähnte Konten	最も言及されたアカウント	Leggyakrabban említett fiókok	Usuários mais mencionados	Najčešće spominjani računi	Najpogosteje omenjeni računi
user_time_chart_title	Propagation timeline	Frise chronologique de propagation	Línea de tiempo de propagación	Χρονοδιάγραμμα διάδοσης	Timeline della propagazione	الجدول الزمني للانتشار	Ausbreitungszeitleiste	拡散のタイムライン	Terjedési idővonal	Linha do tempo de propagação	Vremenska linija širenja	Časovnica širjenja
hashtag_graph_title	Most associated hashtags	Hashtags les plus associés	Hashtags más Asociados	Πιο σχετικά hashtag	Hashtags più associati	الوسوم الأكثر صلة	Die meisten assoziierten Hashtags	最も関連したハッシュタグ	Leggyakrabban társított hashtagek	Hashtags mais associadas	Najčešće povezani hashtagovi	Najpogosteje povezani hashtagi
retweets_cloud_chart_title	Most retweeted users	Utilisateurs les plus retweetés	Usuarios más retweeteados	Χρήστες που έχουν γίνει περισσότερο retweet	Utenti più rettificati	المستخدمون الأكثر إعادة للنشر إو التغريد	Die meisten retweeteten Benutzer	最もリツイートされたユーザー	Legtöbbször retweetelt felhasználók	Usuários mais retweetados	Najviše retweetani korisnici	Najpogosteje retvitani uporabniki
likes_cloud_chart_title	Most liked users	Utilisateurs les plus likés	Usuarios con más likes	Χρήστες που εχουν γίνεi περισσότερο like	Gli utenti con più likes	المستخدمون الأكثر إعجابا	Am meisten mochten Benutzer	最も高く評価されたユーザー	Legkedveltebb felhasználók	Usuários com mais curtidas	Najviše lajkani korisnici	Najbolj všečkani uporabniki
top_words_cloud_chart_title	Most used words in tweets	Mots les plus utilisés dans les tweets	Palabras más utilizadas en tweets	Λέξεις που χρησιμοποιήθηκαν πιο πολύ στα tweets	Parole più usate in tweet	الكلمات الأكثر استخداما في التغريدات	Die meisten verwendeten Wörter in Tweets	ツイートでよく使われる単語	Leggyakrabban használt szavak a tweetekben	Palavras mais utilizadas em tweets	Najčešće korištene riječi u tweetovima	Najpogosteje uporabljene besede v tvitih
sosem_graph_title	Socio-semantic graph (hashtags and mentioned users)	Graphe socio-sémantique (hashtags et utilisateurs mentionnés)	Grafo socio-semantico (hashtags y usuarios mencionados)	Κοινωνικο-σημασιολογικό γράφημα (hashtag και αναφερόμενοι χρήστες)	Grafo socio-semantico (hashtags e utenti menzionati)	الرسم البياني الاجتماعي الدلالي (الوسوم والمستخدمون المشار إليهم)	Sozio-semantische Grafik (Hashtags und genannte Benutzer)	ソーシャルセマンティックグラフ (ハッシュタグと言​​及されたユーザー)	Szocio-szemantikai gráf (hashtagek és említett felhasználók)	Grafo socio-semântico (hashtags e usuários mencionados)	Socio-semantički graf (hashtagovi i spomenuti korisnici)	Socialno-semantični graf (hashtagi in omenjeni uporabniki)
sosem_4mode_graph_title	Socio-semantic graph (hashtags, URLs, mentions, quoted RTs, unedited RTs, replies)	Graphe socio-sémantique (hashtags, URLs, mentions, RTs, RTs avec commentaire, réponses)	Grafo socio-semantico (hashtags, URLs, mencionados, RTs, RTs con comentarios, respuestas)	Κοινωνικο σημασιολογικό γράφημα (hashtag, URLs, αναφορές, RT, RT με σχόλιο, απαντήσεις)	Grafo socio-semantico (hashtags, URL, menzioni, RTS quotato, RTS non modificati, risposte)	الرسم البياني الاجتماعي-الدلالي (الوسوم، وعناوين URL، والإشارات،  RTs التغريدات المقتبسة، RTs التغريدات غير المعدلة، الردود)	Sozio-semantische Grafik (Hashtags, URLs, Erwähnungen, zitierte RTs, unbearbeitete RTs, Antworten)	ソーシャルセマンティックグラフ（ハッシュタグ、URL、メンション、引用RT、未編集RT、返信）	Szocio-szemantikai gráf (hashtagek, URL-ek, említések, idézett RT-k, szerkesztetlen RT-k, válaszok)	Grafo socio-semântico (hashtags, URLs, menções, RTs, RTs com comentários, respostas)	Socio-semantički graf (hashtagovi, URL-ovi, spominjanja, citirani RT-ovi, neuređeni RT-ovi, odgovori)	Socialno-semantični graf (hashtagi, URL-ji, omembe, citirani RT-ji, neurejeni RT-ji, odgovori)
account_creation_date_chart_title	Count of account creation date chart	Graphique des créations de compte	Gráfico de fechas de creación de cuentas	Διάγραμμα των ημερομηνιών δημιουργίας λογαριασμών	Gro della data di creazione del conto	مخطط تاريخ إنشاء الحساب	Zählung der Kontoerstellung Datumskarte	アカウント作成日の数のグラフ	Fióklétrehozási dátum diagram száma	Gráfico de datas de criação de contas	Grafikon broja datuma kreiranja računa	Grafikon števila datumov ustvarjanja računa
bubble_chart_title	Bubble chart of top 100 most active accounts	Graphique des créations de compte	Gráfico de las 100 cuentas más activas	Διάγραμμα φυσαλίδων με τους 100 πιο ενεργούς λογαριασμούς	Grafo dei 100 conti più attivi	مخطط بياني لأفضل 100 حساب الأكثر نشاطًا	Blasendiagramm der 100 aktivsten Konten	最もアクティブなアカウントの上位 100 件のバブル チャート	A 100 legaktívabb fiók buborékdiagramja	Gráfico das 100 contas mais ativas	Balon grafikon 100 najaktivnijih računa	Mehurčkasti grafikon 100 najaktivnejših računov
user_graph_title	User accounts graph	Graphe de comptes utilisateurs	Grafo de cuentas de usuarios	ράφημα λογαριασμών χρηστών	Grafo Account utente	رسم بياني لحسابات المستخدمين	Benutzerkonten -Grafik	ユーザーアカウントのグラフ	Felhasználói fiókok grafikonja	Grafo de contas de usuários	Grafikon korisničkih računa	Graf uporabniških računov
export_graph_title	Export Interaction graph (gexf format)	Exporter un graphe des interactions au format Gexf	Exportar el grafo de interacciones en formato Gexf	Εξαγωγή γραφήματος αλληλεπίδρασης (μορφή gexf)	Esporta grafo delle interazioni (formato GEXF)	تصدير رسم بياني للتفاعل بصيغة Gexf	Export -Interaktionsdiagramm (GEXF -Format)	インタラクショングラフのエクスポート（gexf形式）	Interakciós gráf exportálása (gexf formátum)	Exportar o grafo de interações no formato Gexf	Izvezi grafikon interakcija (gexf format)	Izvozi interakcijski graf (format gexf)
heatmap_chart_title	Heatmap of tweets distribution	Cartographie d'activité	Mapa de actividad	Heatmap της διανομής των tweets	Mappa di calore della distribuzione dei tweet	خريطة حرارية لتوزيع التغريدات	Wärmemap der Tweetsverteilung		ツイート分布のヒートマップ	Tweetek eloszlásának hőtérképe	Mapa de calor de atividade	Toplinska karta distribucije tweetova
elastic_url	Url	Url	Url	Σύνδεσμος	URL	عنوان URL	URL	URL	Url	Url	URL	URL
elastic_count	Number	Nombre	Candidad	Αριθμός	Numero	العدد	Nummer	番号	Szám	Quantidade	Broj	Število
twittersna_result_username	Username	Nom d'utilisateur	Nombre de usuario	Όνομα χρήστη	Nome utente	اسم المستخدم	Nutzername	ユーザー名	Felhasználónév	Nome de usuário	Korisničko ime	Uporabniško ime
twittersna_result_date	Date	Date	Fecha	Ημερομηνία	Data	التاريخ	Datum	日付	Dátum	Data	Datum	Datum
twittersna_result_tweet	Tweet	Tweet	Tweet	Tweet	Tweet	التغريدة	Tweet	ツイート	Tweet	Tweet	Tweet	Tvit
twittersna_result_retweet_nb	Retweet number	Nombre de retweets	Candidad de retweets	Αριθμός Retweets	Numero retweet	عدد مرات إعادة التغريد	Retweet -Nummer	リツイート数	Retweetek száma	Quantidade de retweets	Broj retvitova	Število retvitov
twittersna_result_like_nb	Like number	Nombre de likes	Candidad de ''me gusta''	Αριθμός likes	Numero di like	عدد الإعجابات	Wie Zahl	いいね数	Kedvelések száma	"Quantidade de ""curtidas"""	Broj lajkova	Število všečkov
twittersna_result_hide	Hide	Fermer	Ocultar	Απόκρυψη	Nascondi	إخفاء	Einklappen	隠す	Elrejtés	Ocultar	Sakrij	Skrij
twittersna_result_download	Download	Télécharger	Descargar	Λήψη	Scarica	تنزيل	Herunterladen	ダウンロード	Letöltés	Baixar	Preuzmi	Prenesi
twittersna_result_slected_tweets	Selected Tweets	Tweets selectionnés	Tweets seleccionados	Επιλεγμένα Tweets	Tweet selezionati	تغريدات مختارة	Ausgewählte Tweets	選択したツイート	Kiválasztott Tweetek	Tweets selecionados	Odabrani tweetovi	Izbrani tviti
twittersna_result_url_in_tweets	Urls in tweets	Urls dans les tweets	Urls en tweets	Urls στα tweets	URL nei tweet	عناوين URL u tweetovima	URLs in Tweets	ツイート内の URL	URL-ek a tweetekben	Urls em tweets	URL-ovi u tweetovima	URL-ji v tvitih
twittersna_result_go_to	Go to url	Ouvrir le lien	Ir a la pagina	Μετάβαση στη διεύθυνση url	URL nei tweet	اذهب إلى عنوان URL	Gehen Sie zur URL	URLに移動	Ugrás az URL-re	Ir para a página	Idi na URL	Pojdi na url
twittersna_result_go_to_tweet	Go to tweet	Ouvrir le tweet	Ir a tweet	Μετάβαση στο tweet	Vai al Tweet	اذهب إلى تغريدة	Gehen Sie zum Tweet	ツイートを見る	Ugrás a tweetre	Ir para o tweet	Idi na tweet	Pojdi na tvit
twittersna_result_download_png	Download as PNG	Télécharger en tant que PNG	Descargar como PNG	Λήψη ως PNG	Scarica come png	تنزيل بصيغة PNG	Download als PNG	PNG としてダウンロード	Letöltés PNG-ként	Baixar como PNG	Preuzmi kao PNG	Prenesi kot PNG
twittersna_result_download_svg	Download as SVG	Télécharger en tant que SVG	Descargar como SVG	Λήψη ως SVG	Scarica come svg	تنزيل بصيغة SVG	Laden Sie als SVG herunter	SVGとしてダウンロード	Letöltés SVG-ként	Baixar como SVG	Preuzmi kao SVG	Prenesi kot SVG
twittersna_result_word	Word	Mot	Palabra	Λέξη	Parola	كلمة	Wort	言葉	Szó	Palavra	Riječ	Beseda
twittersna_result_nb_occ	Number of occurrences	Nombre d'occurrences	Cantidad de ocurrencias	Αριθμός εμφανίσεων	Numero di occorrenze	عدد مرات الحدوث	Anzahl der Vorkommen	出現回数	Előfordulások száma	Quantidade de ocorrências	Broj pojavljivanja	Število pojavitev
twittersna_result_entity	Named entity	Entité nommée	Entidad nombrada	Ονομαζόμενη οντότητα	Entità denominata	كيان مسمى	Genannte Entität	エンティティ	Nevesített entitás	Entidade nomeada	Imenovani entitet	Imenovani entitet
twittersna_no_data	No data available	Aucune donnée disponible	Datos no disponibles	Δεν υπάρχουν διαθέσιμα δεδομένα	Nessun dato disponibile	لا تتوافر بيانات	Keine Daten verfügbar	利用可能なデータがありません	Nincs elérhető adat	Dados não disponíveis	Nema dostupnih podataka	Ni podatkov
user_placeholder	user	utilisateur	usuario	χρήστης	utente	المُستخدِم	Benutzer	ユーザー	felhasználó	usuário	korisnik	uporabnik
twittersna_counting_words	Counting Words	Comptage des mots	Contando palabras	Μέτρηση λέξεων	Contare le parole	عداد الكلمات	Wörter zählen	単語を数える	Szavak számlálása	Contando palavras	Brojanje riječi	Štetje besed
twittersna_fetching_tweets	Fetching tweets	Récupération des tweets	Recuperando tweets	Λήψη tweets	Recupero di tweet	جلب تغريدات	Tweets holen	ツイートの取得	Tweetek lekérése	Recuperando tweets	Dohvaćanje tweetova	Pridobivanje tvitov
twittersna_building_graphs	Building graphs	Construction des graphes	Construyendo el gráfico	Δημιουργία γραφημάτων	Costruzione dei grafi	بناء الرسوم البيانية	Grafiken erstellen	グラフの構築	Grafikonok építése	Construindo o gráfico	Izrada grafikona	Gradnja grafov
twittersna_result_submit_twitter_sna	Submit to Twitter SNA	Envoyer à Twitter SNA	Enviar a Twitter SNA	Υποβολή στο Twitter SNA	Invia a Twitter SNA	أرسل إلى Twitter SNA	Senden Sie bei Twitter SNA	Twitter SNA に送信する	Küldés a Twitter SNA-ba	Enviar para o Twitter SNA	Pošalji na Twitter SNA	Pošlji na Twitter SNA
twittersna_result_view_graph	View graph	Voir le graphe	Ver el grafo	Προβολή γραφήματος	Visualizza grafico	عرض الرسم البياني	Diagramm anzeigen	グラフを見る	Grafikon megtekintése	Ver o grafo	Prikaži grafikon	Prikaži graf
twittersna_no_community	No community detected	Pas de communauté détectée	No se encontro comunidad	Δεν εντοπίστηκε κοινότητα	Nessuna comunità rilevata	لم يتم الكشف عن مجتمع	Keine Gemeinschaft entdeckt	コミュニティが検出されませんでした	Nem észlelt közösség	Nenhuma comunidade encontrada	Nije detektirana zajednica	Skupnost ni zaznana
twittersna_acd	Account Creation Date	Date de création du compte	Fecha de creación de la cuenta	Ημερομηνία δημιουργίας λογαριασμού	Data di creazione dell'account	تاريخ إنشاء الحساب	Kontoerstellung Datum	アカウント作成日	Fióklétrehozási dátum	Data de criação da conta	Datum kreiranja računa	Datum ustvarjanja računa
twittersna_nb_followers	Number of followers	Nombre d'abonnés	Número de abonados	Αριθμός ακολούθων	Numero di followers	عدد المتابعين	Anzahl der Follower	フォロワー数	Követők száma	Número de assinantes	Broj pratitelja	Število sledilcev
disable_cache	Disable cache	Désactiver le cache	Desactivar el caché	απενεργοποίηση προσωρινής μνήμης	Disabilitare la cache	تعطيل ذاكرة التخزين المؤقت	Cache deaktivieren	キャッシュを無効にする	Gyorsítótár letiltása	Desativar o cache	Onemogući predmemoriju	Onemogoči predpomnilnik
twittersna_invalid_credentials	Invalid authentication information	Les informations d'authentification ne sont pas valables	La información de autenticación no es válida	Μη έγκυρη πληροφόρηση αυθεντικοποίησης	Informazioni di autenticazione non valide	معلومات المصادقة غير صالحة	Ungültige Authentifizierungsinformationen	認証情報が無効です	Érvénytelen hitelesítési információk	As informações de autenticação não são válidas	Nevažeće informacije za autentifikaciju	Neveljavne informacije za preverjanje pristnosti
twittersna_start	Loading	Chargement	Cargando	Φόρτωση	Caricamento in corso	جار التحميل	Wird geladen	読み込み中	Betöltés	Carregando	Učitavanje	Nalaganje
cardheader_parameters	Parameters	Paramètres	Parámetros	Παράμετροι	Parametri	الإعدادت	Parameter	パラメータ	Paraméterek	Parâmetros	Parametri	Parametri
explanation_keyword	Element to search, it can be a keyword, a URL or a Hastag	Élément à rechercher, il peut s'agir d'un mot-clé, d'une URL ou d'un hastag	Elemento para buscar, puede ser una palabra clave, una URL o una agonía	Στοιχείο για αναζήτηση, μπορεί να είναι μια λέξη-κλειδί, μια διεύθυνση URL ή ένα hastag	Elemento da cercare, può essere una parola chiave, un URL o un hastag	عنصر للبحث، يمكن أن يكون كلمة مفتاحية، أو عنوان URL أو وسم	Element zu suchen, kann es ein Schlüsselwort, eine URL oder ein Hastag sein	検索する内容。キーワード、URL、ハッシュタグなどを指定します	Keresendő elem, lehet kulcsszó, URL vagy Hashtag	Elemento para pesquisar, pode ser uma palavra-chave, uma URL ou um hashtag	Element za pretraživanje, može biti ključna riječ, URL ili hashtag	Element za iskanje, lahko je ključna beseda, URL ali hashtag
explanation_dates	Dates between the tweets were analysed for the search term indicated	Les dates entre les tweets ont été analysées pour le terme de recherche indiqué	Las fechas entre los tweets fueron analizadas para el término de búsqueda indicado	Οι ημερομηνίες μεταξύ των Tweets αναλύθηκαν για τον όρο αναζήτησης που υποδεικνύεται	Le date tra i tweet sono state analizzate per il termine di ricerca indicato	تم تحليل التواريخ بين التغريدات لمصطلح البحث المحدد	Die Daten zwischen den Tweets wurden für den angegebenen Suchbegriff analysiert	検索用語についてツイート間の日付を指定します	A tweetek közötti dátumok a megadott keresési kifejezésre lettek elemezve	As datas entre os tweets foram analisadas para o termo de pesquisa indicado	Datumi između tweetova analizirani su za navedeni pojam pretraživanja	Datumi med tviti so bili analizirani za navedeni iskalni izraz
explanation_timezone	Specify the time zone of the dates introduced before	Spécifiez le fuseau horaire des dates introduites avant	Especifique la zona horaria de las fechas introducidas antes.	Καθορίστε τη ζώνη ώρας των ημερομηνιών που εισάγονται πριν	Specificare il fuso orario delle date introdotte prima	حدد المنطقة الزمنية للتواريخ التي تم تقديمها من قبل	Geben Sie die Zeitzone der zuvor eingeführten Daten an	日付のタイムゾーンを指定します	Adja meg az előzőleg bevezetett dátumok időzónáját	Especifique o fuso horário das datas inseridas anteriormente.	Navedite vremensku zonu prethodno unesenih datuma	Določite časovni pas prej vnesenih datumov
explanation_exclude	Specify words that you don’t want to analyze in the search results	Spécifiez des mots que vous ne voulez pas analyser dans les résultats de la recherche	Especifique palabras que no desea analizar en los resultados de búsqueda	Καθορίστε λέξεις που δεν θέτετε να αναλύσετε στα αποτελέσματα αναζήτησης	Specifica le parole che non si desidera analizzare nei risultati di ricerca	حدد الكلمات التي لا تريد تحليلها في نتائج البحث	Geben Sie Wörter an, die nicht in den Suchergebnissen vorkommen sollen.	検索結果で分析したくない単語を指定します	Adja meg azokat a szavakat, amiket nem akar elemezni 	Especifique palavras que você não deseja analisar nos resultados da pesquisa	Navedite riječi koje ne želite analizirati u rezultatima pretraživanja	Določite besede, ki jih ne želite analizirati v rezultatih iskanja
explanation_language	Specify the language in which the tweets are going to be analysed	Spécifiez la langue dans laquelle les tweets vont être analysés	Especifique el idioma en el que se analizarán los tweets.	Καθορίστε τη γλώσσα στην οποία θα αναλυθούν τα tweets	Specificare la lingua in cui verranno analizzati i tweet	حدد اللغة التي سيتم تحليل التغريدات بها	Geben Sie die Sprache an, in der die Tweets analysiert werden sollen	ツイートを分析する言語を指定します	Adja meg a nyelvet, amelyen az elemzést el kívánja végezni	Especifique o idioma em que os tweets serão analisados.	Navedite jezik na kojem će se analizirati tweetovi	Določite jezik, v katerem bodo analizirani tviti
explanation_account	Specify the twitter account whose tweets are going to be analysed	Spécifiez le compte Twitter dont les tweets vont être analysés	Especifique la cuenta de Twitter cuyos tweets se analizarán	Καθορίστε τον λογαριασμό Twitter του οποίου θα αναλυθούν τα tweets	Specifica l'account Twitter i cui tweet verranno analizzati	حدد حساب Twitter الذي سيتم تحليل تغريداتu	Geben Sie das Twitter -Konto an, dessen Tweets analysiert werden.	ツイートを分析するTwitterアカウントを指定します	Adja meg azt a Twitter fiókot, amelyen az elemzést el kívánja végezni	Especifique a conta do Twitter cujos tweets serão analisados.	Navedite Twitter račun čiji će se tweetovi analizirati	Določite račun Twitter, katerega tviti bodo analizirani
explanation_verified	Specify if you only want to analyze tweets of verified accounts	Spécifiez si vous voulez seulement analyser les tweets des comptes vérifiés	Especifique si solo desea analizar tweets de cuentas verificadas	Καθορίστε εάν θέλετε μόνο να αναλύσετε τα tweets των επαληθευμένων λογαριασμών	Specificare se si desidera analizzare solo i tweet di account verificati	حدد ما إذا كنت تريد فقط تحليل تغريدات من الحسابات التي تم التحقق منها	Geben Sie an, ob Sie nur Tweets von verifizierten Konten analysieren möchten	認証済みアカウントのツイートのみを分析する場合に指定します	Adja meg, hogy csak a hitelesített fiókok tweetjeit szeretné-e elemezni.	Especifique se você deseja analisar apenas tweets de contas verificadas.	Navedite želite li analizirati samo tweetove provjerenih računa	Določite, ali želite analizirati samo tvite preverjenih računov
