	en	fr	es	el	it	ar	de	ja	hu	pt
hiya_voice_cloning_detection_rating_2	likely not AI-generated. The absence of detection does not guarantee the voice is neither post-edited nor a human impersonation.	probablement pas généré par l'IA. L'absence de détection ne garantit pas que la voix n'ait pas été post-éditée ni qu'il ne s'agisse d'une imitation humaine.	Probablemente no generado por IA. La ausencia de detección no garantiza que la voz no haya sido editada posteriormente ni que sea una imitación humana.	Πιθανότατα δεν δημιουργείται. Η μη ανίχνευση δεν εγγυάται ότι η φωνή δεν έχει υποστεί επεξεργασία μετά την εγγραφή ούτε ότι πρόκειται για ανθρώπινη μίμηση.	Probabilmente non generato da AI. L'assenza di rilevamento non garantisce che la voce non sia stata modificata in post-produzione né che si tratti di un'imitazione umana.	عدم الكشف لا يضمن أن الصوت لم يتم تحريره لاحقًا أو أنه تقليد بشري.على الأرجح لم يتم إنشاؤها من الذكاء الاصطناعي	wahrscheinlich nicht KI-generiert. Das Fehlen eines Nachweises garantiert nicht, dass die Stimme weder nachbearbeitet wurde noch ein menschlicher Nachahmer ist.	おそらく AI によって生成された音声ではありません。検出されないからといって、音声が編集されていないことや人間のなりすましではないことは保証されません。	valószínűleg nem AI-generált. Az észlelés hiánya nem garantálja, hogy a hang nincs utószerkesztve, vagy hogy nem emberi utánzás.	Provavelmente não gerado por IA. A ausência de detecção não garante que a voz não tenha sido editada posteriormente ou que seja uma imitação humana.
hiya_voice_cloning_detection_rating_1	very likely not AI-generated. The absence of detection does not guarantee the voice is neither post-edited nor a human impersonation.	Très probablement non généré par l'IA. L'absence de détection ne garantit pas que la voix n'ait pas été post-éditée ni qu'il ne s'agisse d'une imitation humaine.	muy probablemente no generado por IA. La ausencia de detección no garantiza que la voz no haya sido editada posteriormente ni que sea una imitación humana.	πολύ πιθανό να μην δημιουργηθεί ai. Η μη ανίχνευση δεν εγγυάται ότι η φωνή δεν έχει υποστεί επεξεργασία μετά την εγγραφή ούτε ότι πρόκειται για ανθρώπινη μίμηση.	Molto probabilmente non generato da AI. L'assenza di rilevamento non garantisce che la voce non sia stata modificata in post-produzione né che si tratti di un'imitazione umana.	عدم الكشف لا يضمن أن الصوت لم يتم تحريره لاحقًا أو أنه تقليد بشري.على الأرجح لم يتم إنشاؤها من الذكاء الاصطناعى	sehr wahrscheinlich nicht KI-generiert. Das Fehlen eines Nachweises garantiert nicht, dass die Stimme weder nachbearbeitet wurde noch ein menschlicher Nachahmer ist.	AI によって生成された音声ではない可能性が非常に高いです。検出されないからといって、音声が編集されていないことや人間のなりすましではないことは保証されません。	nagyon valószínű, hogy nem AI-generált. Az észlelés hiánya nem garantálja, hogy a hang nincs utószerkesztve, vagy hogy nem emberi utánzás.	muito provavelmente não gerado por IA. A ausência de detecção não garante que a voz não tenha sido editada posteriormente ou que seja uma imitação humana.
hiya_voice_cloning_detection_rating_0	inconclusive. Hiya.com was not able to examine the audio file properly. This can happen when there is excessive silence or excessive background noise present in the audio file.	inconclusif. Hiya.com n'a pas pu analyser correctement le fichier audio. Cela peut se produire en cas de silence excessif ou de bruit de fond excessif présent dans le fichier audio.	inconcluso. Hiya.com no pudo analizar correctamente el archivo de audio. Esto puede ocurrir si hay un silencio excesivo o un ruido de fondo excesivo en el archivo de audio.	μη καταληκτικό. Το Hiya.com δεν μπόρεσε να εξετάσει σωστά το αρχείο ήχου. Αυτό μπορεί να συμβεί όταν υπάρχει υπερβολική σιωπή ή υπερβολικός θόρυβος στο υπόβαθρο του αρχείου ήχου.	inconcludente. Hiya.com non è stato in grado di analizzare correttamente il file audio. Ciò può accadere in caso di silenzio eccessivo o di rumore di fondo eccessivo presente nel file audio.	غير حاسم. لم يتمكن Hiya.com من تحليل ملف الصوت بشكل صحيح. قد يحدث هذا عندما يكون هناك صمت مفرط أو ضوضاء خلفية مفرطة موجودة في ملف الصوت.	nicht schlüssig. Hiya.com konnte die Audiodatei nicht richtig analysieren. Dies kann passieren, wenn in der Audiodatei übermäßige Stille oder übermäßige Hintergrundgeräusche vorhanden sind.	結果が出せません。Hiya.comは音声ファイルを解析できませんでした。音声ファイルに過剰な無音部分や過剰なバックグラウンドノイズが存在する場合に発生する可能性があります。	nem meggyőző. A Hiya.com nem tudta megfelelően megvizsgálni a hangfájlt. Ez előfordulhat, ha túl sok csend vagy túl sok háttérzaj van jelen a hangfájlban.	inconclusivo. Hiya.com não conseguiu analisar corretamente o arquivo de áudio. Isso pode ocorrer se houver silêncio excessivo ou ruído de fundo excessivo no arquivo de áudio.
hiya_gauge_detection	Detection	Détection	Detección	Ανίχνευση	Rilevamento	الكشف	Erkennung	検出	Észlelés	Detecção
hiya_gauge_no_detection	No detection	Aucune détection	Sin detección	Χωρίς ανίχνευση	Nessun rilevamento	لا يوجد كشف	Keine Erkennung	検出されない	Nincs észlelés	Sem detecção
hiya_cloning_additional_explanation_text	Explanation: The gauge score above represents the average detection rate for the analysed file. The left-side graph indicates whether the file is a composite with AI-generated fragments. It displays the detection rate in 4-second chunks across the file's duration. You can trim the file around suspected parts and re-analyse shorter segments to examine them and potentially improve detection accuracy.	Explication : Le score de la jauge représente le score de détection moyen du fichier analysé. Le graphique de gauche indique si le fichier est un composite contenant des fragments générés par l'IA. Il affiche le taux de détection par segments de 4 secondes sur toute la durée du fichier. Si nécessaire, vous pouvez découper le fichier autour des parties suspectes et les réanalyser pour potentiellement améliorer la précision de la détection.	Explicación: La puntuación del indicador representa la puntuación media de detección del archivo analizado. El gráfico de la izquierda indica si el archivo es un compuesto con fragmentos generados por IA. Muestra la tasa de detección en trozos de 4 segundos a lo largo de la duración del archivo. Si es necesario, puede recortar el archivo alrededor de las partes sospechosas y volver a analizarlas para mejorar potencialmente la precisión de la detección.	Εξήγηση: Η βαθμολογία του μετρητή αντιπροσωπεύει τη μέση βαθμολογία ανίχνευσης για το αναλυόμενο αρχείο. Το γράφημα στα αριστερά υποδεικνύει εάν το αρχείο είναι σύνθετο με θραύσματα που δημιουργούνται από AI. Εμφανίζει τον ρυθμό ανίχνευσης σε κομμάτια 4 δευτερολέπτων σε όλη τη διάρκεια του αρχείου. Εάν χρειάζεται, μπορείτε να κόψετε το αρχείο γύρω από ύποπτα μέρη και να τα αναλύσετε ξανά για να βελτιώσετε ενδεχομένως την ακρίβεια ανίχνευσης.	Spiegazione: Il punteggio del misuratore rappresenta il punteggio medio di rilevamento per il file analizzato. Il grafico a sinistra indica se il file è un composito con frammenti generati dall'IA. Visualizza la percentuale di rilevamento in blocchi di 4 secondi per tutta la durata del file. Se necessario, è possibile tagliare il file intorno alle parti sospette e analizzarle nuovamente per migliorare potenzialmente l'accuratezza del rilevamento.	شرحيمثل مؤشر المقياس متوسط ​​درجة الكشف للملف الذي تم تحليله. يشير الرسم البياني الأيسر إلى ما إذا كان الملف عبارة عن مركب مع أجزاء تم إنشاؤها بواسطة الذكاء الاصطناعي. يعرض معدل الكشف في أجزاء مدتها 4 ثوانٍ طوال مدة الملف. إذا لزم الأمر ، يمكنك اقتصاص الملف حول الأجزاء المشبوهة وإعادة تحليلها لتحسين دقة الكشف	Erklärung: Der Anzeigewert repräsentiert die durchschnittliche Erkennungsrate für die analysierte Datei. Das Diagramm auf der linken Seite zeigt an, ob es sich bei der Datei um ein Komposit mit KI-generierten Fragmenten handelt. Es zeigt die Erkennungsrate in 4-Sekunden-Abschnitten über die gesamte Dateidauer an. Bei Bedarf können Sie die Datei um verdächtige Teile herum kürzen und erneut analysieren, um die Erkennungsgenauigkeit möglicherweise zu verbessern.	説明: 上記のゲージスコアは、分析されたファイルの平均検出率を表します。左側のグラフは、ファイルが AI によって生成された要素を含む複合ファイルであるかどうかを示します。ファイルの継続時間全体にわたる検出率が 4 秒単位で表示されます。疑わしい部分の周囲をトリミングし、短い動画を再分析して調べることで検出精度が向上する可能性があります。	Magyarázat: A fenti mérőpontszám az elemzett fájl átlagos észlelési arányát jelenti. A bal oldali grafikon azt mutatja, hogy a fájl AI-generált töredékekből álló kompozit-e. Az észlelési arányt 4 másodperces részekben jeleníti meg a fájl időtartama alatt. A gyanús részek köré vághatja a fájlt, és újra elemezheti a rövidebb szegmenseket, hogy megvizsgálja azokat, és potenciálisan javítsa az észlelési pontosságot.	Explicação: A pontuação do indicador representa a pontuação média de detecção do arquivo analisado. O gráfico à esquerda indica se o arquivo é um composto com fragmentos gerados por IA. Ele mostra a taxa de detecção em blocos de 4 segundos ao longo da duração do arquivo. Se necessário, você pode recortar o arquivo em torno das partes suspeitas e analisá-las novamente para melhorar potencialmente a precisão da detecção.
hiya_additional_results	Additional results	Résultats supplémentaires	Resultados adicionales	Επιπρόσθετα αποτελέσματα	Risultati aggiuntivi	نتائج إضافية	Mehr Ergebnisse	追加の結果	További eredmények	Resultados adicionais
hiya_chart_title	Detection percentage over time	Pourcentage de détection en fonction du temps	Porcentaje de detección a lo largo del tiempo	Ποσοστό ανίχνευσης με την πάροδο του χρόνου	Percentuale di rilevamento nel tempo	نسبة الكشف مع مرور الوقت	Erkennungsprozentsatz im Laufe der Zeit	経時的な検出率	Észlelési százalék idővel	Porcentagem de detecção ao longo do tempo
hiya_download_chunks_chart_button	Download chart as jpeg file	Télécharger le graphique en tant que fichier jpeg	Descargar gráfico como archivo jpeg	Λήψη γραφήματος ως αρχείο jpeg	Scarica il grafico come file jpeg	تحميل المخطط كملف jpeg	Diagramm als jpeg-Datei herunterladen	チャートをJPEGファイルとしてダウンロード	Diagram letöltése jpeg fájlként	Baixar gráfico como arquivo jpeg
hiya_scale_explanation_link	What do the gauge colors mean?	Que signifient les couleurs de la jauge ?	¿Qué significan los colores del indicador?	Τι σημαίνουν τα χρώματα του μετρητή;	Cosa significano i colori del indicatore?	ماذا تعني ألوان العداد؟	Was bedeuten die Farben der Anzeige?	ゲージの色は何を意味しますか?	Mit jelentenek a színek?	O que significam as cores do indicador?
hiya_scale_modal_explanation_title	What do the gauge colors mean?	Que signifient les couleurs de la jauge ?	¿Qué significan los colores del indicador?	Τι σημαίνουν τα χρώματα του μετρητή;	Cosa significano i colori del indicatore?	ماذا تعني ألوان العداد؟	Was bedeuten die Farben der Anzeige?	ゲージの色は何を意味しますか?	Mit jelentenek a színek?	O que significam as cores do indicador?
hiya_scale_modal_explanation_rating_1	<10% - Very likely not AI-generated	<10 % - Très probablement pas généré par IA	<10 % - Muy probablemente no generado por IA	<10 % - Πολύ πιθανό να μην είναι δημιουργημένο από AI	<10 % - Molto probabilmente non generato da IA	<10 % - من المحتمل جداً أن لا يكون تم إنشاؤه بواسطة الذكاء الاصطناعي	<10 % - Sehr wahrscheinlich nicht KI-generiert	<10% - AI によって生成されたものではない可能性が非常に高い	<10% - Nagyon valószínűleg nem AI-generált	<10% - Muito provavelmente não gerado por IA
hiya_scale_modal_explanation_rating_2	≥10% - Likely not AI-generated	≥10 % - Probablement pas généré par IA	≥10 % - Probablemente no generado por IA	≥10 % - Πιθανώς να μην είναι δημιουργημένο από AI	≥10 % - Probabilmente non generato da IA	≥10 % - من المحتمل أن لا يكون تم إنشاؤه بواسطة الذكاء الاصطناعي	≥10 % - Wahrscheinlich nicht KI-generiert	≥10% - AI によって生成されたものではない可能性があります	≥10% - Valószínűleg nem AI-generált	≥10% - Provavelmente não gerado por IA
hiya_scale_modal_explanation_rating_3	≥30% - Likely AI-generated	≥30 % - Probablement généré par IA	≥30 % - Probablemente generado por IA	≥30 % - Πιθανώς δημιουργημένο από AI	≥30 % - Probabilmente generato da IA	≥30 % - من المحتمل أن يكون قد تم إنشاؤه بواسطة الذكاء الاصطناعي	≥30 % - Wahrscheinlich KI-generiert	≥30% - AI によって生成された可能性があります	≥30% - Valószínűleg AI-generált	≥30% - Provavelmente gerado por IA
hiya_scale_modal_explanation_rating_4	≥60% - Very likely AI-generated	≥60 % - Très probablement généré par IA	≥60 % - Muy probablemente generado por IA	≥60 % - Πολύ πιθανό να έχει δημιουργηθεί από AI	≥60 % - Molto probabilmente generato da IA	≥60 % - من المحتمل جداً أن يكون قد تم إنشاؤه بواسطة الذكاء الاصطناعي	≥60 % - Sehr wahrscheinlich KI-generiert	≥60% - AI によって生成された可能性が非常に高い	≥60% - Nagyon valószínűleg AI-generált	≥60% - Muito provavelmente gerado por IA
hiya_download_gauge_button	Download Gauge Chart as jpeg file	Télécharger le graphique de jauge en tant que fichier jpeg	Descargar gráfico de indicadores como archivo jpeg	Λήψη γραφήματος μέτρησης ως αρχείο jpeg	Scarica il grafico della misura come file jpeg	تحميل مخطط القياس كملف jpeg	Downloaden Sie das Messgerätendiagramm als jpeg-Datei	ゲージチャートをjpegファイルとしてダウンロード	Mérődiagram letöltése jpeg fájlként	Baixar gráfico de indicadores como arquivo jpeg
hiya_warning_partial_chunks_failed	Some parts of the audio had quality issues that may affect accuracy. For better results, use audio with:	Certaines parties de l’audio présentaient des problèmes de qualité susceptibles d’affecter la précision. Pour de meilleurs résultats, utilisez un audio avec :	Algunas partes del audio tenían problemas de calidad que pueden afectar la precisión. Para obtener mejores resultados, use un audio con:	Ορισμένα τμήματα του ήχου παρουσίασαν προβλήματα ποιότητας που ενδέχεται να επηρεάσουν την ακρίβεια. Για καλύτερα αποτελέσματα, χρησιμοποιήστε ήχο με:	Alcune parti dell’audio presentavano problemi di qualità che possono influire sulla precisione. Per risultati migliori, utilizzare un audio con:	بعض أجزاء الصوت كانت بها مشاكل في الجودة قد تؤثر على الدقة. للحصول على نتائج أفضل، استخدم ملفًا صوتيًا يحتوي على:	Einige Teile der Audiodatei wiesen Qualitätsprobleme auf, die die Genauigkeit beeinträchtigen können. Für bessere Ergebnisse verwenden Sie Audio mit:	音声の一部に品質の問題があり、精度に影響する可能性があります。より良い結果を得るには、次の条件を満たす音声を使用してください。	A hang egyes részein minőségi problémák voltak, amelyek befolyásolhatják a pontosságot. A jobb eredmény érdekében használjon olyan hangot, amely:	Algumas partes do áudio apresentaram problemas de qualidade que podem afetar a precisão. Para melhores resultados, use um áudio com:
hiya_error_all_chunks_failed	The audio analysis could not be completed due to audio quality issues. Please try with a different audio file that has:	L’analyse audio n’a pas pu être terminée en raison de problèmes de qualité audio. Veuillez réessayer avec un autre fichier audio contenant :	El análisis de audio no se pudo completar debido a problemas de calidad del audio. Intente con un archivo de audio diferente que tenga:	Η ανάλυση ήχου δεν μπόρεσε να ολοκληρωθεί λόγω προβλημάτων ποιότητας ήχου. Δοκιμάστε με ένα διαφορετικό αρχείο ήχου που να έχει:	L'analisi audio non è stata completata a causa di problemi di qualità del suono. Provare con un altro file audio che abbia:	تعذر إكمال تحليل الصوت بسبب مشاكل في جودة الصوت. يرجى المحاولة باستخدام ملف صوتي آخر يحتوي على:	Die Audioanalyse konnte aufgrund von Audioqualitätsproblemen nicht abgeschlossen werden. Bitte versuchen Sie es mit einer anderen Audiodatei, die Folgendes aufweist:	音声の品質に問題があるため、音声解析を完了できませんでした。次の条件を満たす別の音声ファイルでお試しください。	A hangelemzést nem sikerült befejezni a hangminőségi problémák miatt. Próbálja meg egy másik hangfájllal, amely rendelkezik a következőkkel:	A análise de áudio não pôde ser concluída devido a problemas de qualidade do áudio. Tente com um arquivo de áudio diferente que tenha:
hiya_suggestion_less_music	Less background music	Moins de musique de fond	Menos música de fondo	Λιγότερη μουσική υπόκρουση	Meno musica di sottofondo	تقليل الموسيقى الخلفية	Weniger Hintergrundmusik	バックグラウンド音楽を減らす	Kevesebb háttérzene	Menos música de fundo
hiya_suggestion_less_noise	Reduced background noise	Bruit de fond réduit	Ruido de fondo reducido	Μειωμένος θόρυβος φόντου	Rumore di fondo ridotto	ضوضاء خلفية منخفضة	Reduzierter Hintergrundlärm	バックグラウンドノイズの低減	Kevesebb háttérzaj	Ruído de fundo reduzido
hiya_suggestion_more_voice	More prominent voice content	Voix plus présente	Contenido de voz más destacado	Πιο έντονο φωνητικό περιεχόμενο	Contenuto vocale più evidente	محتوى صوتي أكثر بروزًا	Hervorgehobener Sprachinhalt	より際立った音声コンテンツ	Kiemelkedőbb hanganyag	Conteúdo de voz mais proeminente
