	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl	rs
synthetic_image_detection_progan_name	ProGAN	ProGAN	ProGAN	ProGAN	ProGAN	ProGAN	ProGAN	ProGAN	ProGAN	ProGAN	ProGAN	ProGAN	ProGAN
synthetic_image_detection_progan_description	This model can detect fully synthetic images generated by ProGAN Models or architectures that are similar.	Ce modèle peut détecter des images entièrement synthétiques générées par des modèles ProGAN ou des architectures similaires.	Este modelo puede detectar imágenes completamente sintéticas generadas por modelos ProGAN o arquitecturas similares.	Αυτό το μοντέλο μπορεί να ανιχνεύσει πλήρως συνθετικές εικόνες που παράγονται από μοντέλα ProGAN ή αρχιτεκτονικές που είναι παρόδιες.	Questo modello è in grado di rilevare immagini completamente sintetiche generate da modelli ProGAN o architetture simili.	يمكن لهذا النموذج اكتشاف الصور الاصطناعية بشكل كامل التي تم إنشاؤها بواسطة نماذج ProGAN أ بما في ذلك طبقة بداية لاستخراج البقايا وبدون تخفيض في الطبقة الأولى.	Dieses Modell kann vollständig synthetische Bilder erkennen, die von Progan -Modellen oder -Architekturen erzeugt werden, die ähnlich sind.	このモデルは、ProGAN モデルまたは同様のアーキテクチャによって生成された完全合成画像を検出できます	Ez a modell képes észlelni a ProGAN modellek vagy hasonló architektúrák által generált teljesen szintetikus képeket.	Este modelo pode detectar imagens completamente sintéticas geradas por modelos ProGAN ou arquiteturas similares.	Ovaj model može detektirati potpuno sintetičke slike generirane ProGAN modelima ili sličnim arhitekturama.	Ta model lahko zazna popolnoma sintetične slike, ustvarjene s ProGAN modeli ali podobnimi arhitekturami.	Ovaj model može detektirati potpuno sintetičke slike generirane ProGAN modelima ili sličnim arhitekturama.
synthetic_image_detection_adm_name	ADM	ADM	ADM	ADM	ADM	ADM	ADM	ADM	ADM	ADM	ADM	ADM	ADM
synthetic_image_detection_adm_description	This model can detect fully synthetic images generated by ADMs or architectures that are similar.	Ce modèle peut détecter des images entièrement synthétiques générées par des ADMs ou des architectures similaires.	Este modelo puede detectar imágenes completamente sintéticas generadas por ADMs o arquitecturas similares.	Αυτό το μοντέλο μπορεί να ανιχνεύσει πλήρως συνθετικές εικόνες που παράγονται από ADMs ή αρχιτεκτονικές που είναι παρόδιες.	Questo modello è in grado di rilevare immagini completamente sintetiche generate da ADM o architetture simili.	يمكن لهذا النموذج اكتشاف الصور الاصطناعية بشكل كامل التي تم إنشاؤها بواسطة نماذج ADM أو البنى المماثلة. النموذج ليس معتمدًا مسبقًا ويتم إجراء تعزيزات قوية بما في ذلك التشويش والضغط وإضافة الضوضاء الغاوسية والتحولات الهندسية والقطع وتغييرات السطوع والتباين.	Dieses Modell kann vollständig synthetische Bilder erkennen, die von ADMS oder Architekturen erzeugt werden, die ähnlich sind.	このモデルは、ADM または同様のアーキテクチャによって生成された完全合成画像を検出できます	Ez a modell képes észlelni az ADM-ek vagy hasonló architektúrák által generált teljesen szintetikus képeket.	Este modelo pode detectar imagens completamente sintéticas geradas por ADMs ou arquiteturas similares.	Ovaj model može detektirati potpuno sintetičke slike generirane ADM-ovima ili sličnim arhitekturama.	Ta model lahko zazna popolnoma sintetične slike, ustvarjene z ADM-ji ali podobnimi arhitekturami.	Ovaj model može detektirati potpuno sintetičke slike generirane ADM-ovima ili sličnim arhitekturama.
synthetic_image_detection_progan_rine_mever_name	ProGAN RINE	ProGAN RINE	ProGAN RINE	ProGAN RINE	ProGAN RINE	ProGAN RINE	ProGAN RINE	プロガンライン	ProGAN RINE	ProGAN RINE	ProGAN RINE	ProGAN RINE	ProGAN RINE
synthetic_image_detection_progan_rine_mever_description	This model detects fully synthetic images. It specializes in detecting images generated by Generative Adversarial Networks (GAN). The CLIP (Contrastive Language-Image Pre-training) technology extracts key characteristics from the image.	Ce modèle détecte les images entièrement synthétiques. Il se spécialise dans la détection d'images générées par les réseaux antagonistes génératifs (GAN). La technologie CLIP (Pré-entraînement contrastif Langage-Image) extrait les caractéristiques clés de l'image.	Este modelo detecta imágenes completamente sintéticas. Se especializa en la detección de imágenes generadas por redes generativas adversarias (GAN). La tecnología CLIP (Preentrenamiento Contrastivo de Lenguaje-Imagen) extrae características clave de la imagen.	Αυτό το μοντέλο ανιχνεύει πλήρως συνθετικές εικόνες. Ειδικεύεται στην ανίχνευση εικόνων που παράγονται από τους γεννητικούς αντιπαραγωγικούς δίκτυους (GAN). Η τεχνολογία CLIP (Προεκπαίδευση με Αντιθετική Γλώσσα-Εικόνα) εξάγει τα κύρια χαρακτηριστικά από την εικόνα.	Questo modello rileva immagini completamente sintetiche. Si specializza nella rilevazione di immagini generate da reti generative avversarie (GAN). La tecnologia CLIP (Preallenamento Contrastivo Linguaggio-Immagine) estrae caratteristiche chiave dall'immagine.	يكتشف هذا النموذج الصور الاصطناعية بالكامل. إنه متخصص في اكتشاف الصور التي تم إنشاؤها بواسطة شبكات الخصم الانتاجية (GAN). تستخرج تقنية CLIP (التدريب المسبق باللغة والصورة التبايني) السمات الرئيسية من الصورة.	Dieses Modell erkennt vollständig synthetische Bilder. Es hat sich auf die Erkennung von Bildern spezialisiert, die von generativen adversarischen Netzwerken (GAN) generiert wurden, während die CLIP-Technologie (Kontrastive Sprache-Bild-Vorab-Trainings) Schlüsseleigenschaften aus dem Bild extrahiert.	このモデルは完全合成画像を検出します。これは、敵対的生成ネットワーク (GAN) によって生成された画像の検出に特化しています。 CLIP (Contrastive Language-Image Pre-training) 技術は、画像から主要な特徴を抽出します	Ez a modell teljesen szintetikus képeket észlel. Specializálódott a Generative Adversarial Networks (GAN) által generált képek észlelésére. A CLIP (kontrasztív nyelv-kép előképzés) technológia kivonja a kulcsfontosságú jellemzőket a képből.	Este modelo detecta imagens totalmente sintéticas. Especializa-se na detecção de imagens geradas por Redes Generativas Adversariais (GAN). A tecnologia CLIP (Pré-treino de Linguagem-Imagem Contrastiva) extrai as características-chave da imagem.	Ovaj model detektira potpuno sintetičke slike. Specijaliziran je za detekciju slika generiranih generativnim adversarijalnim mrežama (GAN). Tehnologija CLIP (Contrastive Language-Image Pre-training) izvlači ključne karakteristike iz slike.	Ta model zaznava popolnoma sintetične slike. Specializiran je za zaznavanje slik, ustvarjenih z generativnimi nasprotniškimi mrežami (GAN). Tehnologija CLIP (kontrastno predusposabljanje jezika in slike) izvleče ključne značilnosti iz slike.	Ovaj model detektira potpuno sintetičke slike. Specijaliziran je za detekciju slika generiranih generativnim adversarijalnim mrežama (GAN). Tehnologija CLIP (Contrastive Language-Image Pre-training) izvlači ključne karakteristike iz slike.
synthetic_image_detection_ldm_rine_mever_name	LDM RINE	LDM RINE	LDM RINE	LDM RINE	LDM RINE	LDM RINE	LDM RINE	LDM RINE	LDM RINE	LDM RINE	LDM RINE	LDM RINE	LDM RINE
synthetic_image_detection_ldm_rine_mever_description	This model detects fully synthetic images. It specializes in detecting images generated by Latent Diffusion Models (LDM), while exhibiting strong detection performance across several other generative methods. The CLIP (Contrastive Language-Image Pre-training) technology extracts key characteristics from the image.	Ce modèle détecte les images entièrement synthétiques. Il se spécialise dans la détection d'images générées par les modèles de diffusion latente (LDM), tout en présentant de solides performances de détection sur plusieurs autres méthodes génératives. La technologie CLIP (Pré-entraînement contrastif Langage-Image) extrait les caractéristiques clés de l'image.	Este modelo detecta imágenes completamente sintéticas. Se especializa en la detección de imágenes generadas por modelos de difusión latente (LDM), mientras exhibe un fuerte rendimiento de detección en varios otros métodos generativos. La tecnología CLIP (Preentrenamiento Contrastivo de Lenguaje-Imagen) extrae características clave de la imagen.	Αυτό το μοντέλο ανιχνεύει πλήρως συνθετικές εικόνες. Ειδικεύεται στην ανίχνευση εικόνων που παράγονται από μοντέλα διάχυσης κρυφής (LDM), ενώ επιδεικνύει ισχυρές επιδόσεις ανίχνευσης σε αρκετές άλλες γεννητικές μεθόδους. Η τεχνολογία CLIP (Προεκπαίδευση με Αντιθετική Γλώσσα-Εικόνα) εξάγει τα κύρια χαρακτηριστικά από την εικόνα.	Questo modello rileva immagini completamente sintetiche. Si specializza nella rilevazione di immagini generate da modelli di diffusione latente (LDM), mostrando nel contempo una forte performance di rilevamento su diversi altri metodi generativi. La tecnologia CLIP (Preallenamento Contrastivo Linguaggio-Immagine) estrae caratteristiche chiave dall'immagine.	يكتشف هذا النموذج الصور الاصطناعية بالكامل. إنه متخصص في اكتشاف الصور التي تم إنشاؤها بواسطة نماذج الانتشار الكامنة (LDM)، مع عرض أداء كشف قوي عبر عدة طرق توليدية أخرى. تستخرج تقنية CLIP (التدريب المسبق باللغة والصورة التبايني) السمات الرئيسية من الصورة.	Dieses Modell erkennt vollständig synthetische Bilder. Es hat sich auf die Erkennung von Bildern spezialisiert, die von Latent-Diffusionsmodellen (LDM) generiert wurden, wobei es gleichzeitig eine starke Erkennungsleistung über mehrere andere generative Methoden hinweg zeigt. Die CLIP (Contrastive Language-Image Pre-training) Technologie extrahiert Schlüsselmerkmale aus dem Bild.	このモデルは完全合成画像を検出します。潜在拡散モデル (LDM) によって生成された画像を検出することに特化しており、他のいくつかの生成方法でも強力な検出性能を発揮します。CLIP (Contrastive Language-Image Pre-training) テクノロジーは、画像から主要な特徴を抽出します。	Ez a modell teljesen szintetikus képeket észlel. Specializálódott a látens diffúziós modellek (LDM) által generált képek észlelésére, miközben több más generatív módszerben is erős észlelési teljesítményt mutat. A CLIP (kontrasztív nyelv-kép előképzés) technológia kivonja a kulcsfontosságú jellemzőket a képből.	Este modelo detecta imagens totalmente sintéticas. Especializa-se na detecção de imagens geradas por Modelos de Difusão Latente (LDM), ao mesmo tempo que apresenta forte desempenho de detecção em vários outros métodos generativos. A tecnologia CLIP (Pré-treino de Linguagem-Imagem Contrastiva) extrai as características-chave da imagem.	Ovaj model detektira potpuno sintetičke slike. Specijaliziran je za detekciju slika generiranih latentnim difuzijskim modelima (LDM), dok istovremeno pokazuje snažne performanse detekcije kroz nekoliko drugih generativnih metoda. Tehnologija CLIP (Contrastive Language-Image Pre-training) izvlači ključne karakteristike iz slike.	Ta model zaznava popolnoma sintetične slike. Specializiran je za zaznavanje slik, ustvarjenih z modeli latentne difuzije (LDM), hkrati pa kaže močno zmogljivost zaznavanja pri več drugih generativnih metodah. Tehnologija CLIP (kontrastno predusposabljanje jezika in slike) izvleče ključne značilnosti iz slike.	Ovaj model detektira potpuno sintetičke slike. Specijaliziran je za detekciju slika generiranih latentnim difuzijskim modelima (LDM), dok istovremeno pokazuje snažne performanse detekcije kroz nekoliko drugih generativnih metoda. Tehnologija CLIP (Contrastive Language-Image Pre-training) izvlači ključne karakteristike iz slike.
synthetic_image_detection_itw_rine_mever_name	ITW RINE	ITW RINE	ITW RINE	ITW RINE	ITW RINE	ITW RINE	ITW RINE	ITW RINE	ITW RINE	ITW RINE	ITW RINE	ITW RINE	ITW RINE
synthetic_image_detection_itw_rine_mever_description	This model detects fully synthetic images and specializes in identifying those found in-the-wild, such as images that have undergone compression by being posted on social media. It is trained using a combination of the LDM training dataset, TWIGMA, and OpenImages datasets. The DINOv2 technology extracts key characteristics from the image to enable accurate detection.	Ce modèle détecte des images entièrement synthétiques et se spécialise dans l'identification de celles trouvées dans leur état naturel, telles que les images ayant subi une compression en raison de leur publication sur les réseaux sociaux. Il est entraîné à l'aide d'une combinaison de l'ensemble de données d'entraînement LDM, TWIGMA et OpenImages. La technologie DINOv2 extrait les caractéristiques clés de l'image pour permettre une détection précise.	Este modelo detecta imágenes completamente sintéticas y se especializa en identificar aquellas que se encuentran en la naturaleza, como las imágenes que han pasado por compresión al ser publicadas en redes sociales. Está entrenado utilizando una combinación del conjunto de datos de entrenamiento LDM, TWIGMA y OpenImages. La tecnología DINOv2 extrae características clave de la imagen para permitir una detección precisa.	"Αυτό το μοντέλο ανιχνεύει πλήρως συνθετικές εικόνες και ειδικεύεται στον εντοπισμό αυτών που βρίσκονται ""στη φύση"", όπως εικόνες που έχουν υποστεί συμπίεση λόγω ανάρτησης σε μέσα κοινωνικής δικτύωσης. Εκπαιδεύεται χρησιμοποιώντας έναν συνδυασμό των συνόλων δεδομένων εκπαίδευσης LDM, TWIGMA και OpenImages. Η τεχνολογία DINOv2 εξάγει βασικά χαρακτηριστικά από την εικόνα για να επιτρέψει ακριλή εντοπισμό."	"Questo modello rileva immagini completamente sintetiche e si specializza nell'identificazione di quelle trovate ""allo stato selvatico"", come immagini che sono state compresse durante la pubblicazione sui social media. È addestrato utilizzando una combinazione di dataset di addestramento LDM, TWIGMA e OpenImages. La tecnologia DINOv2 estrae caratteristiche chiave dall'immagine per consentire un rilevamento preciso."	Ta model zaznava popolnoma sintetične slike in se specializira za prepoznavanje tistih, ki so najdene v naravnem okolju, kot so slike, ki so bile stisnjene zaradi objave na družbenih medijih. Usposobljen je z uporabo kombinacije učnih podatkov LDM, TWIGMA in OpenImages. Tehnologija DINOv2 izvleče ključne značilnosti iz slike, da omogoči natančno zaznavanje.	"Dieses Modell erkennt vollständig synthetische Bilder und spezialisiert sich auf die Identifizierung solcher Bilder, die ""in freier Wildbahn"" gefunden werden, z. B. Bilder, die durch die Veröffentlichung in sozialen Medien komprimiert wurden. Es wird unter Verwendung einer Kombination aus dem LDM-Trainingsdatensatz, TWIGMA und OpenImages-Datensätzen trainiert. Die DINOv2-Technologie extrahiert Schlüsselmerkmale aus dem Bild, um eine genaue Erkennung zu ermöglichen."	このモデルは完全合成画像を検出し、ソーシャルメディアへの投稿による圧縮を受けた画像など、自然界で発見された画像を特定することに特化しています。LDMトレーニングデータセット、TWIGMA、OpenImagesデータセットの組み合わせを使用してトレーニングされています。DINOv2テクノロジーは、正確な検出を可能にするために、画像から主要な特徴を抽出します。	"Ez a modell teljesen szintetikus képeket észlel, és az ""in-the-wild"" talált képek azonosítására specializálódott, például olyan képekre, amelyek a közösségi médiában való közzététel során tömörítésen estek át. Az LDM képzési adatgyűjtemény, a TWIGMA és az OpenImages adatgyűjtemények kombinációjával képezik. A DINOv2 technológia kivonja a kép kulcsfontosságú jellemzőit, hogy lehetővé tegye a pontos észlelést."	"Este modelo detecta imagens totalmente sintéticas e especializa-se em identificar aquelas encontradas ""na natureza"", como imagens que foram submetidas a compressão por terem sido publicadas em redes sociais. É treinado usando uma combinação do conjunto de dados de treinamento LDM, TWIGMA e OpenImages. A tecnologia DINOv2 extrai características-chave da imagem para permitir a detecção precisa."	Ovaj model detektira potpuno sintetičke slike i specijaliziran je za prepoznavanje onih pronađenih u divljini, kao što su slike koje su prošle kompresiju objavljivanjem na društvenim mrežama. Obučen je korištenjem kombinacije LDM trening skupa podataka, TWIGMA i OpenImages skupova podataka. DINOv2 tehnologija izvlači ključne karakteristike iz slike kako bi omogućila preciznu detekciju.	Ta model zaznava popolnoma sintetične slike in se specializira za prepoznavanje tistih, ki so najdene v naravnem okolju, kot so slike, ki so bile stisnjene zaradi objave na družbenih medijih. Usposobljen je z uporabo kombinacije učnih podatkov LDM, TWIGMA in OpenImages. Tehnologija DINOv2 izvleče ključne značilnosti iz slike, da omogoči natančno zaznavanje.	Ovaj model detektira potpuno sintetičke slike i specijaliziran je za prepoznavanje onih pronađenih u divljini, kao što su slike koje su prošle kompresiju objavljivanjem na društvenim mrežama. Obučen je korištenjem kombinacije LDM trening skupa podataka, TWIGMA i OpenImages skupova podataka. DINOv2 tehnologija izvlači ključne karakteristike iz slike kako bi omogućila preciznu detekciju.
synthetic_image_detection_itw_rine_mever_warning	Use with caution. While new veraai.eu synthetic image detection models outperformed previous ones in several fact-checks, some errors or false positives (<6%) have still been noted during extensive testing. If you are uncertain, use the feedback button to ask for guidance.	À utiliser avec prudence. Bien que les nouveaux modèles de détection d’images synthétiques de veraai.eu aient surpassé les précédents dans plusieurs vérifications de faits, certaines erreurs ou faux positifs (<6 %) ont encore été observés lors de tests approfondis. En cas de doute, utilisez le bouton de feedback pour demander des conseils.	Usar con precaución. Aunque los nuevos modelos de detección de imágenes sintéticas de veraai.eu superaron a los anteriores en varias verificaciones de hechos, todavía se han observado algunos errores o falsos positivos (<6%) durante las pruebas exhaustivas. Si tiene dudas, utilice el botón de comentarios para pedir orientación.	Χρησιμοποιήστε με προσοχή. Αν και τα νέα μοντέλα ανίχνευσης συνθετικών εικόνων του veraai.eu ξεπέρασαν τα προηγούμενα σε πολλές επαληθεύσεις γεγονότων, έχουν σημειωθεί ορισμένα σφάλματα ή ψευδώς θετικά (<6%) κατά τη διάρκεια εκτεταμένων δοκιμών. Εάν δεν είστε βέβαιοι, χρησιμοποιήστε το κουμπί σχολίων για να ζητήσετε καθοδήγηση.	Usare con cautela. Sebbene i nuovi modelli di rilevamento di immagini sintetiche di veraai.eu abbiano superato i precedenti in diverse verifiche dei fatti, alcuni errori o falsi positivi (<6%) sono stati comunque rilevati durante test approfonditi. In caso di incertezza, utilizzare il pulsante di feedback per chiedere indicazioni.	استخدم بحذر. على الرغم من أن نماذج اكتشاف الصور الاصطناعية الجديدة من veraai.eu تفوقت على النماذج السابقة في عدة عمليات تحقق من الحقائق، إلا أنه تم ملاحظة بعض الأخطاء أو الإيجابيات الكاذبة (<6%) أثناء الاختبارات المكثفة. إذا لم تكن متأكدًا، استخدم زر الملاحظات لطلب التوجيه.	Mit Vorsicht verwenden. Obwohl die neuen Modelle von veraai.eu zur Erkennung synthetischer Bilder die früheren in mehreren Faktenchecks übertroffen haben, wurden bei umfangreichen Tests immer noch einige Fehler oder Fehlalarme (<6%) festgestellt. Wenn Sie unsicher sind, verwenden Sie die Feedback-Schaltfläche, um um Anleitung zu bitten.	注意して使用してください。veraai.euの新しい合成画像検出モデルは、いくつかのファクトチェックで以前のモデルを上回る性能を発揮しましたが、広範なテスト中にいくつかのエラーや誤検知（6％未満）が依然として認められています。不明な場合は、フィードバックボタンを使用してガイダンスを求めてください。	Óvatosan használja. Bár az új veraai.eu szintetikus képészlelési modellek számos tényellenőrzésben felülmúlták az előzőeket, a kiterjedt tesztelés során még mindig észleltek néhány hibát vagy hamis pozitív eredményt (<6%). Ha bizonytalan, használja a visszajelzés gombot útmutatás kéréséhez.	Use com cautela. Embora os novos modelos de detecção de imagens sintéticas de veraai.eu tenham superado os anteriores em várias verificações de fatos, alguns erros ou falsos positivos (<6%) ainda foram observados durante testes extensivos. Se você não tiver certeza, use o botão de feedback para pedir orientação.	Koristite s oprezom. Iako su novi veraai.eu modeli za detekciju sintetičkih slika nadmašili prethodne u nekoliko provjera činjenica, još uvijek su zabilježene neke pogreške ili lažno pozitivni rezultati (<6%) tijekom opsežnog testiranja. Ako niste sigurni, koristite gumb za povratne informacije da biste zatražili smjernice.	Uporabljajte previdno. Čeprav so novi modeli zaznavanja sintetičnih slik veraai.eu presegli prejšnje v več preverjanjih dejstev, so bile med obsežnim testiranjem še vedno opažene nekatere napake ali lažno pozitivni rezultati (<6%). Če niste prepričani, uporabite gumb za povratne informacije, da zaprosite za navodila.	Koristite s oprezom. Iako su novi veraai.eu modeli za detekciju sintetičkih slika nadmašili prethodne u nekoliko provjera činjenica, još uvijek su zabilježene neke pogreške ili lažno pozitivni rezultati (<6%) tijekom opsežnog testiranja. Ako niste sigurni, koristite gumb za povratne informacije da biste zatražili smjernice.
synthetic_image_detection_itw_spai_mever_name	ITW SPAI	ITW SPAI	ITW SPAI	ITW SPAI	ITW SPAI	ITW SPAI	ITW SPAI	ITW SPAI	ITW SPAI	ITW SPAI	ITW SPAI	ITW SPAI	ITW SPAI
