	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl	rs
navbar_disinfo_deck_description	Set up disinformation RSS feeds and search for existing fact checks	Configurer les flux RSS de désinformation et rechercher des vérifications existantes	Configure fuentes RSS de desinformación y busque verificaciones existentes	Ρυθμίστε ροές RSS παραπληροφόρησης και αναζητήστε υπάρχοντες ελέγχους γεγονότων	Imposta i feed RSS di disinformazione e cerca verifiche esistenti	قم بإعداد خلاصات RSS للمعلومات المضللة وابحث عن تحقق من الحقائق موجود بالفعل	Richten Sie Desinformations-RSS-Feeds ein und suchen Sie nach vorhandenen Faktenchecks	偽情報のRSSフィードを設定し、既存のファクトチェックを検索する	Állítson be dezinformációs RSS-hírcsatornákat, és keressen meglévő tényellenőrzéseket	Configurar feeds RSS de desinformação e buscar verificações de fatos existentes	Postavite RSS feedove za dezinformacije i potražite postojeće provjere činjenica.	Nastavite vire RSS z dezinformacijami in poiščite obstoječa preverjanja dejstev	Поставите RSS фидове за дезинформације и потражите постојеће провере чињеница.
navbar_archiving_description	Archive web pages to the Wayback Machine	Archiver des pages web sur la Wayback Machine	Archivar páginas web en Wayback Machine	Αρχειοθετήστε ιστοσελίδες στο Wayback Machine	Archivia le pagine web sulla Wayback Machine	أرشفة صفحات الويب إلى Wayback Machine	Archiv -Webseiten auf den Wayback -Gerät archivieren	ウェブページをウェイバックマシンにアーカイブする	Weboldalak archiválása a Wayback Machine-be	Arquivar páginas web no Wayback Machine	Arhivirajte web stranice na Wayback Machine.	Arhivirajte spletne strani v Wayback Machine	Архивирајте веб странице на Wayback Machine.
api_help_video	https://www.youtube.com/embed/eEVTYq1LMxM?rel=0	https://www.youtube.com/embed/6kkulKrgtLQ?rel=0	https://www.youtube.com/embed/FtAbxbrJMMY?rel=0	https://www.youtube.com/embed/eEVTYq1LMxM?rel=0	https://www.youtube.com/embed/eevtyq1lmxm?rel=0	https://www.youtube.com/embed/eevtyq1lmxm?rel=0	https://www.youtube.com/embed/eEVTYq1LMxM?rel=0	https://www.youtube.com/embed/eEVTYq1LMxM?rel=0	https://www.youtube.com/embed/eEVTYq1LMxM?rel=0	https://www.youtube.com/embed/FtAbxbrJMMY?rel=0	https://www.youtube.com/embed/eEVTYq1LMxM?rel=0	https://www.youtube.com/embed/eEVTYq1LMxM?rel=0	https://www.youtube.com/embed/eEVTYq1LMxM?rel=0
keyframes_help_video	https://www.youtube.com/embed/iNs8y5DoxP8?rel=0	https://www.youtube.com/embed/kXtjUWTqgFQ?rel=0	https://www.youtube.com/embed/0seFvJXegyc?rel=0	https://www.youtube.com/embed/iNs8y5DoxP8?rel=0	https://www.youtube.com/embed/ins8y5doxp8?rel=0	https://www.youtube.com/embed/ins8y5doxp8?rel=0	https://www.youtube.com/embed/iNs8y5DoxP8?rel=0	https://www.youtube.com/embed/iNs8y5DoxP8?rel=0	https://www.youtube.com/embed/iNs8y5DoxP8?rel=0	https://www.youtube.com/embed/0seFvJXegyc?rel=0	https://www.youtube.com/embed/iNs8y5DoxP8?rel=0	https://www.youtube.com/embed/iNs8y5DoxP8?rel=0	https://www.youtube.com/embed/iNs8y5DoxP8?rel=0
thumbnails_help_video	https://www.youtube.com/embed/Vn0XGlOkSRQ?rel=0	https://www.youtube.com/embed/Ioe5yDqPaL8?rel=0	https://www.youtube.com/embed/cmv_1KJlbhE?rel=0	https://www.youtube.com/embed/Vn0XGlOkSRQ?rel=0	https://www.youtube.com/embed/Vn0XGlOkSRQ?rel=0	https://www.youtube.com/embed/vn0xgloksrq?rel=0	https://www.youtube.com/embed/Vn0XGlOkSRQ?rel=0	https://www.youtube.com/embed/Vn0XGlOkSRQ?rel=0	https://www.youtube.com/embed/Vn0XGlOkSRQ?rel=0	https://www.youtube.com/embed/cmv_1KJlbhE?rel=0	https://www.youtube.com/embed/Vn0XGlOkSRQ?rel=0	https://www.youtube.com/embed/Vn0XGlOkSRQ?rel=0	https://www.youtube.com/embed/Vn0XGlOkSRQ?rel=0
twitter_help_video	https://www.youtube.com/embed/wzMCtpENuHA?rel=0	https://www.youtube.com/embed/g0GldCZCh_Q?rel=0	https://www.youtube.com/embed/zHYJ43lhhOY?rel=0	https://www.youtube.com/embed/wzMCtpENuHA?rel=0	https://www.youtube.com/embed/wzMCtpENuHA?rel=0	https://www.youtube.com/embed/wzmctpenuha?rel=0	https://www.youtube.com/embed/wzMCtpENuHA?rel=0	https://www.youtube.com/embed/wzMCtpENuHA?rel=0	https://www.youtube.com/embed/wzMCtpENuHA?rel=0	https://www.youtube.com/embed/zHYJ43lhhOY?rel=0	https://www.youtube.com/embed/wzMCtpENuHA?rel=0	https://www.youtube.com/embed/wzMCtpENuHA?rel=0	https://www.youtube.com/embed/wzMCtpENuHA?rel=0
magnifier_help_video	https://www.youtube.com/embed/JljRs8p4aK4?rel=0	https://www.youtube.com/embed/_FVyFgMqErM?rel=0	https://www.youtube.com/embed/IMutZWgZEGk?rel=0	https://www.youtube.com/embed/JljRs8p4aK4?rel=0	https://www.youtube.com/embed/JljRs8p4aK4?rel=0	https://www.youtube.com/embed/jljrs8p4ak4?rel=0	https://www.youtube.com/embed/JljRs8p4aK4?rel=0	https://www.youtube.com/embed/JljRs8p4aK4?rel=0	https://www.youtube.com/embed/JljRs8p4aK4?rel=0	https://www.youtube.com/embed/IMutZWgZEGk?rel=0	https://www.youtube.com/embed/JljRs8p4aK4?rel=0	https://www.youtube.com/embed/JljRs8p4aK4?rel=0	https://www.youtube.com/embed/JljRs8p4aK4?rel=0
metadata_help_video	https://www.youtube.com/embed/Mg6Z-Jc54yo?rel=0	https://www.youtube.com/embed/RtG3kWzZfO0?rel=0	https://www.youtube.com/embed/uM-tlI6DpIE?rel=0	https://www.youtube.com/embed/Mg6Z-Jc54yo?rel=0	https://www.youtube.com/embed/Mg6Z-Jc54yo?rel=0	https://www.youtube.com/embed/mg6z-jc54yo?rel=0	https://www.youtube.com/embed/Mg6Z-Jc54yo?rel=0	https://www.youtube.com/embed/Mg6Z-Jc54yo?rel=0	https://www.youtube.com/embed/Mg6Z-Jc54yo?rel=0	https://www.youtube.com/embed/uM-tlI6DpIE?rel=0	https://www.youtube.com/embed/Mg6Z-Jc54yo?rel=0	https://www.youtube.com/embed/Mg6Z-Jc54yo?rel=0	https://www.youtube.com/embed/Mg6Z-Jc54yo?rel=0
copyright_help_video	https://www.youtube.com/embed/NjTXsbF5Wu8?rel=0	https://www.youtube.com/embed/dDQWlR8u-mk?rel=0	https://www.youtube.com/embed/36hvLnIugjI?rel=0	https://www.youtube.com/embed/NjTXsbF5Wu8?rel=0	https://www.youtube.com/embed/NjTXsbF5Wu8?rel=0	https://www.youtube.com/embed/njtxsbf5wu8?rel=0	https://www.youtube.com/embed/NjTXsbF5Wu8?rel=0	https://www.youtube.com/embed/NjTXsbF5Wu8?rel=0	https://www.youtube.com/embed/NjTXsbF5Wu8?rel=0	https://www.youtube.com/embed/36hvLnIugjI?rel=0	https://www.youtube.com/embed/NjTXsbF5Wu8?rel=0	https://www.youtube.com/embed/NjTXsbF5Wu8?rel=0	https://www.youtube.com/embed/NjTXsbF5Wu8?rel=0
forensic_help_video	https://www.youtube.com/embed/de862rAPne4?rel=0	https://www.youtube.com/embed/jiqcixMzmpo?rel=0	https://www.youtube.com/embed/B2D0kPOAWxM?rel=0	https://www.youtube.com/embed/de862rAPne4?rel=0	https://www.youtube.com/embed/de862rAPne4?rel=0	https://www.youtube.com/embed/de862rapne4?rel=0	https://www.youtube.com/embed/de862rAPne4?rel=0	https://www.youtube.com/embed/de862rAPne4?rel=0	https://www.youtube.com/embed/de862rAPne4?rel=0	https://www.youtube.com/embed/B2D0kPOAWxM?rel=0	https://www.youtube.com/embed/de862rAPne4?rel=0	https://www.youtube.com/embed/de862rAPne4?rel=0	https://www.youtube.com/embed/de862rAPne4?rel=0
close	Close	Fermer	Cerrar	Κλείσιμο	Chiudere	إغلاق	Schließen	閉じる	Bezárás	Fechar	Zatvori	Zapri	Затвори
category_video	Video	Vidéo	Video	βίντεο	video	فيديو	Video	動画	Videó	Vídeo	Video	Video	Видео
category_image	Image	Image	Imagen	Εικόνα	Immagine	صورة	Bild	画像	Kép	Imagem	Slika	Slika	Слика
category_audio	Audio	Audio	Audio	Ήχος	Audio	صوت	Audio	音声	Hang	Áudio	Audio	Zvok	Звук
category_search	Search	Recherche	Busqueda	Αναζήτηση	Ricerca	بحث	Suchen	検索	Keresés	Busca	Pretraživanje	Iskanje	Претрага
category_data	Data analysis	Analyse des données	Análisis de datos	Ανάλυση δεδομένων	Analisi dei dati	تحليل البيانات	Datenanalyse	データ解析	Adat elemzés	Análise de dados	Analiza podataka	Analiza podatkov	Анализа података
category_other	Other tools	Autres Outils	Otras herramientas	Άλλα εργαλεία	Altri strumenti	أدوات أخرى	Andere Werkzeuge	その他ツール	Egyéb eszközök	Outras ferramentas	Ostali alati	Druga orodja	Остали алати
navbar_conversation	Twitter Conversation	Conversation sur Twitter	Conversación en Twitter	Συζήτηση στο Twitter	Conversazione su Twitter	محادثة تويتر	Twitter -Gespräch	ツイッターでの議論	Twitter-beszélgetések	Conversa no Twitter	Twitter razgovor	Pogovor na Twitterju	Twitter разговор
navbar_conversation_description	It provides a straightforward way of exploring a Twitter based conversation.	Cet outil permet d'explorer une conversation sur Twitter	Esta herramienta permite explorar una conversación en Twitter	Παρέχει έναν απλό τρόπο εξερεύνησης μιας συνομιλίας με βάση το Twitter.	Fornisce un modo semplice di esplorare una conversazione basata su Twitter.	يوفر طريقة مباشرة لاستكشاف محادثة على تويتر.	Es bietet eine einfache Möglichkeit, ein Twitter -basierter Gespräch zu erkunden.	Twitterベースの議論を探索する方法を提供します	Egyszerű módot biztosít a Twitter alapú beszélgetések böngészésére	Esta ferramenta permite explorar uma conversa no Twitter	Pruža jednostavan način istraživanja razgovora temeljenog na Twitteru.	Omogoča preprost način za raziskovanje pogovora, ki temelji na Twitterju.	Пружа једноставан начин истраживања разговора заснованог на Twitter-у.
navbar_twitter_crowdtangle	CSV Analysis	Analyse CSV	Analisis CSV	Ανάλυση CSV	Analisi CSV	تحليل CSV	CSV Analyse	CSV分析	CSV Elemzés	Análise CSV	Analiza CSV-a	Analiza CSV	Анализа CSV-а
navbar_twitter_crowdtangle_description	It performs social network analysis from a CrowdTangle export	Il effectue une analyse de réseau social à partir d'un export de CrowdTangle	Realiza un análisis de redes sociales desde una exportación de CrowdTangle.	Εκτελεί ανάλυση κοινωνικού δικτύου από την εξαγωγή Crowdtangle	Esegue l'analisi dei social network da un'esportazione di CrowdTangle	يقوم بتحليل الشبكة الاجتماعية من تصدير CrowdTangle	Es führt eine soziale Netzwerkanalyse aus einem Crowdtangle -Export durch	CrowdTangleのエクスポートからソーシャルネットワーク分析を実行します	Közösségi hálózat elemzést végez egy CrowdTangle exportból	Realiza uma análise de redes sociais a partir de uma exportação do CrowdTangle.	Izvodi analizu društvenih mreža iz izvoza CrowdTanglea.	Izvaja analizo družbenega omrežja iz izvoza CrowdTangle	Извршава анализу друштвених мрежа из извоза CrowdTangle-а.
navbar_deepfake_image	Face swap	Échange de visage	Intercambio de caras	Ανταλλαγή προσώπου	Scambio di volti	تبديل الوجه	Gesichtstausch	フェイススワップ	Arccsere (face swap)	Troca de rostos	Zamjena lica	Zamenjava obraza	Замена лица
navbar_deepfake_image_description	It tries to detect if an image has been manipulated through face swapping.	Il essaie de détecter si une image a été manipulée par échange de visage.	Trata de detectar si una imagen ha sido manipulada mediante intercambio de caras.	Προσπαθεί να ανιχνεύσει εάν μια εικόνα έχει υποστεί χειρισμό μέσω εναλλαγής προσώπων.	Cerca di rilevare se un'immagine è stata manipolata tramite scambio de caras.	يحاول اكتشاف ما إذا كانت الصورة قد تم التلاعب بها من خلال تبديل الوجوه.	Es versucht zu erkennen, ob ein Bild durch Face-Swapping manipuliert wurde.	フェイススワップされた画像かどうか検出を試みます	Megpróbálja észlelni, hogy egy képet arc csere útján manipuláltak-e	Tenta detectar se uma imagem foi manipulada mediante troca de rostos.	Pokušava otkriti je li slika manipulirana zamjenom lica.	Poskuša zaznati, ali je bila slika spremenjena z zamenjavo obraza.	Покушава открити је ли слика манипулисана заменом лица.
navbar_geolocation	Geolocalizer	Géolocalisation	Geolocalizador	Geolocalizer	Geolocalizer	محدد الموقع الجغراfi	Geolokalisierung	ジオローカライザー	Geolokátor	Geolocalizador	Geolokator	Geolokator	Геолокатор
navbar_geolocation_description	It uses an algorithm to try to geolocalize an image	Utilise un algorithme pour essayer de géolocaliser une image	Se usa un algoritmo para intentar geolocalizar una imagen.	Χρησιμοποιεί έναν αλγόριθμο για να προσπαθήσει να geolocalize μια εικόνα	Utilizza un algoritmo per cercare di geolocalizzare un'immagine	يستخدم خوارزمية لمحاولة تحديد موقع الصورة جغرافياً	Es verwendet einen Algorithmus, um zu versuchen, ein Bild zu orten.	アルゴリズムを使用して画像の位置情報特定を試みます	Algoritmust használ a kép geolokációjának megkísérlésére	Usa um algoritmo para tentar geolocalizar uma imagem.	Koristi algoritam za pokušaj geolociranja slike.	Uporablja algoritem za poskus geolociranja slike	Користи алгоритам за покушај геолоцирања слике.
navbar_deepfake_video	Deepfake	Deepfake	Deepfake	Deepfake	Deepfake	تزييف عميق	Deepfake	ディープフェイク	Deepfake	Deepfake	Deepfake	Deepfake	Deepfake
navbar_deepfake_video_description	It uses a machine learning classifier which returns the probability that a video contains AI manipulated faces (face swapping and face reenactment).	Il utilise un classificateur à apprentissage automatique qui renvoie la probabilité qu'une vidéo contienne des visages manipulés par l'IA (échange de visage et reconstitution faciale).	Utiliza un clasificador de aprendizaje automático que devuelve la probabilidad de que un video contenga rostros manipulados por IA (intercambio de rostros y recreación facial).	Χρησιμοποιεί έναν ταξινομητή μηχανικής μάθησης ο οποίος επιστρέφει την πιθανότητα ένα βίντεο να περιέχει πρόσωπα που έχουν χειραγωγηθεί με τεχνητή νοημοσύνη (εναλλαγή προσώπου και αναπαράσταση προσώπου).	Utilizza un classificatore di apprendimento automatico che restituisce la probabilità che un video contenga volti manipolati dall'IA (scambio di volti e ricostruzione facciale).	مصنف التعلم الآلي الذي يعيد احتمال احتواء مقطع فيديو على وجوه معالجة بالذكاء الاصطناعي (تبديل الوجه وإعادة تمثيل الوجه)	Es verwendet einen Machine-Learning-Klassifikator, der die Wahrscheinlichkeit angibt, dass ein Video KI-manipulierte Gesichter (Face-Swapping und Face-Reenactment) enthält.	AIが使用された顔 (顔の交換など) が動画に含まれる確率を返す機械学習を使用しています	Gépi tanulást alkalmazó elemzés, amely megmutatja annak verjetőségét, hogy egy videó AI-vel manipulált arcokat tartalmaz-e (arccsere és arc-újraalkotás).	Utiliza um classificador de aprendizado automático que retorna a probabilidade de um vídeo conter rostos manipulados por IA (troca de rostos e recriação facial).	Koristi klasifikator strojnega učenja koji vraća vjerojatnost da videozapis sadrži AI manipulirana lica (zamjena lica i ponovno stvaranje lica).	Uporablja klasifikator strojnega učenja, ki vrne verjetnost, da videoposnetek vsebuje obraze, prirejene z umetno inteligenco (zamenjava obraza in ponovna upodobitev obraza).	Користи класификатор стројног учења који враћа вероватноћу да видео снимак садржи AI манипулисана лица (замена лица и поновно стварање лица).
navbar_synthetic_image_detection	Synthetic image	Image synthétique	Imagen sintética	Συνθετικός ανιχνευτής εικόνας	Immagine sintetica	كاشف الصور الاصطناعية	Synthetisches Bild	合成画像	Szintetikus kép	Imagem sintética	Sintetička slika	Sintetična slika	Синтетичка слика
navbar_synthetic_image_detection_description	It returns the probability whether an image is AI-generated	Il donne la probabilité qu'une image est générée par l'IA.	Devuelve la probabilidad de que una imagen sea generada por IA	Χρησιμοποιεί έναν αλγόριθμο ανίχνευσης για να επιστρέψει την πιθανότητα ότι μια εικόνα περιέχει ένα χειραγωγημένο AI	Restituisce la probabilità che un'immagine sia generata dall'intelligenza artificiale	يستخدم خوارزمية اكتشاف لتقدير إحتمال إحتواء صورة معالجة على AI	Es wird die Wahrscheinlichkeit angezeigt, ob ein Bild mithilfe von KI generiert ist.	画像がAIによって生成されたかどうかの確率を返します	Megmutatja annak a valószínűségét, hogy egy képet AI generált-e	Retorna a probabilidade de uma imagem ser gerada por IA	Vraća vjerojatnost je li slika generirana umjetnom inteligencijom.	Vrne verjetnost, ali je slika ustvarjena z umetno inteligenco	Враћа вероватноћу је ли слика генерисана вештачком интелигенцијом.
navbar_hiya	Hiya	Hiya	Hiya	Hiya	Hiya	Hiya	Hiya	Hiya	Hiya	Hiya	Hiya	Hiya	Hiya
navbar_hiya_description	It detects AI-generated text-to-speech (voice cloning by AI)	Il détecte la conversion de texte en parole générée par l'IA (clonage vocal par l'IA)	Detecta la conversión de texto a voz generada por IA (clonación de voz por IA).	Αναγνωρίζει την ομιλία που δημιουργείται από τεχνητή νοημοσύνη (κλωνοποίηση φωνής από AI)	Rileva la conversione di testo in voce generata dall'IA (clonazione vocale tramite IA)	يكتشف تحويل النص إلى كلام من صنع الذكاء الاصطناعي (استنساخ الصوت بواسطة الذكاء الاصطناعي)	Es erkennt KI-generierte Text-to-Speech (Stimmeklonung durch KI)	AIが生成した音声合成を検出します	Érzékeli az AI által generált szöveg-beszéd (hangklónozás AI által)	Detecta a conversão de texto em fala gerada por IA (clonagem de voz por IA).	Otkriva tekst-u-govor generiran umjetnom inteligencijom (kloniranje glasa pomoću AI).	Zazna besedilo v govor, ustvarjeno z umetno inteligenco (kloniranje glasu z umetno inteligenco)	Открива текст-у-говор генерисан вештачком интелигенцијом (клонирање гласа помоћу AI).
navbar_audiovideo_extraction	FFMPEG Toolkit	Boîte à outils FFMPEG	Kit de herramientas FFMPEG	Εργαλειοθήκη FFMPEG	Kit di strumenti FFMPEG	مجموعة أدوات FFMPEG	FFMPEG-Toolkit	FFMPEGツールキット	FFMPEG eszköztár	Kit de ferramentas FFMPEG	FFMPEG komplet alata	Zbirka orodij FFMPEG	FFMPEG komplet alata
navbar_audiovideo_extraction_description	A tool that lets you edit a local video file and download the audio, the resulting video, and the I-frames.	Un outil qui vous permet me modifier un fichier vidéo local et de télécharger l'audio, la vidéo résultante et les images I.	Una herramienta que te permite editar un archivo de vídeo local y descargar el audio, el vídeo resultante y los fotogramas I.	Ένα εργαλείο που σας επιτρέπει να επεξεργαστείτε ένα τοπικό αρχείο βίντεο και να κατεβάσετε τον ήχο, το τελικό βίντεο και τα I-frames.	Uno strumento che consente di modificare un file video locale e scaricare l'audio, il video risultante e gli I-frame.	أداة تتيح لك تحرير ملف فيديو محلي وتنزيل الصوت والفيديو الناتج وإطارات I-frame.	Ein Tool, mit dem Sie eine lokale Videodatei bearbeiten und das Audio, das resultierende Video und die I-Frames herunterladen können.	ローカルの動画ファイルを編集し、音声、生成された動画、Iフレームをダウンロードできるツール。	Egy eszköz, amellyel helyi videofájlt szerkeszthet, és letöltheti a hangot, a kapott videót és az I-képkockákat.	Uma ferramenta que permite editar um ficheiro de vídeo local e transferir o áudio, o vídeo resultante e as I-frames.	Alat koji vam omogućuje uređivanje lokalne videodDatoteke i preuzimanje zvuka, rezultirajućeg videa i I-sličica.	Orodje, ki vam omogoča urejanje lokalne video datoteke in prenos zvoka, nastalega videa in I-sličic.	Alat koji vam omogućava uređivanje lokalne video datoteke i preuzimanje zvuka, rezultujućeg videa i I-sličica.
navbar_semantic_search	Fact Check semantic search	Recherche sémantique de fact checks	Búsqueda semántica de verificación de hechos	Σημασιολογική αναζήτηση για ελέγχους γεγονότων	Ricerca semantica per verifiche dei fatti	البحث الدلالي عن التحقق من الحقائق	Semantische Suche nach Faktenchecks	ファクトチェックセマンティック検索	Tényellenőrzés szemantikai keresés	Busca semântica de verificação de fatos	Semantičko pretraživanje provjere činjenica	Semantično iskanje preverjanja dejstev	Семантичко претраживање провере чињеница
navbar_semantic_search_description	A semantic search engine for fact checks.	Un moteur de recherche sémantique pour les vérifications de faits.	Un motor de búsqueda semántica para la verificación de hechos.	Μια σημασιολογική μηχανή αναζήτησης για έλεγχο γεγονότων.	Un motore di ricerca semantico per il fact-checking.	محرك بحث دلالي للتحقق من الحقائق.	Eine semantische Suchmaschine für Faktenchecks.	ファクトチェックのためのセマンティック検索エンジン	Szemantikus keresőmotor a tényellenőrzésekhez.	Um motor de busca semântica para a verificação de fatos.	Semantička tražilica za provjere činjenica.	Semantični iskalnik za preverjanje dejstev.	Семантичка претраживач за провере чињеница.
navbar_c2pa	Provenance (C2PA)	Provenance (C2PA)	Procedencia (C2PA)	Προέλευση (C2PA)	Provenienza (C2PA)	الأصل (C2PA)	Provenienz (C2PA)	来歴情報 (C2PA)	Származás (C2PA)	Procedência (C2PA)	Podrijetlo (C2PA)	Poreklo (C2PA)	Порекло (C2PA)
navbar_c2pa_description	It reads an image's C2pa data.	Lit les données C2pa d'une image.	Lee los datos C2pa de una imagen.	Διαβάζει τα δεδομένα C2pa μιας εικόνας.	Legge i dati C2pa di un'immagine.	يقرأ بيانات C2pa لصورة.	Es liest die C2pa-Daten eines Bildes.	画像のC2PAデータを読み取ります。	Beolvassa egy kép C2pa adatait.	Lê os dados C2pa de uma imagem.	Čita C2pa podatke slike.	Prebere podatke C2pa slike.	Чита C2pa податке слике.
navbar_chatbot	Chatbot	Chatbot	Chatbot	Chatbot	Chatbot	Chatbot	Chatbot	Chatbot	Chatbot	Chatbot	Chatbot	Chatbot	Chatbot
navbar_chatbot_description	Content analysis Chatbot	Chatbot d'analyse de contenu	Chatbot de análisis de contenido	Chatbot ανάλυσης περιεχομένου	Chatbot di analisi dei contenuti	روبوت محادثة تحليل المحتوى	Chatbot zur Inhaltsanalyse	コンテンツ分析チャットボット	Tartalomelemző Chatbot	Chatbot de análise de conteúdo	Chatbot za analizu sadržaja.	Chatbot za analizo vsebine.	Chatbot за анализу садржаја.
navbar_poiforensics	POI Forensics	Analyse POI (Personnes d'intérêt)	Forense de PDI (Personas de Interés)	Αυθεντικότητα Προσώπων Ενδιαφέροντος	Analisi forense POI (Persone di Interesse)	التحقق الرقمي للأشخاص المهمين (POI)	POI-Forensik (Personen von Interesse)	POIフォレンジック	POI-elemzés	Forense de PDI (Pessoas de Interesse)	Forenzika osoba od interesa (POI)	Forenzika oseb posebnega pomena (POI)	Форензика особа од интереса (POI)
navbar_poiforensics_description	It uses biometrics models of some person of interest (POI), and then compare them to what is shown in the video, and returns the probability for the video to be AI modified or not	Utilise des modèles biométriques de certaines personnes d'intérêt (POI), puis les compare à ce qui est montré dans la vidéo, et renvoie la probabilité que la vidéo soit modifiée par l'IA ou non.	Utiliza modelos biométricos de alguna persona de interés (POI), luego los compara con lo que se muestra en el video y devuelve la probabilidad de que el video esté modificado por IA o no.	Χρησιμοποιεί βιομετρικά μοντέλα κάποιου προσώπου ενδιαφέροντος (POI) και στη συνέχεια τα συγκρίνει με αυτά που εμφανίζονται στο βίντεο και επιστρέφει την πιθανότητα το βίντεο να έχει τροποποιηθεί από τεχνητή νοημοσύνη ή όχι.	Utilizza modelli biometrici di alcune persone di interesse (POI), quindi li confronta con quanto mostrato nel video e restituisce la probabilità che il video sia modificato dall'IA o meno.	تستخدم نماذج القياسات الحيوية لبعض الأشخاص المهمين (POI)، ثم تقارنها بما يتم عرضه في الفيديو، وتعيد احتمالية تعديل الفيديو بواسطة الذكاء الاصطناعي من عدمه.	Es verwendet biometrische Modelle einiger Personen von Interesse (POI), vergleicht sie dann mit dem, was im Video gezeigt wird, und gibt die Wahrscheinlichkeit an, ob das Video KI-modifiziert ist oder nicht.	特定の重要人物（POI）のバイオメトリクスモデルを使用し、ビデオに映っているものと比較して、ビデオがAIによって改ざんされているかどうかの確率を返します。	Érdeklődésre számot tartó személyek (POI) biometrikus modelljeit használja, majd összehασοnlítja azokat a videóban láthatókkal, és megadja annak valószínűségét, hogy a videót AI-val módosították-e vagy sem.	Utiliza modelos biométricos de alguma pessoa de interesse (POI), depois compara-os com o que é mostrado no vídeo e devolve a probabilidade de o vídeo estar modificado por IA ou não.	Koristi biometrijske modele određenih osoba od interesa (POI), a zatim ih uspoređuje s onim što je prikazano u videu te vraća vjerojatnost je li videozapis modificiran umjetnom inteligencijom ili ne.	Uporablja biometrične modele določene osebe posebnega pomena (POI), jih primerja s tistim, kar je prikazano v videoposnetku, in vrne verjetnost, ali je bil videoposnetek spremenjen z umetno inteligenco ali ne.	Користи биометријске моделе одређених особа од интереса (POI), а затим их упоређује са оним што је приказано у видеу те враћа вероватноћу је ли видео снимак модификован вештачком интелигенцијом или не.
