	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl
deepfake_video_ftcn_description	This method aims to detect temporal anomalies for videos with faces.	Cette méthode vise à detecter des anomalies temporelles dans les visages sur les vidéos.	Este metodo trata de detectar anomalias temporales en los rostros presentes en los videos.	Αυτή η μέθοδος στοχεύει στον εντοπισμό χρονικών ανωμαλιών για βίντεο με πρόσωπα.	Questo metodo mira a rilevare anomalie temporali per i video con volti.	تهدف هذه الطريقة إلى اكتشاف الانحرافات الزمنية لمقاطع الفيديو ذات الوجوه.	Diese Methode zielt darauf ab, zeitliche Anomalien für Videos mit Gesichtern zu erkennen.	この方法は、顔を含む動画の時間的な異常を検出することを目的としています	Ez a módszer az arcokat tartalmazó videók időbeli anomáliáinak észlelésére szolgál.	Este método tenta detectar anomalias temporais nos rostos presentes nos vídeos.	Ova metoda ima za cilj otkriti vremenske anomalije za videozapise s licima.	Ta metoda je namenjena odkrivanju časovnih anomalij za videoposnetke z obrazi.
deepfake_video_facereenact_name	Face Reenactment	Reconfiguration faciale	Modificación de expresiones faciales	Αναπαράσταση προσώπου	Rievocazione del volto	إعادة تمثيل الوجه	Gesicht nach Umstellung	顔の再現映像	Arc újraalkotás	Modificação de expressões faciais	Ponovno uprizorenje lica	Ponovna uprizoritev obraza
deepfake_video_facereenact_description	This method aims to detect if the faces in the video have been synthesized with a transfer from a source face shape to a target face while preserving the appearance and the identity of the target face.	Cette méthode vise à détecter si les visages de la vidéo ont été synthétisés par transfert d'une expression faciale source vers un visage cible tout en conservant l'apparence et l'identité de ce dernier.	Este metodo trata de detectar si los rostros presentes en el video han sido sintetizados por traspaso de una expresión facial fuente hacia un rostro objetivo, conservando la apariencia y la identidad de este ultimo.	Αυτή η μέθοδος στοχεύει να ανιχνεύσει εάν τα πρόσωπα στο βίντεο έχουν συντεθεί με μεταφορά από ένα σχήμα προσώπου πηγής σε ένα πρόσωπο στόχο, διατηρώντας παράλληλα την εμφάνιση και την ταυτότητα του προσώπου στόχου.	Questo metodo mira a rilevare se i volti nel video sono stati sintetizzati con un trasferimento da una forma del viso di origine a un volto di destinazione preservando l'aspetto e l'identità del volto di destinazione.	تهدف هذه الطريقة إلى اكتشاف ما إذا كانت الوجوه الموجودة في الفيديو قد تم تركيبها من خلال النقل من شكل الوجه المصدر إلى الوجه المستهدف مع الحفاظ على مظهر وهوية الوجه المستهدف.	Diese Methode zielt darauf ab, festzustellen, ob die Gesichter im Video mit einer Übertragung von einer Quellengesichtsform zu einem Zielgesicht synthetisiert wurden und gleichzeitig das Aussehen und die Identität des Zielgesichts erhalten.	この方法は、ターゲットの顔の外観とアイデンティティを保持したまま、動画内の顔がソースとなる顔の形状からターゲットの顔に変換されて合成されたかどうかを検出することを目的としています	Ez a módszer azt célozza meg, hogy észlelje, szintézis történt-e az arcokban a videóban egy forrás arcformából egy cél arcformába történő átvitellel, miközben megőrzi a cél arc megjelenését és identitását.	Este método tenta detectar se os rostos presentes no vídeo foram sintetizados por transferência de uma expressão facial fonte para um rosto alvo, conservando a aparência e a identidade deste último.	Ova metoda ima za cilj otkriti jesu li lica u videozapisu sintetizirana prijenosom s izvornog oblika lica na ciljno lice, uz očuvanje izgleda i identiteta ciljnog lica.	Ta metoda je namenjena odkrivanju, ali so bili obrazi v videoposnetku sintetizirani s prenosom iz izvorne oblike obraza na ciljni obraz, pri čemer se ohrani videz in identiteta ciljnega obraza.
deepfake_video_detection_alert	This video has been detected as generated with a	Cette vidéo a été détectée comme étant générée avec un	Este video ha sido detectado como siendo generado con un	Αυτό το βίντεο εντοπίστηκε ότι δημιουργήθηκε με α	Questo video è stato rilevato come generato con a	تم اكتشاف أن هذا الفيديو تم إنشاؤه باستخدام ملف	Dieses Video wurde als erzeugt mit a erkannt	この動画は、次の手法で生成されたものとして検出されました	Ezt a videót a következő algoritmussal generálták:	Este vídeo foi detectado como sendo gerado com um	Ovaj videozapis je detektiran kao generiran s	Ta videoposnetek je bil zaznan kot ustvarjen z
deepfake_video_detection_alert_2	algorithm	algorithme	algoritmo	algorithm	algoritmo	خوارزمية	Algorithmus	アルゴリズム	algoritmus	algoritmo	algoritmom	algoritmom
button_remove	Remove	Supprimer	Eliminar	Αφαιρώ	Rimuovere	إزالة	Entfernen	削除	Eltávolítás	Remover	Ukloni	Odstrani
deepfake_no_face_detection	No face detected	Aucun visage détecté	No se detecta rostro	Δεν εντοπίστηκε πρόσωπο	Nessun volto rilevato	لا يوجد وجه مكتشف	Kein Gesicht entdeckt	顔が検出されませんでした	Nem észlelt arc	Nenhum rosto detectado	Nije detektirano lice	Obraz ni zaznan
button_localfile	Local file	Fichier local	Fichero local	Τοπικό αρχείο	Archivio locale	ملف محلي	Lokale Datei	ローカルファイル	Helyi fájl	Arquivo local	Lokalna datoteka	Lokalna datoteka
submit_button	Submit	Envoyer	Enviar	Υποβολή	Invia	إرسال	Einreichen	送信	Küldés	Enviar	Pošalji	Pošlji
gauge_detection	Detection	Détection	Detección	Ανίχνευση	Rilevamento	الكشف	Erkennung	検出	Észlelés	Detecção	Detekcija	Zaznavanje
gauge_no_detection	No detection	Aucune détection	Sin detección	Χωρίς ανίχνευση	Nessun rilevamento	لا يوجد كشف	Keine Erkennung	検出されない	Nincs észlelés	Sem detecção	Nema detekcije	Brez zaznavanja
gauge_additional_results	Detection details	Détails de la détection	Detalles de detección	Λεπτομέρειες ανίχνευσης	Dettagli di rilevamento	تفاصيل الكشف	Erkennungsdetails	検出内容	Észlelési részletek	Detalhes da detecção	Detalji detekcije	Podrobnosti o zaznavanju
gauge_additional_results_hide	Hide detection details	Masquer les détails de la détection	Ocultar detalles de detección	Απόκρυψη λεπτομερειών ανίχνευσης	Nascondi dettagli rilevamento	إخفاء تفاصيل الكشف	Detektiondetails ausblenden	検出の詳細を非表示にする	Észlelési részletek elrejtése	Ocultar detalhes da detecção	Sakrij detalje detekcije	Skrij podrobnosti o zaznavanju
deepfake_image_rating	Explanation: The Faceswap algorithm of the verification plugin finds	Explication : L'algorithme de Faceswap du plugin de vérification a trouvé	Explicación: El algoritmo Faceswap del plugin de verificación encuentra	Εξήγηση: Ο αλγόριθμος Faceswap του πρόσθετου InVID-WeVerify εντοπίζει	Spiegazione: L'algoritmo Faceswap del plugin di verifica trova	الشرح: خوارزمية Faceswap في إضافة InVID-WeVerify تجد :	Erklärung: Der Faceswap-Algorithmus des InVID-WeVerify-Plugins findet	説明: 検証プラグインの Faceswap アルゴリズムは次の内容を検出します	Magyarázat: A verifikációs bővítmény Faceswap algoritmusa	Explicação: O algoritmo Faceswap do plugin de verificação encontra	Objašnjenje: Faceswap algoritam dodatka za provjeru pronalazi	Pojasnilo: Algoritem za zamenjavo obrazov vtičnika za preverjanje najde
deepfake_image_rating_4	very strong evidence suggesting that this image has been manipulated through face swapping.	très fortes preuves suggérant que cette image a été manipulée par échange de visages.	evidencia muy fuerte sugiriendo que esta imagen ha sido manipulada mediante intercambio de caras.	πολύ ισχυρές ενδείξεις που υποδηλώνουν ότι αυτή η εικόνα έχει υποστεί επεξεργασία μέσω ανταλλαγής προσώπων.	prove molto forti che suggeriscono che questa immagine è stata manipolata tramite scambio di volti.	أدلة قوية جداً تشير إلى أن هذه الصورة تم التلاعب بها من خلال تبديل الوجوه	sehr starke Hinweise darauf, dass dieses Bild durch Gesichtstausch manipuliert wurde.	この画像が顔交換によって改変されたことを示唆するとても強力な証拠	nagyon erős bizonyítékot talál arra, hogy ezt a képet arc cserével manipulálták.	evidência muito forte sugerindo que esta imagem foi manipulada mediante troca de rostos.	vrlo jake dokaze koji upućuju na to da je ova slika manipulirana zamjenom lica.	zelo močne dokaze, ki kažejo, da je bila ta slika spremenjena z zamenjavo obrazov.
deepfake_image_rating_3	strong evidence suggesting that this image has been manipulated through face swapping.	fortes preuves suggérant que cette image a été manipulée par échange de visages.	evidencia fuerte sugiriendo que esta imagen ha sido manipulada mediante intercambio de caras.	ισχυρές ενδείξεις που υποδηλώνουν ότι αυτή η εικόνα έχει υποστεί επεξεργασία μέσω ανταλλαγής προσώπων.	prove solide che suggeriscono che questa immagine è stata manipolata tramite scambio di volti.	أدلة قوية تشير إلى أن هذه الصورة تم التلاعب بها من خلال تبديل الوجوه	starke Hinweise darauf, dass dieses Bild durch Gesichtstausch manipuliert wurde.	この画像が顔交換によって改変されたことを示唆する強力な証拠	erős bizonyítékot talál arra, hogy ezt a képet arc cserével manipulálták.	evidência forte sugerindo que esta imagem foi manipulada mediante troca de rostos.	jake dokaze koji upućuju na to da je ova slika manipulirana zamjenom lica.	močne dokaze, ki kažejo, da je bila ta slika spremenjena z zamenjavo obrazov.
deepfake_image_rating_2	moderate evidence (suspicious but non conclusive) suggesting that this image could be manipulated through face swapping. The absence of detection does not guarantee the image is not post-edited.	preuves modérées (suspectes mais non concluantes) suggérant que cette image pourrait avoir été manipulée par échange de visages. L'absence de détection ne garantit pas que l'image n'a pas été retouchée.	evidencia moderada (sospechosa pero no concluyente) que sugiere que esta imagen podría haber sido manipulada mediante intercambio de caras. La ausencia de detección no garantiza que la imagen no haya sido editada.	μέτριες ενδείξεις (ύποπτες αλλά μη καταληκτικές) που υποδηλώνουν ότι αυτή η εικόνα θα μπορούσε να έχει υποστεί επεξεργασία μέσω ανταλλαγής προσώπων. Η απουσία ανίχνευσης δεν εγγυάται ότι η εικόνα δεν έχει υποστεί επεξεργασία.	evidenze moderate (sospette ma non conclusive) che suggeriscono che questa immagine potrebbe essere stata manipolata tramite scambio di volti. L'assenza di rilevamento non garantisce che l'immagine non sia stata post-editata.	أدلة متوسطة (مشبوهة ولكن غير حاسمة) تشير إلى أن هذه الصورة قد تكون قد تم التلاعب بها من خلال تبديل الوجوه. عدم وجود اكتشاف لا يضمن عدم تحرير الصورة.	moderate Hinweise (verdächtig, aber nicht schlüssig) darauf, dass dieses Bild durch Gesichtstausch manipuliert worden sein könnte. Das Fehlen einer Erkennung garantiert nicht, dass das Bild nicht nachbearbeitet wurde.	この画像が顔交換を通じて改変された可能性があることを示唆する中程度の証拠があります（疑わしいが決定的ではない）。検出されないことで、画像が編集されていないことを保証するものではありません	mérsékelt bizonyítékot (gyanús, de nem meggyőző) talál arra, hogy ezt a képet arc cserével manipulálhatták. Az észlelés hiánya nem garantálja, hogy a kép nincs utószerkesztve.	evidência moderada (suspeita, mas não conclusiva) que sugere que esta imagem pode ter sido manipulada mediante troca de rostos. A ausência de detecção não garante que a imagem não tenha sido editada.	umjerene dokaze (sumnjivo, ali ne i konačno) koji upućuju na to da bi ova slika mogla biti manipulirana zamjenom lica. Odsutnost detekcije ne jamči da slika nije naknadno uređena.	zmerne dokaze (sumljive, a ne dokončne), ki kažejo, da bi bila ta slika lahko spremenjena z zamenjavo obrazov. Odsotnost zaznave ne zagotavlja, da slika ni bila naknadno urejena.
deepfake_image_rating_1	weak evidence (non conclusive) suggesting that this image could be manipulated through face swapping. The absence of detection does not guarantee the image is not post-edited.	preuves faibles (non concluantes) suggérant que cette image pourrait être manipulée par échange de visages. L'absence de détection ne garantit pas que l'image n'a pas été retouchée.	evidencia débil (no concluyente) que sugiere que esta imagen podría haber sido manipulada mediante intercambio de caras. La ausencia de detección no garantiza que la imagen no haya sido editada posteriormente.	ασθενείς ενδείξεις (μη καταληκτικές) που υποδηλώνουν ότι αυτή η εικόνα θα μπορούσε να έχει υποστεί επεξεργασία μέσω ανταλλαγής προσώπων. Η απουσία ανίχνευσης δεν εγγυάται ότι η εικόνα δεν έχει υποστεί επεξεργασία.	evidenze deboli (non conclusive) che suggeriscono che questa immagine potrebbe essere stata manipulata tramite scambio di volti. L'assenza di rilevamento non garantisce che l'immagine non sia stata post-editata.	أدلة ضعيفة (غير حاسمة) تشير إلى أن هذه الصورة قد تكون قد تم التلاعب بها من خلال تبديل الوجوه. عدم وجود اكتشاف لا يضمن عدم تحرير الصورة.	schwache Hinweise (nicht schlüssig) darauf, dass dieses Bild durch Gesichtstausch manipuliert worden sein könnte. Das Fehlen einer Erkennung garantiert nicht, dass das Bild nicht nachbearbeitet wurde.	この画像が顔交換を通じて改変されたことを示唆する弱い証拠があります(決定的ではありません)。検出されないことで、画像が編集されていないことを保証するものではありません。	gyenge bizonyítékot (nem meggyőző) talál arra, hogy ezt a képet arc cserével manipulálhatták. Az észlelés hiánya nem garantálja, hogy a kép nincs utószerkesztve.	evidência fraca (não conclusiva) que sugere que esta imagem pode ter sido manipulada mediante troca de rostos. A ausência de detecção não garante que a imagem não tenha sido editada posteriormente.	slabe dokaze (nekonkluzivno) koji upućuju na to da bi ova slika mogla biti manipulirana zamjenom lica. Odsutnost detekcije ne jamči da slika nije naknadno uređena.	šibke dokaze (ne dokončne), ki kažejo, da bi bila ta slika lahko spremenjena z zamenjavo obrazov. Odsotnost zaznave ne zagotavlja, da slika ni bila naknadno urejena.
