	en	fr	es	el	it	ar	de	ja
unsupported_platform	This platform is not yet supported.	Cette plateforme n'est pas encore prise en charge.	Esta plataforma aún no es compatible.	Αυτή η πλατφόρμα δεν υποστηρίζεται ακόμα.	Questa piattaforma non è ancora supportata.	هذا النظام الأساسي غير مدعوم بعد.	Diese Plattform wird noch nicht unterstützt.	このプラットフォームはまだサポートされていません。
internet_archive_button	Archive this link with the Internet Archive	Archiver ce lien avec Internet Archive	Archivar este enlace con Internet Archive	Αρχειοθέτηση αυτού του συνδέσμου με το Internet Archive	Archivia questo link con Internet Archive	أرشف هذا الرابط باستخدام Internet Archive	Diesen Link mit dem Internet Archive archivieren	このリンクをInternet Archiveでアーカイブする
permacc_button	Archive this link using Perma CC. Not yet available.	Archivez ce lien en utilisant Perma CC. Pas encore disponible.	Archiva el enlace usando Perma CC. Aún no disponible.	Αρχειοθετήστε τον σύνδεσμο χρησιμοποιώντας το Perma CC. Δεν είναι ακόμα διαθέσιμο.	Archivia il link utilizzando Perma CC. Non ancora disponibile.	أرشف الرابط باستخدام Perma CC. غير متاح بعد.	Archivieren Sie den Link mit Perma CC. Noch nicht verfügbar.	Perma CC を使用してこのリンクをアーカイブします。まだ利用できません。
link_submitted	Link submitted	Lien envoyé	Enlace enviado	Σύνδεσμος καταχωρήθηκε	Link inviato	الرابط المُدخل	Eingereichter Link	送信されたリンク
media_url	Media file URL	URL du fichier multimédia	URL del archivo multimedia	Διεύθυνση URL αρχείου πολυμέσων	URL del file multimediale	عنوان URL لملف الوسائط	Medien-Datei-URL	メディアファイルのURL
fetch_error	Failed to fetch the media URL	Échec de la récupération de l'URL du média	Error al obtener la URL del archivo multimedia	Αποτυχία ανάκτησης του URL πολυμέσων	Impossibile recuperare l'URL del file multimediale	فشل في جلب عنوان URL للوسائط	Fehler beim Abrufen der Medien-URL	メディアURLを取得できませんでした
upload_error	Upload error — An error happened with the file upload. Try with another file.	Erreur de téléchargement — Une erreur s'est produite lors du téléchargement du fichier. Essayez avec un autre fichier.	Error de carga: se produjo un error con la carga del archivo. Intenta con otro archivo.	Σφάλμα μεταφόρτωσης — Παρουσιάστηκε σφάλμα κατά τη μεταφόρτωση του αρχείου. Δοκιμάστε με άλλο αρχείο.	Errore di caricamento — Si è verificato un errore durante il caricamento del file. Prova con un altro file.	خطأ في التحميل - حدث خطأ أثناء تحميل الملف. حاول مع ملف آخر.	Hochladefehler — Beim Hochladen der Datei ist ein Fehler aufgetreten. Versuchen Sie es mit einer anderen Datei.	アップロードエラー - ファイルのアップロード中にエラーが発生しました。別のファイルを試してください。
file_error	File error — The file is not a .wacz file	Erreur de fichier — Le fichier n'est pas un fichier .wacz	Error de archivo: el archivo no es un archivo .wacz	Σφάλμα αρχείου — Το αρχείο δεν είναι αρχείο .wacz	Errore file — Il file non è un file .wacz	خطأ في الملف - الملف ليس ملف .wacz	Dateifehler – Die Datei ist keine .wacz-Datei	ファイルエラー - ファイルが .wacz ファイルではありません
archiving_error	An error happened while trying to archive the link. Please try with another link.	Une erreur est survenue lors de la tentative d'archivage du lien. Veuillez essayer avec un autre lien.	Se produjo un error al intentar archivar el enlace. Inténtelo con otro enlace.	Παρουσιάστηκε σφάλμα κατά την προσπάθεια αρχειοθέτησης του συνδέσμου. Δοκιμάστε με έναν άλλο σύνδεσμο.	Si è verificato un errore durante il tentativo di archiviare il link. Prova con un altro link.	حدث خطأ أثناء محاولة أرشفة الرابط. يرجى المحاولة برابط آخر.	Beim Versuch, den Link zu archivieren, ist ein Fehler aufgetreten. Bitte versuchen Sie es mit einem anderen Link.	リンクをアーカイブしようとしてエラーが発生しました。別のリンクを試してください。
upload_loading	Loading... This can take up to a few minutes	Chargement... Cela peut prendre quelques minutes	Cargando... Esto puede tardar unos minutos	Φόρτωση... Αυτό μπορεί να διαρκέσει λίγα λεπτά	Caricamento... Questo potrebbe richiedere alcuni minuti	جارٍ التحميل... قد يستغرق ذلك بضع دقائق	Laden... Dies kann einige Minuten dauern	読み込み中... 数分かかる場合があります
upload_success	Your archive link was created successfully! Please take into account that the correct display of your archive on the Wayback machine may still require several minutes to process your WACZ file.	Votre lien d'archives a été créé avec succès! Veuillez prendre en compte que l'affichage correct de vos archives sur la machine Wayback peut toujours nécessiter plusieurs minutes pour traiter votre fichier WACZ.	¡Su enlace de archivo fue creado con éxito! Tenga en cuenta que la visualización correcta de su archivo en la máquina Wayback aún puede requerir varios minutos para procesar su archivo WACZ.	Ο σύνδεσμος αρχείου σας δημιουργήθηκε με επιτυχία! Λάβετε υπόψη ότι η σωστή εμφάνιση του αρχείου σας στη μηχανή Wayback ενδέχεται να απαιτεί ακόμα αρκετά λεπτά για να επεξεργαστείτε το αρχείο WACZ.	Il tuo link ad archivio è stato creato correttamente! Tieni presente che la visualizzazione corretta del tuo archivio sulla macchina Wayback potrebbe ancora richiedere diversi minuti per elaborare il file WACZ.	تم إنشاء رابط الأرشيف الخاص بك بنجاح! يرجى مراعاة أن العرض الصحيح لأرشيفك على جهاز Wayback قد لا يزال يتطلب عدة دقائق لمعالجة ملف WACZ الخاص بك.	Ihr Archivlink wurde erfolgreich erstellt! Bitte berücksichtigen Sie, dass die richtige Anzeige Ihres Archivs auf dem Wayback -Computer möglicherweise noch einige Minuten benötigt, um Ihre Wacz -Datei zu verarbeiten.	アーカイブリンクは正常に作成されました！ WACZファイルを処理するのにまだ数分かかる場合があることを考慮してください。
archived_url_table_header	Archived URL	URL archivée	URL archivada	Αρχειοθετημένο URL	URL archiviato	URL مؤرشف	Archivierte URL	アーカイブされたURL
original_url_table_header	Original URL	URL originale	URL original	Πρωτότυπο URL	URL originale	URL الأصلي	Ursprüngliche URL	オリジナルURL
continue_button	Continue	Continuer	Continuar	Συνέχεια	Continua	متابعة	Fortfahren	続ける
new_archive_button	New archive	Nouvelle archive	Nuevo archivo	Νέο αρχείο	Nuovo archivio	أرشيف جديد	Neues Archiv	新しいアーカイブ
back_button	Back	Retour	Atrás	Πίσω	Indietro	عودة	Zurück	戻る
menu_tooltip	Shortcuts	Raccourcis	Atajos	Συντομεύσεις	Scorciatoie	اختصارات	Shortcuts	ショートカット
menu_restart	Restart from the beginning	Recommencer depuis le début	Reiniciar desde el principio	Ξεκινήστε από την αρχή	Riparti dall'inizio	إعادة بدء من البداية	Neu starten	最初から再開
menu_wbm_step	Go to Archiving with classical tips	Aller à l'archivage avec des methodes classiques	Ir a Archiving con consejos convencionales	Μεταβείτε στην αρχειοθέτηση με συμβατικές συμβουλές	Vai alla archiviazione con consigli convenzionali	اذهب إلى الأرشفة بنصيحة تقليدية	Gehen Sie mit klassischen Spitzen zum Archivieren	古典的なヒントを使用してアーカイブに移動します
menu_wacz_step	Go to Archiving with WACZ file upload	Accédez à l'archivage avec le téléchargement de fichiers WACZ	Ir a Archiving con la carga de archivos WACZ	Μεταβείτε στην αρχειοθέτηση με μεταφόρτωση αρχείων WACZ	Vai all'archiviazione con il caricamento dei file Wacz	انتقل إلى الأرشفة مع تحميل ملف WACZ	Gehen Sie zum Archiving mit WACZ -Datei -Upload	WACZファイルのアップロードを使用してアーカイブに移動します
scoop_button_loading	Processing...	En cours de traitement	Procesando...	Επεξεργασία...	In elaborazione...	جاري المعالجة...	Verarbeitung...	処理中...
scoop_button_download	Download .WACZ file	Télécharger le fichier .WACZ	Descargar archivo .WACZ	Κατεβάστε το αρχείο .WACZ	Scarica il file .WACZ	تحميل ملف .WACZ	.WACZ Datei herunterladen	.WACZファイルをダウンロード
step1_title	Enter the URL to archive	Saisissez l’URL à archiver	Introduce la URL para archivar	Εισαγάγετε τη διεύθυνση URL για αρχειοθέτηση	Immetti l’URL da archiviare	أدخل عنوان URL للأرشفة	Geben Sie die URL zum Archivieren ein	アーカイブするURLを入力してください
step1_invalid_url_error	Incorrect URL.	URL incorrecte.	URL incorrecta.	Λανθασμένη διεύθυνση URL.	URL non corretta.	عنوان URL غير صحيح.	Fehlerhafte URL.	URLが正しくありません。
step1_textfield_label	URL	URL	URL	URL	URL	URL	URL	URL
step1_recommended_caption	Recommended, higher quality archive	Recommandé, archive de meilleure qualité	Recomendado, archivo de mayor calidad	Προτεινόμενο, αρχείο υψηλότερης ποιότητας	Consigliato, archivio di qualità superiore	موصى به، أرشيف عالي الجودة	Empfohlen, hochwertiges Archiv	高品質アーカイブ(推奨)
step1_wacz_upload_title	WACZ upload	Téléversement WACZ	Carga de WACZ	Μεταφόρτωση WACZ	Caricamento WACZ	تحميل WACZ	WACZ-Upload	WACZ アップロード
step1_wacz_upload_subtitle	Continue with building a WACZ file	Continuer avec la création d’un fichier WACZ	Continuar con la creación de un archivo WACZ	Συνεχίστε με τη δημιουργία ενός αρχείου WACZ	Continua con la creazione di un file WACZ	تابع مع إنشاء ملف WACZ	Mit dem Erstellen einer WACZ-Datei fortfahren	WACZ ファイルの作成を続行
step1_not_recommended_caption	Less recommended, archive may fail to play	Moins recommandé, l'archive pourrait ne pas fonctionner	Menos recomendado, el archivo puede no reproducirse	Λιγότερο προτεινόμενο, το αρχείο μπορεί να μην αναπαραχθεί	Meno consigliato, l'archivio potrebbe non funzionare بشكل صحيح	أقل توصية، قد يفشل الأرشيف في التشغيل	Weniger empfohlen, das Archiv könnte nicht abspielbar sein	あまり推奨されません。アーカイブが再生されない可能性があります
step1_wbm_upload_title	Save on the Wayback Machine	Enregistrer sur la Wayback Machine	Guardar en la Wayback Machine	Αποθήκευση στο Wayback Machine	Salva su Wayback Machine	حفظ على Wayback Machine	Speichern auf der Wayback Machine	Wayback Machineに保存する
step1_wbm_upload_subtitle	Save the URL directly to the Wayback Machine	Enregistrer l'URL directement sur la Wayback Machine	Guardar la URL directamente en la Wayback Machine	Αποθήκευση του URL απευθείας στο Wayback Machine	Salva l'URL direttamente su Wayback Machine	حفظ الرابط مباشرة على Wayback Machine	URL مباشرة إلى Wayback Machine speichern	Wayback MachineにURLを保存する
step2_title	Build a WACZ file	Créer un fichier WACZ	Crear un archivo WACZ	Δημιουργήστε ένα αρχείο WACZ	Crea un file WACZ	إنشاء ملف WACZ	Eine WACZ-Datei erstellen	WACZファイルを作成する
step2_recommended_caption	Recommended	Recommandé	Recomendado	Συνιστάται	Consigliato	موصى به	Empfohlen	推奨
step2_wbm_title	Use Webrecorder	Utiliser Webrecorder	Usar Webrecorder	Χρησιμοποιήστε το Webrecorder	Usa Webrecorder	استخدم Webrecorder	Webrecorder verwenden	Webrecorder を使用する
step2_wbm_subtitle	Capture the WACZ file manually using Webrecorder for best performance.	Capturez le fichier WACZ manuellement avec Webrecorder pour de meilleures performances.	Captura el archivo WACZ manualmente con Webrecorder para un mejor rendimiento.	Καταγράψτε το αρχείο WACZ χειροκίνητα χρησιμοποιώντας το Webrecorder για καλύτερη απόδοση.	Cattura manualmente il file WACZ utilizzando Webrecorder per le migliori prestazioni.	التقط ملف WACZ يدويًا باستخدام Webrecorder للحصول على أفضل أداء.	Erfassen Sie die WACZ-Datei manuell mit Webrecorder für die beste Leistung.	最適なパフォーマンスを実現するため、Webrecorderを使用してWACZファイルを手動でキャプチャします
step2_wbm_dl_extension	Download the Webrecorder's archiveweb.page Chrome extension	Téléchargez l'extension Chrome archiveweb.page de Webrecorder	Descarga la extensión de Chrome archiveweb.page de Webrecorder	Κατεβάστε την επέκταση Chrome archiveweb.page του Webrecorder	Scarica l'estensione Chrome archiveweb.page di Webrecorder	قم بتنزيل ملحق Chrome archiveweb.page من Webrecorder	Laden Sie die archiveweb.page-Chrome-Erweiterung von Webrecorder herunter	Webrecorder の archiveweb.page Chrome 拡張機能をダウンロードします
step2_wbm_user_guide	Webrecorder's archiveweb.page user guide	Guide d'utilisation de l'extension archiveweb.page de Webrecorder	Guía de usuario de la extensión archiveweb.page de Webrecorder	Οδηγός χρήσης της επέκτασης archiveweb.page του Webrecorder	Guida utente dell'estensione archiveweb.page di Webrecorder	دليل مستخدم ملحق archiveweb.page الخاص بـ Webrecorder	Benutzerhandbuch für die archiveweb.page-Erweiterung von Webrecorder	Webrecorder の archiveweb.page ユーザーガイド
step2_video_tutorial_title	Video tutorial	Tutoriel vidéo	Tutorial en video	Βίντεο εκμάθησης	Tutorial video	برنامج تعليمي بالفيديو	Videotutorial	ビデオチュートリアル
step2_not_recommended_caption	Beta — May not work with all URLs	Bêta — Peut ne pas fonctionner avec toutes les URL	Beta: puede no funcionar con todas las URL	Βήτα — Μπορεί να μην λειτουργεί με όλα τα URL	Beta — Potrebbe non funzionare con tutti gli URL	نسخة تجريبية - قد لا تعمل مع جميع الروابط	Beta – Möglicherweise nicht mit allen URLs kompatibel	ベータ版 — すべてのURLで機能しない場合があります
step2_scoop_title	Use Scoop	Utiliser Scoop	Usar Scoop	Χρησιμοποιήστε το Scoop	Usa Scoop	استخدم Scoop	Scoop verwenden	Scoop を使用する
step2_scoop_subtitle	Use Scoop to download the WACZ file in 1 click.	Utilisez Scoop pour télécharger le fichier WACZ en 1 clic.	Usa Scoop para descargar el archivo WACZ en 1 clic.	Χρησιμοποιήστε το Scoop για να κατεβάσετε το αρχείο WACZ με 1 κλικ.	Usa Scoop per scaricare il file WACZ in 1 clic.	استخدم Scoop لتنزيل ملف WACZ بنقرة واحدة.	Verwenden Sie Scoop, um die WACZ-Datei mit einem Klick herunterzuladen.	Scoop を使用して WACZ ファイルを 1 クリックでダウンロードします。
step3_title	Replay the WACZ file	Rejouer le fichier WACZ	Reproducir el archivo WACZ	Αναπαραγωγή του αρχείου WACZ	Riproduci il file WACZ	إعادة تشغيل ملف WACZ	Spielen Sie die WACZ-Datei erneut ab	WACZ ファイルを再生します
step3_subtitle	Make sure the archive captured in the WACZ file worked. Use Webrecorder to replay the archive, and make sure the media is captured and readable.	Assurez-vous que l'archive capturée dans le fichier WACZ fonctionne. Utilisez Webrecorder pour rejouer l'archive et assurez-vous que les médias sont capturés et lisibles.	Asegúrese de que el archivo capturado en el archivo WACZ funcione. Utilice Webrecorder para reproducir el archivo y asegúrese de que los medios estén capturados y sean legibles.Βεβαιωθείτε ότι το αρχείο που καταγράφηκε στο αρχείο WACZ λειτουργεί. Χρησιμοποιήστε το Webrecorder για να αναπαραγάγετε το αρχείο και βεβαιωθείτε ότι τα μέσα είναι καταγεγραμμένα και αναγνώσιμα.Assicurati che l'archivio catturato nel file WACZ funzioni. Usa Webrecorder per riprodurre l'archivio e assicurati che i media siano catturati e leggibili.تأكد من أن الأرشيف الذي تم التقاطه في ملف WACZ يعمل. استخدم Webrecorder لإعادة تشغيل الأرشيف وتأكد من أن الوسائط تم التقاطها وقابلة للقراءة.Stellen Sie sicher, dass das Archiv, das in der WACZ-Datei erfasst wurde, funktioniert. Verwenden Sie Webrecorder, um das Archiv abzuspielen, und stellen Sie sicher, dass die Medien erfasst und lesbar sind.WACZ ファイルにキャプチャされたアーカイブが正常に動作することを確認してください。Webrecorderを使用してアーカイブを再生し、メディアがキャプチャされて読み取り可能であることを確認してください。
step3_wbm_dl_extension	Download the Webrecorder's archiveweb.page Chrome extension	Téléchargez l'extension Chrome archiveweb.page de Webrecorder	Descarga la extensión de Chrome archiveweb.page de Webrecorder	Κατεβάστε την επέκταση Chrome archiveweb.page του Webrecorder	Scarica l'estensione Chrome archiveweb.page di Webrecorder	قم بتنزيل ملحق Chrome archiveweb.page من Webrecorder	Laden Sie die archiveweb.page-Chrome-Erweiterung von Webrecorder herunter	Webrecorder の archiveweb.page Chrome 拡張機能をダウンロードします
step3_wbm_user_guide	Webrecorder's ReplayWeb.page user guide	Guide de l'utilisateur de ReplayWeb.page de Webrecorder	Guía del usuario de ReplayWeb.page de Webrecorder	Οδηγός χρήστη του ReplayWeb.page του Webrecorder	Guia dell'utente di ReplayWeb.page di Webrecorder	دليل مستخدم ReplayWeb.page من Webrecorder	Benutzerhandbuch für ReplayWeb.page von Webrecorder	WebrecorderのReplayWeb.pageユーザーガイド
step3_video_tutorial_title	Video tutorial	Tutoriel vidéo	Tutorial en video	Βίντεο εκμάθησης	Tutorial video	برنامج تعليمي بالفيديو	Videotutorial	ビデオチュートリアル
step3_radio_wacz	The WACZ file was correctly replayed by Webrecorder's ReplayWeb.page	Le fichier WACZ a été correctement rejoué par ReplayWeb.page de Webrecorder	El archivo WACZ se reprodujo correctamente con ReplayWeb.page de Webrecorder	Το αρχείο WACZ αναπαράχθηκε σωστά από το ReplayWeb.page του Webrecorder	Il file WACZ è stato riprodotto correttamente da ReplayWeb.page di Webrecorder	تم إعادة تشغيل ملف WACZ بشكل صحيح بواسطة ReplayWeb.page من Webrecorder	Die WACZ-Datei wurde korrekt von ReplayWeb.page von Webrecorder wiedergegeben	Webrecorder の ReplayWeb.page によって WACZ ファイルが正しく再生されました
step3_radio_wbm	There was an issue with replaying the archive (try another method)	Il y a eu un problème avec la lecture de l'archive (essayez une autre méthode)	Hubo un problema al reproducir el archivo (intenta otro método)	Υπήρξε πρόβλημα με την αναπαραγωγή του αρχείου (δοκιμάστε άλλη μέθοδο)	C'è stato un problema nella riproduzione dell'archivio (prova un altro metodo)	كانت هناك مشكلة في إعادة تشغيل الأرشيف (جرب طريقة أخرى)	Es gab ein Problem bei der Wiedergabe des Archivs (versuchen Sie eine andere Methode)	アーカイブの再生に問題が発生しました（別の方法を試してください）
step3_radio_helper_text	Please select an option	S'il vous plaît sélectionnez une option	Por favor, seleccione una opción	Παρακαλώ επιλέξτε μια επιλογή	Per favore, seleziona un'opzione	يرجى تحديد خيار	Bitte wählen Sie eine Option	オプションを選択してください
step4_title	Upload the WACZ file	Téléchargez le fichier WACZ	Cargue el archivo WACZ	Ανεβάστε το αρχείο WACZ	Carica il file WACZ	تحميل ملف WACZ	Laden Sie die WACZ-Datei hoch	WACZファイルをアップロードしてください
step5_file_name	File name	Nom du fichier	Nombre de archivo	Όνομα αρχείου	Nome del file	اسم الملف	Dateiname	ファイル名
convert_singlefile	Convert	Convertir	Convertir	Μετατροπή	Convertire	تحويل	Konvertieren	変換する
upload_singlefile	Upload the Singlefile	Télécharger le Singlefile	Subir el Singlefile	Ανεβάστε το αρχείο	Carica il Singlefile	Singlefile قم بتحميل	Die Singlefile hochladen	ファイルをアップロードする
step2_singlefile_title	Use Singlefile	Utiliser Singlefile	Usar Singlefile	Χρησιμοποιήστε το αρχείο	Usa Singlefile	Singlefile استخدم	Verwenden Sie Singlefile	ファイルを使用する
step2_singlefile_subtitle	Convert Singlefile HTML into WACZ	Convertir Singlefile HTML en WACZ	Convertir Singlefile HTML en WACZ	Μετατροπή του αρχείου HTML σε WACZ	Converti Singlefile HTML in WACZ	WACZ إلى Singlefile HTML حول	Konvertieren Sie Singlefile HTML in WACZ	ファイルのHTMLをWACZに変換する
singlefile_warning	Still testing	Encore en test	Aún en pruebas	Ακόμα σε δοκιμή	Ancora in fase di test	Singlefile لا يزال قيد الاختبار	Noch im Test	まだテスト中
singlefile_telegram_label	Telegram link	Lien Telegram	Enlace de Telegram	Σύνδεσμος Telegram	Link Telegram	رابط Telegram Singlefile	Der Telegram-Link	Telegramのリンク
step2_singlefile_set_telegram	Add link when archiving Telegram	Ajouter un lien lors de l'archivage de Telegram	Agregar enlace al archivar Telegram	Προσθήκη συνδέσμου κατά την αρχειοθέτηση του Telegram	Aggiungi link durante l'archiviazione di Telegram	إضافة رابط عند أرشفة Telegram Singlefile	Beim Archivieren von Telegram einen Link hinzufügen	Telegramをアーカイブするときにリンクを追加
step2_singlefile_set_telegram_subtitle	Use original link instead of browser URL	Utiliser le lien original au lieu de l'URL du navigateur	Usar el enlace original en lugar de la URL del navegador	Χρησιμοποιήστε τον αρχικό σύνδεσμο αντί για το URL του προγράμματος περιήγησης	Usa il link originale invece dell'URL del browser	استخدم الرابط الأصلي بدلاً من عنوان URL في المتصفح Singlefile	Originalen Link anstelle der Browser-URL verwenden	ブラウザーのURLの代わりに元のリンクを使用
