	en	fr	es	el	ar	de
synthetic_audio_detection_adm_description	This model can detect fully synthetic images generated by ADMs or architectures that are similar. The model's architecture is a variant of  ResNet50, including an initial layer for residual extraction and with no downsampling in the first layer. The model is not pretrained and strong augmentations are carried out including blurring, compression, gaussian noise adding, geometric transformations, cut-out, and brightness and contrast changes.	Ce modèle peut détecter des images entièrement synthétiques générées par des ADMs ou des architectures similaires. L'architecture du modèle est une variante de ResNet50, comprenant une couche initiale pour l'extraction des résidus et sans réduction d'échantillonnage dans la première couche. Le modèle n'est pas préentraîné et des augmentations importantes sont effectuées, notamment le flou, la compression, l'ajout de bruit gaussien, les transformations géométriques, le cut-out, ainsi que des modifications de luminosité et de contraste.	Este modelo puede detectar imágenes completamente sintéticas generadas por ADMs o arquitecturas similares. La arquitectura del modelo es una variante de ResNet50, que incluye una capa inicial para la extracción residual y sin reducción en la primera capa. El modelo no está preentrenado y se realizan fuertes aumentos, incluyendo desenfoque, compresión, adición de ruido gaussiano, transformaciones geométricas, cut-out y cambios de brillo y contraste.	Αυτό το μοντέλο μπορεί να ανιχνεύσει πλήρως συνθετικές εικόνες που παράγονται από ADMs ή αρχιτεκτονικές που είναι παρόμοιες. Η αρχιτεκτονική του μοντέλου είναι μια παραλλαγή του ResNet50, περιλαμβάνοντας μια αρχική στρώση για την εξαγωγή υπολοίπων χωρίς μείωση του δείγματος στην πρώτη στρώση. Το μοντέλο δεν είναι προ-εκπαιδευμένο και γίνονται ισχυρές αυξήσεις περιλαμβανομένων του θολώματος, της συμπίεσης, της προσθήκης θορύβου Gaussian, των γεωμετρικών μετασχηματισμών, του cut-out και των αλλαγών φωτεινότητας και αντίθεσης.	يمكن لهذا النموذج اكتشاف الصور الاصطناعية بشكل كامل التي تم إنشاؤها بواسطة ADMs أو هندسات مماثلة. تعتبر هندسة النموذج متغيرة من ResNet50 ، بما في ذلك طبقة بداية لاستخراج البقايا وبدون تخفيض في الطبقة الأولى. النموذج ليس معتمدًا مسبقًا ويتم إجراء تعزيزات قوية بما في ذلك التشويش والضغط وإضافة الضوضاء الغاوسية والتحولات الهندسية والقطع وتغييرات السطوع والتباين.	Dieses Modell kann vollständig synthetische Bilder erkennen, die von ADMS oder Architekturen erzeugt werden, die ähnlich sind. Die Architektur des Modells ist eine Variante von ResNet50, einschließlich einer Anfangsschicht für die Restextraktion und ohne Down -Sampling in der ersten Schicht. Das Modell ist nicht vorgezogen und es werden starke Augmentationen durchgeführt, einschließlich Unschärfe, Komprimierung, Gaußschen Rauschen, geometrische Transformationen, Ausschnitte sowie Helligkeit und Kontraständerungen.
synthetic_audio_detection_title	Detection results	Résultats de la détection	Resultados de la detección	Αποτελέσματα ανίχνευσης	نتائج الكشف	Erkennungsergebnisse
loccus_detection_rating_4	Very likely AI-generated	Très probablement généré par l'IA	Muy probablemente generado por inteligencia artificial	Πολύ πιθανότατα παραγόμενο από την τεχνητή νοημοσύνη	من المحتمل جدا أن يكون مولدًا بواسطة الذكاء الاصطناعي	Sehr wahrscheinlich durch KI generiert
loccus_detection_rating_3	Likely AI-generated	Probablement généré par l'IA	Probablemente generado por inteligencia artificial	Πιθανώς παραγόμενο από ΤΝ	من المحتمل أن يكون مولدًا بواسطة الذكاء الاصطناعي	Wahrscheinlich durch KI generiert
loccus_detection_rating_2	Likely real	Probablement réel	Probablemente real	Πιθανώς πραγματικό	من المحتمل أن يكون حقيقيًا	Wahrscheinlich echt
loccus_detection_rating_1	Very likely real	Très probablement réel	Muy probablemente real	Πολύ πιθανώς πραγματικό	من المحتمل جدا أن يكون حقيقيًا	Sehr wahrscheinlich echt
synthetic_audio_detection_error_400	Error: Invalid audio link. Ensure it points to a publicly accessible audio with dimensions between 128x128 and 2000x2000 pixels.	Erreur : Lien d'audio invalide. Assurez-vous qu'il pointe vers une audio accessible publiquement avec des dimensions entre 128x128 et 2000x2000 pixels.	Error: Enlace de imagen no válido. Asegúrate de que apunte a una imagen accesible públicamente con dimensiones entre 128x128 y 2000x2000 píxeles.	Σφάλμα: Άκυρος σύνδεσμος εικόνας. Βεβαιωθείτε ότι δείχνει προς μια δημόσια προσβάσιμη εικόνα με διαστάσεις από 128x128 έως 2000x2000 pixels.	خطأ: رابط الصورة غير صالح. تأكد من أنه يشير إلى صورة متاحة علنياً بأبعاد تتراوح بين 128x128 و 2000x2000 بكسل.	Fehler: Ungültiger Bildverbindung. Stellen Sie sicher, dass es auf ein öffentlich zugängliches Bild mit Abmessungen zwischen 128x128 und 2000x2000 Pixel zeigt.
synthetic_audio_detection_error_generic	An error happened. Please try again or try a different audio	Une erreur s'est produite. Veuillez réessayer ou essayer une audio différente.	Se produjo un error. Por favor, inténtalo de nuevo o prueba con una imagen diferente.	Προέκυψε ένα σφάλμα. Παρακαλώ δοκιμάστε ξανά ή δοκιμάστε μια διαφορετική εικόνα.	حدث خطأ. يرجى المحاولة مرة أخرى أو جرب صورة مختلفة.	Ein Fehler trat auf. Bitte versuchen Sie es erneut oder probieren Sie ein anderes Bild aus
synthetic_audio_detection_not_found	No detection found	Aucune détection	No se encontró ninguna detección	Δεν βρέθηκε ανίχνευση	لم يتم العثور على كشف	Keine Erkennung gefunden
button_localfile	Local file	Fichier local	Fichero local	Τοπικό αρχείο	ملف محلي	Lokale Datei
