en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl
forensic_error_unsupported_file	The submitted URL is an unsupported image file, e.g. gif image or video	L'URL soumise est un fichier image non pris en charge, par exemple une image gif ou une vidéo	La URL enviada es un archivo de imagen no compatible, por ejemplo, una imagen gif o un vídeo.	Στο υποβληθέν URL υπάρχει μη υποστηριζόμενο αρχείο εικόνας, π.χ. εικόνα gif ή βίντεο	L'URL inviato è un file di immagine non supportato, ad es. immagine GIF o video	عنوان URL المقدم هو ملف صورة غير مدعوم، على سبيل المثال صورة GIF أو فيديو	Die eingereichte URL ist eine nicht unterstützte Bilddatei, z. GIF -Bild oder Video	送信された URL はサポートされていない画像ファイルです。 gif画像または動画	A megadott URL nem támogatott képfájl, pl. gif kép vagy videó	A URL enviada é um arquivo de imagem não compatível, por exemplo, uma imagem gif ou um vídeo.	Predana URL adresa je nepodržana slikovna datoteka, npr. gif slika ili videozapis	Predloženi URL je nepodprta slikovna datoteka, npr. gif slika ali video
forensic_error_image_url_error	The submitted URL is an image file but it could not be processed, it may be due to network problem or platform restrictions	L'URL soumise est un fichier image, mais il n'a pas pu être traité. Cela peut être dû à un problème de réseau ou à des restrictions d'utilisation	La URL enviada es un archivo de imagen pero no pudo ser procesada, puede deberse a un problema de red o a restricciones de uso.	Στο υποβληθέν URL υπάρχει ένα αρχείο εικόνας του οποίου δεν ήταν δυνατή η επεξεργασία, πιθανόν λόγω προβλήματος δικτύου ή περιορισμών πλατφόρμας	L'URL inviato è un file immagine ma non può essere elaborato, potrebbe essere dovuto al problema della rete o alle restrizioni della piattaforma	عنوان URL المقدم هو ملف صورة ولكن لا يمكن معالجته، قد يكون بسبب مشكلة في الشبكة أو قيود المنصة	Die eingereichte URL ist eine Bilddatei, die jedoch nicht verarbeitet werden kann, sie kann auf Netzwerkprobleme oder Plattformbeschränkungen zurückzuführen sein	送信された URL は画像ファイルですが、処理できませんでした。ネットワークの問題またはプラットフォームの制限が原因である可能性があります	A megadott URL képfájl, de nem sikerült feldolgozni, ami hálózati probléma vagy platformkorlátozások miatt lehet	A URL enviada é um arquivo de imagem, mas não pôde ser processada, pode ser devido a um problema de rede ou restrições de uso.	Predana URL adresa je slikovna datoteka, ali se ne može obraditi, to može biti zbog problema s mrežom ili ograničenja platforme	Predloženi URL je slikovna datoteka, vendar je ni bilo mogoče obdelati, morda zaradi težav z omrežjem ali omejitev platforme
forensic_error_url_error	The submitted URL could not be cached, it may be due to network problem, usage restrictions or a corrupted URL path	L'URL soumise n'a pas pu être traitée, cela peut être dû à un problème de réseau, à des restrictions d'utilisation ou à un chemin corrompu dans l'URL	La URL enviada no se ha podido descargar, puede deberse a un problema de red, a restricciones de descarga o a una ruta de URL dañada.	Το υποβληθέν URL δεν ήταν δυνατόν να αποθηκευτεί προσωρινά, το οποίο μπορεί να οφείλεται σε πρόβλημα του δικτύου, περιορισμούς χρήσης ή λανθασμένη διέυθυνση  URL	L'URL inviato non può essere memorizzato nella cache, potrebbe essere dovuto a problemi di rete, restrizioni di utilizzo o un percorso URL danneggiato	لا يمكن تخزين عنوان URL المقدم ، وقد يكون ذلك بسبب مشكلة الشبكة أو قيود الاستخدام أو مسار URL التالف	Die eingereichte URL konnte nicht zwischengespeichert werden, sie kann auf Netzwerkprobleme, Nutzungsbeschränkungen oder einen beschädigten URL -Pfad zurückzuführen sein	送信されたURLをキャッシュできませんでした。ネットワークの問題、使用制限、URLパスの破損が原因である可能性があります	A megadott URL-t nem sikerült gyorsítótárazni, ami hálózati probléma, használati korlátozások vagy sérült URL-útvonal miatt lehet	A URL enviada não pôde ser baixada, pode ser devido a um problema de rede, restrições de download ou um caminho de URL corrompido.	Predana URL adresa se ne može predmemorirati, to može biti zbog problema s mrežom, ograničenja upotrebe ili oštećenog URL puta	Predloženega URL-ja ni bilo mogoče predpomniti, morda zaradi težav z omrežjem, omejitev uporabe ali poškodovane poti URL-ja
forensic_error_hash_not_found	An unknown issue occured. Please check the URL and try again	Un problème inconnu s'est produit. Veuillez vérifier l'URL et réessayer	Se produjo un problema desconocido. Por favor, compruebe la URL e inténtelo de nuevo	Ένα άγνωστο σφάλμα συνέβη. Παρακαλώ ελέγξτε τη διεύθυνση URL και δοκιμάστε ξανά	L'URL inviato non può essere memorizzato nella cache, potrebbe essere dovuto a problemi di rete, restrizioni di utilizzo o un percorso URL danneggiato	حدثت مشكلة غير معروفة. يرجى التحقق من عنوان URL والمحاولة مرة أخرى	Ein unbekanntes Problem trat auf. Bitte überprüfen Sie die URL und versuchen Sie es erneut	不明な問題が発生しました。 URLを確認してもう一度お試しください	Ismeretlen probléma merült fel. Kérjük, ellenőrizze az URL-t, és próbálja újra	Ocorreu um problema desconhecido. Por favor, verifique a URL e tente novamente	Došlo je do nepoznatog problema. Provjerite URL i pokušajte ponovno	Prišlo je do neznane težave. Preverite URL in poskusite znova
forensic_error_empty_parameter	An unknown issue occured. Please check the URL and try again	Un problème inconnu s'est produit. Veuillez vérifier l'URL et réessayer	Se produjo un problema desconocido. Por favor, compruebe la URL e inténtelo de nuevo	Ένα άγνωστο σφάλμα συνέβη. Παρακαλώ ελέγξτε τη διεύθυνση URL και δοκιμάστε ξανά	Si è verificato un problema sconosciuto. Si prega di controllare l'URL e riprova	حدثت مشكلة غير معروفة. يرجى التحقق من عنوان URL والمحاولة مرة أخرى	Ein unbekanntes Problem trat auf. Bitte überprüfen Sie die URL und versuchen Sie es erneut	不明な問題が発生しました。 URLを確認してもう一度お試しください	Ismeretlen probléma merült fel. Kérjük, ellenőrizze az URL-t, és próbálja újra	Ocorreu um problema desconhecido. Por favor, verifique a URL e tente novamente	Došlo je do nepoznatog problema. Provjerite URL i pokušajte ponovno	Prišlo je do neznane težave. Preverite URL in poskusite znova
forensic_error_missing_image_report	The image was not submitted. Please check the URL and try again	L'image n'a pas été soumise. Veuillez vérifier l'URL et réessayer	La imagen no fue enviada. Por favor, compruebe la URL e inténtelo de nuevo	Η εικόνα δεν υποβλήθηκε. Παρακαλώ ελέγξτε τη διεύθυνση URL και δοκιμάστε ξανά	L'immagine non è stata presentata. Si prega di controllare l'URL e riprova	لم يتم تقديم الصورة. يرجى التحقق من عنوان URL والمحاولة مرة أخرى	Das Bild wurde nicht eingereicht. Bitte überprüfen Sie die URL und versuchen Sie es erneut	画像は送信されませんでした。 URLを確認してもう一度お試しください	A képet nem küldték el. Kérjük, ellenőrizze az URL-t, és próbálja újra	A imagem não foi enviada. Por favor, verifique a URL e tente novamente	Slika nije predana. Provjerite URL i pokušajte ponovno	Slika ni bila poslana. Preverite URL in poskusite znova
forensic_error_analysis_not_triggered	The analysis has not been triggered for this image. Please check the URL and try again	L'analyse n'a pas été déclenchée pour cette image. Veuillez vérifier l'URL et réessayer	El análisis no se ha activado para esta imagen. Por favor, compruebe la URL e inténtelo de nuevo	Η ανάλυση δεν έχει ξεκινήσει για αυτή την εικόνα. Παρακαλώ ελέγξτε τη διεύθυνση URL και δοκιμάστε ξανά	L'analisi non è stata attivata per questa immagine. Si prega di controllare l'URL e riprova	لم يتم تشغيل التحليل لهذه الصورة. يرجى التحقق من عنوان URL وحاول مرة أخرى	Die Analyse wurde für dieses Bild nicht ausgelöst. Bitte überprüfen Sie die URL und versuchen Sie es erneut	この画像では分析が開始されません。 URLを確認してもう一度お試しください	Az elemzést nem indították el ehhez a képhez. Kérjük, ellenőrizze az URL-t, és próbálja újra	A análise não foi ativada para esta imagem. Por favor, verifique a URL e tente novamente	Analiza nije pokrenuta za ovu sliku. Provjerite URL i pokušajte ponovno	Analiza za to sliko ni bila sprožena. Preverite URL in poskusite znova
forensic_error_404	Service not found	Le service n'existe pas	Servicio no encontrado	Η ΥΠΗΡΕΣΙΑ δεν ΒΡΕΘΗΚΕ	Il servizio non può elaborarlo.	لم يتم العثور على الخدمة	Service nicht gefunden	サービスが見つかりません	Szolgáltatás nem található	Serviço não encontrado	Usluga nije pronađena	Storitev ni na voljo
forensic_error_500	Service internal error	Erreur interne du service	Error interno del servicio	Εσωτερικό σφάλμα σέρβις	Errore interno del servizio	خطأ داخلي في الخدمة	Interner Servicefehler	サービス内部エラー	Szolgáltatás belső hibája	Erro interno do serviço	Interna pogreška usluge	Notranja napaka storitve
forensic_error_undefined	Service error	Erreur service	Error de servicio	Σφάλμα σέρβις	Errore di servizio	خطأ في الخدمة	Servicefehler	サービスエラー	Szolgáltatási hiba	Erro de serviço	Pogreška usluge	Napaka storitve
forensic_error_bad_request_download_error	Please give a correct link	Donner un lien valide s'il vous plaît	Por favor, dé un enlace válido	Παρακαλώ εισάγετε έναν σωστό σύνδεσμο	È stato richiesto un tag algoritmo non valido	يرجى إعطاء رابط صحيح	Bitte geben Sie einen korrekten Link an	正しいリンクを貼ってください	Kérjük, adjon meg egy helyes linket	Por favor, forneça um link válido	Molimo dajte ispravnu vezu	Prosimo, vnesite pravilno povezavo
forensic_error_bad_request_invalid_algorithm	Service API error	Erreur d'API service	Error de API de servicio	Σφάλμα API υπηρεσίας	Errore API del servizio	خطأ في واجهة برمجة تطبيقات الخدمة	Service-API-Fehler	サービスAPIエラー	Szolgáltatás API hiba	Erro de API de serviço	Pogreška API-ja usluge	Napaka API storitve
forensic_title_adq1_report	Double Quantization	DQ	DQ	Διπλός Κβαντισμός (Double Quantization)	Doppia quantizzazione	توضيح مضاعف (مزدوج)	Doppelquantisierung	二重量子化	Dupla kvantálás	DQ	Dvostruka kvantizacija	Dvojna kvantizacija
forensic_title_ela_report	Error Level Analysis	ELA	ELA	Ανάλυση Επιπέδου Σφάλματος (Error Level Analysis)	Analisi del livello di errore	تحليل مستوى الخطأ	Fehlerpegelanalyse	エラーレベル解析	Hibaszint elemzés	ELA	Analiza razine pogreške	Analiza stopnje napake
forensic_title_median_report	Median Noise	Median Noise	Ruido mediano	Ενδιάμεσος Θόρυβος (Median Noise)	Rumore mediano	الضوضاء المتوسطة	Mittleres Geräusch	メディアンノイズ	Medián zaj	Ruído mediano	Srednji šum	Srednji šum
forensic_title_dct_report	DCT	DCT	DCT	Διακριτός Μετασχηματισμός Συνημιτόνου (DCT)	DCT	DCT	DCT	DCT	DCT	DCT	DCT	DCT
forensic_title_cagiNormal	CAGI	CAGI	CAGI	Ανάλυση Ασυνέπειας Πλέγματος με χρήση Περιεχομένου (CAGI)	CAGI	CAGI	CAGI	CAGI	CAGI	CAGI	CAGI	CAGI
forensic_title_cagiInversed	CAGI-Inversed	CAGI-Inversé	CAGI-Invertido	Αντίστροφη Ανάλυση Ασυνέπειας Πλέγματος με χρήση Περιεχομένου (CAGI-Inversed)	CAGI-inverso	CAGI مقلوب	CAGI-umge Invers	CAGI-Inversed	CAGI-Inverz	CAGI-Invertido	CAGI-Inverzno	CAGI-Inverzna
forensic_title_wavelet_report	WAVELET	WAVELET	WAVELET	Μετασχηματισμός Κυματιδίου (Wavelet)	WAVELET	(WAVELET) تحليل الموجات الصوتية	Wavelet	ウェーブレット	WAVELET	WAVELET	WAVELET	WAVELET
forensic_title_blk_report	BLOCK	BLOCK	BLOCK	Ανάλυση Ασυνέπειας Πλέγματος (BLOCK)	BLOCK	(BLOCK)الجزء	BLOCK	ブロック	BLOCK	BLOCK	BLOK	BLOK
forensic_title_ghost_report	GHOST	GHOST	GHOST	Ανάλυση με χρήση Ανακωδικοποίησης και Αφαίρεσης (GHOST)	GHOST	GHOST	GHOST	GHOST	GHOST	GHOST	GHOST	GHOST
forensic_card_info	Infos	Infos	Información	Πληροφορίες	Infos	معلومات	Infos	Infos	Információk	Informação	Informacije	Informacije
forensic_card_back	Back	Retour	Volver	Πίσω	Di ritorno	رجوع	Zurück	戻る	Vissza	Voltar	Natrag	Nazaj
forensic_card_adq1_report	Double Quantization inconsistencies occur when a foreign object is inserted in a JPEG image. When the new image is saved, the untampered part of the image will have been compressed twice, while the inserted region only once. In this case, the tampered area should appear ligth-coloured (see the scale) while the rest of the image remains dark. If other colors are present (green, blue) then no conclusion can be made. Also, the light-coloured region must be object-like : spurious light dots scattered across the image should be ignored.	Les incohérences de quantification double se produisent lorsqu'un objet étranger est inséré dans une image JPEG. Lorsque la nouvelle image est enregistrée, la partie non altérée de l'image sera compressée deux fois, alors que la zone insérée n'aura été qu'une seule fois. Dans ce cas, la zone altérée doit apparaître en clair (comme le montre l'échelle de couleurs) alors que le reste de l'image est foncé. Si d'autres couleurs sont présentes (au milieu de l'échelle), aucune conclusion ne peut être tirée. De plus, la région claire doit être semblable à l'objet suspect: les points clairs éparpillés sur l'image sont trompeurs et doivent être ignorés.	Las inconsistencias de doble cuantificación se producen cuando se inserta un objeto extraño en una imagen JPEG. Cuando se guarda la nueva imagen, la parte no alterada de la imagen se comprimirá dos veces, mientras que el área insertada sólo una vez. En este caso, la zona alterada debería aparecer de color rojo mientras que el resto de la imagen aparece de color azul. Si hay otros colores presentes (verde, amarillo) entonces no se puede llegar a ninguna conclusión. Además, la región roja debe ser parecida a un objeto : los puntos rojos espurios dispersos por toda la imagen deben ser ignorados.	Όταν ένα ξένο αντικείμενο εισάγεται σε μια εικόνα JPEG, τότε εμφανίζονται ασυνέπειες Διπλού Κβαντισμού (Double Quantization). Όταν η νέα εικόνα σώζεται, τότε το αρχικό κομμάτι της εικόνας θα έχει συμπιεστεί δύο φορές, ενώ η καινούργια περιοχή μόνο μία φορά. Στην περίπτωση αυτή, η αλλοιωμένη περιοχή θα πρέπει να εμφανίζεται ανοιχτόχρωμη (δείτε την χρωματική κλίμακα), ενώ η υπόλοιπη εικόνα να παραμένει σκούρα. Εάν υπάρχουν άλλα χρώματα (πράσινο, μπλε) τότε δεν μπορεί να γίνει κανένα συμπέρασμα. Επίσης, η ανοιχτόχρωμη περιοχή πρέπει να μοιάζει με αντικείμενο: οι ψευδείς φωτεινές κουκκίδες που είναι διάσπαρτες στην εικόνα πρέπει να αγνοηθούν.	Le incongruenze di doppia quantizzazione si verificano quando un oggetto estraneo viene inserito in un'immagine JPEG. Quando la nuova immagine viene salvata, la parte non manomessa dell'immagine sarà stata compressa due volte, mentre la regione inserita una sola volta. In questo caso, l'area manomessa dovrebbe apparire di colore chiaro (vedi la scala) mentre il resto dell'immagine rimane scuro. Se sono presenti altri colori (verde, blu) non è possibile trarre alcuna conclusione. Inoltre, la regione di colore chiaro deve essere simile a un oggetto: i punti luminosi spuri sparsi nell'immagine devono essere ignorati.	تحدث تناقضات التكميم المزدوج عند إدراج كائن غريب في صورة JPEG. عند حفظ الصورة الجديدة ، سيتم ضغط الجزء غير المعدل من الصورة مرتين ، بينما يتم ضغط المنطقة المدرجة مرة واحدة فقط. في هذه الحالة ، يجب أن تظهر المنطقة المعدلة بلون فاتح (انظر المقياس) بينما يظل باقي الصورة داكنًا. إذا كانت هناك ألوان أخرى (أخضر ، أزرق) ، فلا يمكن استنتاج أي شيء. أيضًا ، يجب أن تكون المنطقة ذات الألوان الفاتحة شبيهة بالكائن: يجب تجاهل النقاط الضوئية الزائفة المتناثرة عبر الصورة.	Doppelte Quantisierungsinkonsistenzen treten auf, wenn ein Fremdobjekt in ein JPEG-Bild eingefügt wird. Wenn das neue Bild gespeichert wird, wurde der unberührte Teil des Bildes zweimal komprimiert, während der eingefügte Bereich nur einmal komprimiert wurde. In diesem Fall sollte der manipulierte Bereich hell gefärbt erscheinen (siehe Skala), während der Rest des Bildes dunkel bleibt. Wenn andere Farben vorhanden sind (grün, blau), kann keine Schlussfolgerung gezogen werden. Außerdem muss der helle Bereich objektartig sein: Störende Lichtpunkte, die über das Bild verstreut sind, sollten ignoriert werden.	JPEG画像に異物が挿入されると、二重量子化の不整合が発生します。新しい画像を保存すると、画像の改変されていない部分は2回圧縮されますが、挿入された領域は1回しか圧縮されません。この場合、改変された領域は明るい色で表示され（スケールを参照）、画像の残りの部分は暗いままになります。他の色（緑、青）が存在する場合、結論を出すことはできません。また、明るい色の領域はオブジェクトのようである必要があります。画像全体に散在する偽の明るい点は無視する必要があります。	A kettős kvantálási inkonzisztenciák akkor fordulnak elő, ha egy idegen objektumot illesztenek be egy JPEG képbe. Amikor az új képet elmentik, a kép manipulálatlan részét kétszer, míg a beillesztett régiót csak egyszer tömörítik. Ebben az esetben a manipulált területnek világos színűnek kell lennie (lásd a skálát), míg a kép többi része sötét marad. Ha más színek is jelen vannak (zöld, kék), akkor nem lehet következtetést levonni. Ezenkívül a világos színű régiónak tárgyszerűnek kell lennie: a képen szétszórt hamis fénypontokat figyelmen kívül kell hagyni.	As inconsistências de dupla quantificação ocorrem quando um objeto estranho é inserido em uma imagem JPEG. Quando a nova imagem é salva, a parte não alterada da imagem será compactada duas vezes, enquanto a área inserida apenas uma vez. Neste caso, a área alterada deve aparecer em vermelho enquanto o resto da imagem aparece em azul. Se outras cores estiverem presentes (verde, amarelo), nenhuma conclusão pode ser tirada. Além disso, a região vermelha deve ser parecida com um objeto: pontos vermelhos espúrios espalhados pela imagem devem ser ignorados.	Nedosljednosti dvostruke kvantizacije nastaju kada se strani objekt umetne u JPEG sliku. Kada se nova slika spremi, neizmijenjeni dio slike bit će komprimiran dvaput, dok će umetnuto područje samo jednom. U ovom slučaju, izmijenjeno područje trebalo bi se pojaviti svijetle boje (pogledajte ljestvicu) dok ostatak slike ostaje taman. Ako su prisutne druge boje (zelena, plava), ne može se donijeti zaključak. Također, svijetlo obojeno područje mora biti slično objektu: lažne svjetlosne točke raspršene po slici treba zanemariti.	Nedoslednosti dvojne kvantizacije se pojavijo, kadar je v sliko JPEG vstavljen tuj predmet. Ko je nova slika shranjena, je bil nespremenjeni del slike stisnjen dvakrat, medtem ko je bil vstavljeni predel le enkrat. V tem primeru bi se moral spremenjeni predel prikazati svetlo obarvan (glejte lestvico), medtem ko preostali del slike ostane temen. Če so prisotne druge barve (zelena, modra), ni mogoče sprejeti nobene odločitve. Prav tako mora biti svetlo obarvani predel podoben predmetu: lažne svetle pike, raztresene po sliki, je treba prezreti.
forensic_card_ela_report	Error Level Analysis is produced by recompressing the image as a JPEG of quality 75 and subtracting the new image from the old. The resulting image of differences is then enhanced and displayed. Areas of interest are those with higher values than other similar parts of the image. Only similar regions should be compared, i.e. edges should be compared to edges, textures to textures, and uniform regions to uniform regions. Color discrepancies (commonly blue regions) are also generally suspicious. ELA is an enhancer and is not enough to conclude about an image forgery.	L'analyse du niveau d'erreur est produite en recompressant l'image en JPEG de qualité 75 et soustrayant la nouvelle image de l'ancienne. L'image des différences qui en résulte est ensuite mise en valeur et affichée. Les zones d'intérêt sont celles qui ont des valeurs plus élevées que d'autres parties similaires de l'image. Seules les régions similaires doivent être comparées, c'est-à-dire que les bords doivent être comparés aux bords, les textures aux textures et les régions uniformes aux régions uniformes. Les écarts de couleur (généralement les régions bleues) sont aussi généralement suspects. ELA est un amplificateur et n'est pas suffisant pour conclure à une falsification d'image.	El análisis de nivel de error se produce al recomprimir la imagen como JPEG de calidad 75 y restar la nueva imagen de la antigua. La imagen resultante de las diferencias se mejora y se muestra. Las áreas de interés son aquellas con valores más altos que otras partes similares de la imagen. Sólo deben compararse regiones similares, es decir, los bordes deben compararse con los bordes, las texturas con las texturas y las regiones uniformes con las regiones uniformes. Las discrepancias de color (comúnmente regiones azules) también son generalmente sospechosas.	Η Ανάλυση Επιπέδου Σφάλματος (Error Level Analysis) παράγεται συμπιέζοντας την εικόνα σε ποιότητα JPEG ίση με 75 και αφαιρώντας τη νέα εικόνα από την παλιά. Η εικόνα των διαφορών που προκύπτει στη συνέχεια ενισχύεται και εμφανίζεται. Οι περιοχές ενδιαφέροντος είναι εκείνες με υψηλότερες τιμές από άλλα παρόμοια τμήματα της εικόνας. Πρέπει να συγκρίνονται μόνο παρόμοιες περιοχές, δηλαδή οι ακμές πρέπει να συγκρίνονται με τις ακμές, οι υφές με τις υφές και οι ομοιόμορφες περιοχές με τις ομοιόμορφες περιοχές. Οι χρωματικές αποκλίσεις (συνήθως μπλε περιοχές) είναι επίσης γενικά ύποπτες. Η ELA είναι ένας ενισχυτής και δεν αρκεί για να συμπεράνουμε την πλαστογραφία μιας εικόνας.	L'analisi del livello di errore viene prodotta ricomprimendo l'immagine come JPEG di qualità 75 e sottraendo la nuova immagine dalla vecchia. L'immagine risultante delle differenze viene quindi migliorata e visualizzata. Le aree di interesse sono quelle con valori più alti rispetto ad altre parti simili dell'immagine. Devono essere confrontate solo regioni simili, ovvero i bordi devono essere confrontati con i bordi, le trame con le trame e le regioni uniformi con le regioni uniformi. Anche le discrepanze di colore (comunemente regioni blu) sono generalmente sospette. L'ELA è un potenziatore e non è sufficiente per concludere sulla falsificazione di un'immagine.	Analiza stopnje napake se ustvari s ponovnim stiskanjem slike kot JPEG kakovosti 75 in odštevanjem nove slike od stare. Nastala slika razlik se nato izboljša in prikaže. Zanimiva področja so tista z višjimi vrednostmi kot drugi podobni deli slike. Primerjati je treba samo podobna področja, tj. robove je treba primerjati z robovi, teksture s teksturami in enotna področja z enotnimi področji. Barvne razlike (običajno modra področja) so prav tako na splošno sumljive. ELA je ojačevalec in ne zadošča za ugotovitev ponarejanja slike.	Die Fehlerstufenanalyse wird durch erneutes Komprimieren des Bildes als JPEG mit einer Qualität von 75 und Subtrahieren des neuen Bildes vom alten erstellt. Das resultierende Differenzbild wird dann verbessert und angezeigt. Interessante Bereiche sind solche mit höheren Werten als andere ähnliche Teile des Bildes. Es sollten nur ähnliche Regionen verglichen werden, d. H. Kanten sollten mit Kanten, Texturen mit Texturen und einheitliche Regionen mit einheitlichen Regionen verglichen werden. Farbunterschiede (üblicherweise blaue Regionen) sind ebenfalls im Allgemeinen verdächtig. ELA ist ein Verstärker und reicht nicht aus, um auf eine Bildfälschung zu schließen.	エラーレベル分析は、画像を品質75のJPEGとして再圧縮し、新しい画像から古い画像を差し引くことによって生成されます。結果として得られる差分画像が強調表示されて表示されます。関心のある領域は、画像の他の同様の部分よりも値が高い領域です。同様の領域のみを比較する必要があります。つまり、エッジはエッジと、テクスチャはテクスチャと、均一な領域は均一な領域と比較する必要があります。色の不一致（通常は青い領域）も一般的に疑わしいです。 ELAはエンハンサーであり、画像の偽造について結論を下すには不十分です。	A hibaszint-elemzés a kép 75-ös minőségű JPEG-ként történő újratömörítésével és az új képnek a régiből való kivonásával jön létre. Az így kapott különbségi képet ezután feljavítják és megjelenítik. Az érdeklődésre számot tartó területek azok, amelyeknek magasabb az értékük, mint a kép más hasonló részeinek. Csak a hasonló régiókat kell összehasonlítani, azaz az éleket az élekkel, a textúrákat a textúrákkal és az egységes régiókat az egységes régiókkal kell összehasonlítani. A színeltérések (általában a kék régiók) szintén általában gyanúsak. Az ELA egy erősítő, és nem elegendő egy kép hamisítására következtetni.	A análise de nível de erro é produzida ao recomprimir a imagem como JPEG de qualidade 75 e subtrair a nova imagem da antiga. A imagem resultante das diferenças é então aprimorada e exibida. As áreas de interesse são aquelas com valores mais altos do que outras partes semelhantes da imagem. Apenas regiões semelhantes devem ser comparadas, ou seja, as bordas devem ser comparadas com as bordas, as texturas com as texturas e as regiões uniformes com as regiões uniformes. As discrepâncias de cores (comumente regiões azuis) também são geralmente suspeitas.	Analiza razine pogreške proizvodi se ponovnim komprimiranjem slike kao JPEG kvalitete 75 i oduzimanjem nove slike od stare. Dobivena slika razlika se zatim poboljšava i prikazuje. Područja od interesa su ona s višim vrijednostima od drugih sličnih dijelova slike. Treba uspoređivati samo slične regije, tj. rubove treba uspoređivati s rubovima, teksture s teksturama, a jednolična područja s jednoličnim područjima. Razlike u boji (obično plave regije) također su općenito sumnjive. ELA je pojačivač i nije dovoljan za zaključak o krivotvorenju slike.	Analiza stopnje napake se ustvari s ponovnim stiskanjem slike kot JPEG kakovosti 75 in odštevanjem nove slike od stare. Nastala slika razlik se nato izboljša in prikaže. Zanimiva področja so tista z višjimi vrednostmi kot drugi podobni deli slike. Primerjati je treba samo podobna področja, tj. robove je treba primerjati z robovi, teksture s teksturami in enotna področja z enotnimi področji. Barvne razlike (običajno modra področja) so prav tako na splošno sumljive. ELA je ojačevalec in ne zadošča za ugotovitev ponarejanja slike.
