	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl	rs
snaTools_newCollectionLabel	New collection	Nouvelle collection	Nueva colección	Nέα συλλογή	Nuova raccolta	مجموعة جديدة	Neue Sammlung	新しいコレクション	Uj gyűjtemény	Nova coleção	Nova kolekcija	Nova zbirka	Nova kolekcija
snaTools_addNewCollectionLabel	Add new collection	Ajouter une nouvelle collection	Añadir nueva colección	Προσθήκη νέας συλλογής	Aggiungi nuova raccolta	إضافة مجموعة جديدة	Neue Sammlung hinzufügen	新しいコレクションを追加	Készítsen új gyűjteményt	Adicionar nova coleção	Dodaj novu kolekciju	Dodaj novo zbirko	Dodaj novu kolekciju
snaRecording_startRecordingButton	Start recording	Démarrer l’enregistrement	Iniciar grabación	Έναρξη καταγραφής	Avvia registrazione	ابدأ التسجيل	Aufnahme starten	録画開始	Rögzítés indítása	Iniciar gravação	Pokreni snimanje	Začni snemati	Pokreni snimanje
snaRecording_stopRecording	Stop recording	Arrêter l’enregistrement	Detener grabación	Διακοπή καταγραφής	Interrompi registrazione	إيقاف التسجيل	Aufnahme beenden	録画停止	Rögzítés leállítása	Parar gravação	Zaustavi snimanje	Ustavi snemanje	Zaustavi snimanje
snaRecording_startRecording	Start recording	Démarrer l’enregistrement	Iniciar grabación	Έναρξη καταγραφής	Avvia registrazione	ابدأ التسجيل	Aufnahme starten	録画開始	Rögzítés indítása	Iniciar gravação	Pokreni snimanje	Začni snemati	Pokreni snimanje
snaTools_accountActivitySettingsDescription	Choose object to compare users	Choisissez un objet pour comparer les utilisateurs	Elija objeto para comparar usuarios	Επιλέξτε αντικείμενο για σύγκριση χρηστών	Scegli oggetto per confrontare gli utenti	اختر الشيء لمقارنة المستخدمين	Wählen Sie ein Objekt, um Benutzer zu vergleichen	ユーザーを比較する対象を選択	Objekt kiválasztása a felhasználók összehasonlításához	Escolha objeto para comparar usuários	Odaberite objekt za usporedbu korisnika	Izberite predmet za primerjavo uporabnikov	Odaberite objekt za usporedbu korisnika
snaTools_accountActivityEntriesSelect	Entries in dataset	Entrées dans le jeu de données	Entradas en el conjunto de datos	Εγγραφές στο σύνολο δεδομένων	Voci nel dataset	إدخالات في مجموعة البيانات	Einträge im Datensatz	データセット内のエントリ	Bejegyzések az adathalmazban	Entradas no conjunto de dados	Unosi u skupu podataka	Vnosi v naboru podatkov	Unosi u skupu podataka
snaTools_barChartOtherLabel	Other	Autre	Otro	Άλλο	Altro	أخرى	Andere	その他	Egyéb	Outro	Ostalo	Drugo	Ostalo
snaTools_coorTableObjectsHeader	Shared object	Objet partagé	Objeto compartido	Κοινό αντικείμενο	Oggetto condiviso	الكائن المشترك	Gemeinsames Objekt	共有オブジェクト	Megosztott objektum	Objeto compartilhado	Dijeljeni objekt	Predmet v skupni rabi	Dijeljeni objekt
snaTools_coorTableEntryCountHeader	Entries in dataset	Entrées dans le jeu de données	Entradas en el conjunto de datos	Εγγραφές στο σύνολο δεδομένων	Voci nel dataset	إدخالات في مجموعة البيانات	Einträge im Datensatz	データセット内のエントリ	Bejegyzések az adathalmazban	Entradas no conjunto de dados	Unosi u skupu podataka	Vnosi v naboru podatkov	Unosi u skupu podataka
snaTools_coorTableUserCountHeader	Number of unique users	Nombre d’utilisateurs uniques	Número de usuarios únicos	Αριθμός μοναδικών χρηστών	Numero di utenti unici	عدد المستخدمين الفريدين	Anzahl eindeutiger Benutzer	ユニークユーザー数	Egyedi felhasználók száma	Número de usuários únicos	Broj jedinstvenih korisnika	Število edinstvenih uporabnikov	Broj jedinstvenih korisnika
snaTools_coorExportDescription	Export to json grouped per object and sharing pairs	Exporter en json groupé par objet et paires de partage	Exportar a json agrupado por objeto y pares compartidos	Εξαγωγή σε json ομαδοποιημένο ανά αντικείμενο και ζεύγη κοινής χρήσης	Esporta in json raggruppato per oggetto e coppie di condivisione	تصدير إلى json مجمّع حسب الكائن وأزواج المشاركة	In JSON exportieren, gruppiert nach Objekt und Freigabepaaren	オブジェクトおよび共有ペアごとにグループ化されたjsonにエクスポート	JSON‑export objektumonként és megosztási párok szerint	Exportar para json agrupado por objeto e pares de compartilhamento	Izvoz u json grupiran po objektu i parovima dijeljenja	Izvozi v json, združen po predmetu in parih za skupno rabo	Izvoz u json grupiran po objektu i parovima dijeljenja
snaTools_coorExportButton	Export	Exporter	Exportar	Εξαγωγή	Esporta	تصدير	Exportieren	エクスポート	Exportálás	Exportar	Izvezi	Izvozi	Izvezi
snaTools_noCoorDetectedMessage	No coordinated activity detected	Aucune activité coordonnée détectée	No se detectó actividad coordinada	Δεν εντοπίστηκε συντονισμένη δραστηριότητα	Nessuna attività coordinata rilevata	لم يتم الكشف عن نشاط منسق	Keine koordinierte Aktivität erkannt	調整された活動は検出されませんでした	Nincs koordinált tevékenység észlelve	Nenhuma atividade coordenada detectada	Nije detektirana koordinirana aktivnost	Usklajena dejavnost ni bila zaznana	Nije detektirana koordinirana aktivnost
snaTools_hashtagGraphLabel	Hashtags appearing together	Hashtags apparaissant ensemble	Hashtags que aparecen juntos	Hashtags που εμφανίζονται μαζί	Hashtag che appaiono insieme	الهاشتاجات التي تظهر معًا	Zusammen auftretende Hashtags	一緒に表示されるハッシュタグ	Együtt előforduló hashtagek	Hashtags que aparecem juntas	Hashtagovi koji se pojavljuju zajedno	Hashtagi, ki se pojavljajo skupaj	Hashtagovi koji se pojavljuju zajedno
snaTools_d3ltaTableClusterHeader	Shared object	Objet partagé	Objeto compartido	Κοινό αντικείμενο	Oggetto condiviso	الكائن المشترك	Gemeinsames Objekt	共有オブジェクト	Megosztott objektum	Objeto compartilhado	Dijeljeni objekt	Predmet v skupni rabi	Dijeljeni objekt
snaTools_d3ltaTableMetricsHeader	Metrics	Métriques	Métricas	Μετρικές	Metriche	مقاييس	Metriken	メトリクス	Metrikák	Métricas	Metrike	Metrike	Metrike
snaTools_entriesLabel	Measure	Mesure	Medida	Μέτρο	Misura	قياس	Messung	測定	Mérés	Medida	Mjera	Merilo	Mjera
dataupload_title	Upload dataset	Téléverser le jeu de données	Cargar conjunto de datos	Ανέβασμα συνόλου δεδομένων	Carica dataset	تحميل مجموعة البيانات	Dataset hochladen	データセットをアップロード	Feltöltés adathalmaz	Carregar conjunto de dados	Prenesi skup podataka	Naloži nabor podatkov	Prenesi skup podataka
uploadButton_text	Upload	Téléverser	Subir	Ανέβασμα	Carica	تحميل	Hochladen	アップロード	Feltöltés	Enviar	Prenesi	Naloži	Prenesi
uploadModal_customTitle	Custom settings	Paramètres personnalisés	Ajustes personalizados	Προσαρμοσμένες ρυθμίσεις	Impostazioni personalizzate	إعدادات مخصصة	Benutzerdefinierte Einstellungen	カスタム設定	Egyéni beállítások	Configurações personalizadas	Prilagođene postavke	Nastavitve po meri	Prilagođene postavke
uploadModal_ConfirmButton	Confirm	Confirmer	Confirmar	Επιβεβαίωση	Conferma	تأكيد	Bestätigen	確認	Kiválasztás	Confirmar	Potvrdi	Potrdi	Potvrdi
uploadModal_modalTitle	Upload settings	Paramètres de téléchargement	Ajustes de carga	Ρυθμίσεις μεταφόρτωσης	Impostazioni di caricamento	إعدادات التحميل	Einstellungen für Upload	アップロード設定	Feltöltési beállítások	Configurações de upload	Postavke prijenosa	Nastavitve nalaganja	Postavke prijenosa
snaTools_timelineDistribution	Timeline distribution	Distribution chronologique	Distribución temporal	Κατανομή χρονοδιαγράμματος	Distribuzione della timeline	توزيع الجدول الزمني	Timeline‑Verteilung	タイムライン分布	Idővonal eloszlás	Distribuição da linha do tempo	Raspodjela vremenske linije	Časovna porazdelitev	Raspodjela vremenske linije
snaTools_accountActivity	Account activity	Activité du compte	Actividad de la cuenta	Δραστηριότητα λογαριασμού	Attività dell’account	نشاط الحساب	Kontoaktivität	アカウントアクティビティ	Fióktevékenység	Atividade da conta	Aktivnost računa	Dejavnost računa	Aktivnost računa
snaTools_coorDetection	Coordinated behavior	Comportement coordonné	Comportamiento coordinado	Συντονισμένη συμπεριφορά	Comportamento coordinato	سلوك منسّق	Koordiniertes Verhalten	調整された行動	Koordinált viselkedés	Comportamento coordenado	Koordinirano ponašanje	Usklajeno vedenje	Koordinirano ponašanje
snaTools_mostMentioned	Most mentioned	Les plus mentionnés	Más mencionados	Οι πιο αναφερόμενοι	I più menzionati	الأكثر ذكرًا	Meist Erwähnte	最も言及された	Legtöbbet említett	Mais mencionados	Najčešće spominjani	Najpogosteje omenjeni	Najčešće spominjani
snaTools_hashtagAnalysis	Hashtags	Analyse des hashtags	Análisis de hashtags	Ανάλυση hashtags	Analisi hashtag	تحليل الهاشتاجات	Hashtag‑Analyse	ハッシュタグ分析	Hashtagelemzés	Análise de hashtags	Analiza hashtagova	Analiza hashtagov	Analiza hashtagova
snaTools_wordCloud	Word Cloud	Nuage de mots	Nube de palabras	Σύννεφο λέξεων	Nube di parole	سحابة كلمات	Wortwolke	ワードクラウド	Szófelhő	Nuvem de palavras	Oblak riječi	Besedni oblak	Oblak riječi
snaTools_textClusters	Text similarity	Similarité textuelle	Similitud de texto	Ομοιότητα κειμένου	Similarità testuale	تشابه النصوص	Textähnlichkeit	テキストの類似性	Szöveg‑similaritás	Similaridade de texto	Sličnost teksta	Podobnost besedila	Sličnost teksta
snaTools_accountActivityDescription	Compare users activity in the dataset in terms of likes, number of entries or using other headers	Comparer l’activité des utilisateurs dans le jeu de données en termes de likes, nombre d’entrées ou selon d’autres en‑têtes	Comparar la actividad de los usuarios en el conjunto de datos en términos de 'me gusta', número de entradas o otros encabezados	Συγκρίνετε τη δραστηριότητα των χρηστών στο σύνολο δεδομένων όσον αφορά likes, αριθμό καταχωρήσεων ή άλλες επικεφαλίδες	Confronta l’attività degli utenti nel dataset in termini di like, numero di voci o usando altre intestazioni	قارن نشاط المستخدمين في مجموعة البيانات من حيث الإعجابات، عدد الإدخالات أو استخدام رؤوس أخرى	Vergleichen Sie die Aktivität der Nutzer im Datensatz hinsichtlich Likes, Anzahl der Einträge oder nach anderen Spalten	Vergleichen Sie die Aktivität der Nutzer im Dataset nach Likes, Anzahl der Einträge oder anderen Kopfzeilen	Használjuk a dataset felhasználóinak aktivitását kedvelések, bejegyzések száma vagy egyéb fejléc szerint való összehasonlítására	Comparar atividade dos usuários no conjunto de dados em termos de curtidas, número de entradas ou usando outros cabeçalhos	Usporedite aktivnost korisnika u skupu podataka u smislu lajkova, broja unosa ili korištenjem drugih zaglavlja	Primerjajte dejavnost uporabnikov v naboru podatkov glede na všečke, število vnosov ali z uporabo drugih glav	Usporedite aktivnost korisnika u skupu podataka u smislu lajkova, broja unosa ili korištenjem drugih zaglavlja
snaTools_accountActivityButtonText	View	Voir	Ver	Προβολή	Visualizza	عرض	Anzeigen	表示	Megjelenítés	Ver	Pregled	Ogled	Pregled
snaTools_coorDescription	Check whether pairs of users shared the same content (object field) within a specified time window and to a greater degree than other pairs of users did (edge weight)	Vérifiez si des paires d’utilisateurs ont partagé le même contenu (champ objet) dans une fenêtre temporelle spécifiée et dans une plus grande mesure que d’autres paires (poids de l’arête)	Compruebe si parejas de usuarios compartieron el mismo contenido (campo objeto) dentro de una ventana de tiempo especificada y en mayor grado que otras parejas (peso del enlace)	Ελέγξτε εάν ζεύγη χρηστών μοιράστηκαν το ίδιο περιεχόμενο (πεδίο αντικειμένου) εντός καθορισμένου χρονικού παραθύρου και σε μεγαλύτερο βαθμό από άλλα ζεύγη (βάρος ακμής)	Verificare se coppie di utenti hanno condiviso lo stesso contenuto (campo oggetto) entro una finestra temporale specificata e in misura maggiore rispetto ad altre coppie (peso del collegamento)	تحقق مما إذا كانت أزواج المستخدمين قد شاركت نفس المحتوى (حقل الكائن) ضمن إطار زمني محدد وبدرجة أكبر من أزواج المستخدمين الآخرين (وزن الحافة)	Überprüfen Sie, ob Benutzerpaare denselben Inhalt (Objektfeld) innerhalb eines bestimmten Zeitfensters und in stärkerem Maße als andere Paare geteilt haben (Kanten­gewicht)	指定された時間枠内にユーザーのペアが同じコンテンツ（オブジェクトフィールド）を他のペアよりも多く共有したかどうかを確認します（エッジ重み）	Ellenőrizze, hogy a felhasználópárok azonos tartalmat (objektum mező) osztottak‑e meg egy adott időablakon belül és nagyobb mértékben, mint más párok (élsúly)	Verifique se pares de usuários compartilharam o mesmo conteúdo (campo objeto) dentro de uma janela de tempo especificada e em maior grau do que outros pares (peso da aresta)	Provjerite jesu li parovi korisnika dijelili isti sadržaj (polje objekta) unutar određenog vremenskog okvira i u većoj mjeri nego drugi parovi korisnika (težina ruba)	Preverite, ali sta si para uporabnikov delila isto vsebino (predmetno polje) znotraj določenega časovnega okna in v večji meri kot drugi pari uporabnikov (utež roba)	Provjerite jesu li parovi korisnika dijelili isti sadržaj (polje objekta) unutar određenog vremenskog okvira i u većoj mjeri nego drugi parovi korisnika (težina ruba)
snaTools_coorButtonText	View	Voir	Ver	Προβολή	Visualizza	عرض	Anzeigen	表示	Megjelenítés	Ver	Pregled	Ogled	Pregled
snaTools_coorTextSimilarityOption	Text similarity	Similarité textuelle	Similitud de texto	Ομοιότητα κειμένου	Similarità testuale	تشابه النصوص	Textähnlichkeit	テキストの類似性	Szövegsimilaritás	Similaridade de texto	Sličnost teksta	Podobnost besedila	Sličnost teksta
snaTools_coorTimeWindowLabel	Time window	Fenêtre temporelle	Ventana de tiempo	Χρονικό παράθυρο	Finestra temporale	نافذة زمنية	Zeitfenster	時間ウィンドウ	Időablak	Janela de tempo	Vremenski prozor	Časovno okno	Vremenski prozor
snaTools_coorTimeWindowHelperText	Amount of time in seconds during which shares are grouped together as coordinated	Durée en secondes pendant laquelle les partages sont regroupés comme coordonnés	Cantidad de tiempo en segundos durante los cuales las acciones se agrupan como coordinadas	Ποσότητα χρόνου σε δευτερόλεπτα κατά την οποία οι κοινοποιήσεις ομαδοποιούνται ως συντονισμένες	Quantità di tempo in secondi durante la quale le condivisioni sono raggruppate come coordinate	كمية الوقت بالثواني التي يتم خلالها تجميع المشاركات على أنها منسقة	Menge der Zeit in Sekunden, während der Shares als koordiniert gruppiert werden	共有が調整されたものとしてまとめられる時間（秒）	Idő másodpercekben, amely alatt a megosztások koordináltként vannak csoportosítva	Quantidade de tempo em segundos durante o qual os compartilhamentos são agrupados como coordenados	Vrijeme u sekundama tijekom kojeg se dijeljenja grupiraju kao koordinirana	Čas v sekundah, v katerem so deljenja združena kot usklajena	Vrijeme u sekundama tijekom kojeg se dijeljenja grupiraju kao koordinirana
snaTools_coorEdgeThreshLabel	Edge weight	Poids de l’arête	Peso del enlace	Βάρος ακμής	Peso del collegamento	وزن الحافة	Kanten­gewicht	エッジ重み	Élsúly	Peso da aresta	Težina ruba	Utež roba	Težina ruba
snaTools_coorEdgeThreshHelperText	Threshold for the number of times two users have to share the same content to be considered coordinated (e.g. 0.5 means kept users shared the same content more than the median of others in the dataset)	Seuil pour le nombre de fois que deux utilisateurs doivent partager le même contenu pour être considérés comme coordonnés (par exemple 0,5 signifie que les utilisateurs gardés ont partagé le même contenu plus que la médiane des autres dans le jeu de données)	Umbral para el número de veces que dos usuarios deben compartir el mismo contenido para considerarse coordinados (p.ej. 0,5 significa que los usuarios retenidos compartieron el mismo contenido más que la mediana de otros en el conjunto de datos)	Κατώφλι για τον αριθμό φορών που δύο χρήστες πρέπει να μοιραστούν το ίδιο περιεχόμενο για να θεωρηθούν συντονισμένοι (π.χ. 0,5 σημαίνει ότι οι διατηρημένοι χρήστες μοιράστηκαν το ίδιο περιεχόμενο περισσότερο από τη διάμεσο των άλλων στο σύνολο δεδομένων)	Soglia per il numero di volte in cui due utenti devono condividere lo stesso contenuto per essere considerati coordinati (es. 0,5 significa che gli utenti mantenuti hanno condiviso lo stesso contenuto più della mediana degli altri nel dataset)	العَرْض لعدد المرات التي يجب أن يشارك فيها مستخدمان نفس المحتوى ليُعتَبرا منسقين (مثلاً 0.5 يعني أن المستخدمين المحتفظ بهم شاركوا نفس المحتوى أكثر من الوسيط للآخرين في مجموعة البيانات)	Schwellenwert für die Anzahl der Male, die zwei Benutzer den gleichen Inhalt teilen müssen, um als koordiniert zu gelten (z. B. bedeutet 0,5, dass die beibehaltenen Benutzer denselben Inhalt öfter geteilt haben als der Median anderer im Datensatz)	2人のユーザーが調整されたと見なされるために同じコンテンツを共有しなければならない回数のしきい値（例：0.5 は対象ユーザーがデータセット内の他よりも中央値以上に共有したことを意味）	Küszöbérték annak meghatározására, hányszor kell két felhasználónak ugyanazt a tartalmat megosztania ahhoz, hogy koordináltként legyenek tekintve (pl. 0,5 azt jelenti, hogy a megtartott felhasználók gyakrabban osztották meg ugyanazt a tartalmat, mint a többi felhasználó mediánja az adathalmazban)	Limite para o número de vezes que dois usuários precisam compartilhar o mesmo conteúdo para serem considerados coordenados (por exemplo, 0,5 significa que os usuários mantidos compartilharam o mesmo conteúdo mais do que a mediana dos outros no conjunto de dados).	Prag za broj puta koliko dva korisnika moraju dijeliti isti sadržaj da bi se smatrali koordiniranima (npr. 0,5 znači da su zadržani korisnici dijelili isti sadržaj više od medijana ostalih u skupu podataka)	Prag za število deljenj iste vsebine s strani dveh uporabnikov, da se štejeta za usklajena (npr. 0,5 pomeni, da so ohranjeni uporabniki delili isto vsebino večkrat kot mediana drugih v naboru podatkov)	Prag za broj puta koliko dva korisnika moraju dijeliti isti sadržaj da bi se smatrali koordiniranima (npr. 0,5 znači da su zadržani korisnici dijelili isti sadržaj više od medijana ostalih u skupu podataka)
snaTools_coorMinParticipantsLabel	Min participation	Participation min.	Participación mínima	Ελάχιστη συμμετοχή	Partecipazione minima	الحد الأدنى للمشاركة	Mindestteilnahme	最小参加者数	Minimális részvétel	Participação mínima	Minimalno sudjelovanje	Minimalno sodelovanje	Minimalno sudjelovanje
snaTools_coorMinParticipantsHelperText	Number of times users have to have posted in the dataset to be included in the analysis	Nombre de fois que les utilisateurs doivent avoir publié dans le jeu de données pour être inclus dans l’analyse	Número de veces que los usuarios deben haber publicado en el conjunto de datos para ser incluidos en el análisis	Αριθμός φορών που οι χρήστες πρέπει να έχουν δημοσιεύσει στο σύνολο δεδομένων για να συμπεριληφθούν στην ανάλυση	Numero di volte in cui gli utenti devono aver pubblicato nel dataset per essere inclusi nell’analisi	عدد المرات التي يجب أن يكون المستخدمون قد نشروا فيها في مجموعة البيانات ليتم تضمينهم في التحليل	Anzahl der Male, die Benutzer im Datensatz gepostet haben müssen, um in die Analyse einbezogen zu werden	ユーザーが分析に含まれるためにデータセットに投稿していなければならない回数	A felhasználóknak hányszor kellett posztolniuk az adathalmazban ahhoz, hogy bevonásra kerüljenek az elemzésbe	Mínimo de vezes que os usuários devem ter postado no conjunto de dados para serem incluídos na análise	Broj puta koliko korisnici moraju objaviti u skupu podataka da bi bili uključeni u analizu	Število objav uporabnikov v naboru podatkov, da se vključijo v analizo	Broj puta koliko korisnici moraju objaviti u skupu podataka da bi bili uključeni u analizu
snaTools_coorObjectChoiceLabel	Shared object	Objet partagé	Objeto compartido	Κοινό αντικείμενο	Oggetto condiviso	الكائن المشترك	Gemeinsames Objekt	共有オブジェクト	Megosztott objektum	Objeto compartilhado	Dijeljeni objekt	Predmet v skupni rabi	Dijeljeni objekt
snaTools_coorObjectChoiceHelperText	The content that would have been shared in coordination in the dataset (e.g. links, hashtags)	Le contenu qui aurait été partagé en coordination dans le jeu de données (ex. liens, hashtags)	El contenido que se habría compartido en coordinación en el conjunto de datos (p. ej. enlaces, hashtags)	Το περιεχόμενο που θα είχε κοινοποιηθεί με συντονισμό στο σύνολο δεδομένων (π.χ. σύνδεσμοι, hashtags)	Il contenuto che sarebbe stato condiviso in coordinamento nel dataset (es. link, hashtag)	المحتوى الذي كان سيتم مشاركته بتنسيق منسق في مجموعة البيانات (مثل الروابط، الهاشتاجات)	Inhalte, die im Dataset koordiniert geteilt worden wären (z. B. Links, Hashtags)	データセット内で連携して共有された可能性のあるコンテンツ（例：リンク、ハッシュタグ）	A datasetben koordináltan megosztott tartalom (pl. linkek, hashtagek)	O conteúdo que teria sido compartilhado de forma coordenada no conjunto de dados (ex. links, hashtags)	Sadržaj koji bi bio dijeljen u koordinaciji u skupu podataka (npr. veze, hashtagovi)	Vsebina, ki bi bila usklajeno deljena v naboru podatkov (npr. povezave, hashtagi)	Sadržaj koji bi bio dijeljen u koordinaciji u skupu podataka (npr. veze, hashtagovi)
snaTools_hashtagAnalysisDescription	Visualize the hashtags most frequently used in the dataset and their co‑occurence	Visualisez les hashtags les plus fréquemment utilisés dans le jeu de données et leur cooccurrence	Visualice los hashtags más utilizados en el conjunto de datos y su coocurrencia	Οπτικοποιήστε τα πιο συχνά χρησιμοποιούμενα hashtag στο σύνολο δεδομένων και την συνύπαρξή τους	Visualizza gli hashtag più usati nel dataset e la loro co‑occorrenza	تصور الهاشتاجات المستخدمة بشكل متكرر في مجموعة البيانات وتزامنها	Vizualisieren Sie die in der Datensatz am häufigsten verwendeten Hashtags und deren Ko‑Vorkommen	データセットで最も頻繁に使用されるハッシュタグとその共起を視覚化します	A datasetben leggyakrabban használt hashtagek és azok együtt előfordulásának vizualizálása	Visualizar os hashtags mais usados no conjunto de dados e sua coocorrência	Vizualizirajte najčešće korištene hashtagove u skupu podataka i njihovu ko-pojavnost	Vizualizirajte najpogosteje uporabljene hashtage v naboru podatkov in njihovo so-pojavnost	Vizualizirajte najčešće korištene hashtagove u skupu podataka i njihovu ko-pojavnost
snaTools_hashtagAnalysisButtonText	View	Voir	Ver	Προβολή	Visualizza	عرض	Anzeigen	表示	Megjelenítés	Ver	Pregled	Ogled	Pregled
