	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl
active_session	Active session:	Session active :	Sesión activa:	Ενεργή περίοδος λειτουργίας:	Sessione attiva:	جلسة نشطة:	Aktive Sitzung:	アクティブなセッション:	Aktív munkamenet:	Sessão ativa:	Aktivna sesija:	Aktivna seja:
clear_input	Clear input	Effacer la saisie	Borrar entrada	Εκκαθάριση εισόδου	Cancella input	مسح الإدخال	Eingabe löschen	入力をクリア	Bemenet törlése	Limpar entrada	Očisti unos	Počisti vnos
paste_from_clipboard	Paste from clipboard	Coller depuis le presse-papiers	Pegar desde el portapapeles	Επικόλληση από το πρόχειρο	Incolla dagli appunti	لصق من الحافظة	Aus der Zwischenablage einfügen	クリップボードから貼り付け	Beillesztés a vágólapról	Colar da área de transferência	Zalijepi iz međuspremnika	Prilepi iz odložišča
prompt_required_1	Prompt Required:	Prompt obligatoire :	Prompt requerido:	Απαιτείται προτροπή:	Prompt richiesto:	الموجه مطلوب: 	Prompt erforderlich:	プロンプトが必要です：	Parancs szükséges:	Prompt necessário:	Prompt je obavezan:	Zahtevan poziv:
prompt_required_2	Please select a prompt above to start using the chatbot.	Veuillez sélectionner une invite ci-dessus pour commencer à utiliser le chatbot.	Por favor, seleccione un prompt de arriba para empezar a usar el chatbot.	Παρακαλώ επιλέξτε μια προτροπή παραπάνω για να ξεκινήσετε να χρησιμοποιείτε το chatbot.	Seleziona un prompt qui sopra per iniziare a usare la chatbot.	يرجى تحديد موجه أعلاه لبدء استخدام روبوت المحادثة.	Bitte wählen Sie oben einen Prompt aus, um den Chatbot zu verwenden.	チャットボットの使用を開始するには、上のプロンプトを選択してください。	Kérjük, válasszon egy parancsot a chatbot használatának megkezdéséhez.	Por favor, selecione um prompt acima para começar a usar o chatbot.	Molimo odaberite prompt iznad da biste počeli koristiti chatbot.	Za začetek uporabe chatbota izberite poziv zgoraj.
load_models	Loading available models...	Chargement des modèles disponibles...	Cargando modelos disponibles...	Φόρτωση διαθέσιμων μοντέλων...	Caricamento dei modelli disponibili...	جاري تحميل النماذج المتاحة...	Verfügbare Modelle werden geladen...	利用可能なモデルを読み込んでいます...	Elérhető modellek betöltése...	Carregando modelos disponíveis...	Učitavanje dostupnih modela...	Nalaganje razpoložljivih modelov...
chatbot_title	Local LLM Chatbot	Chatbot LLM Local	Chatbot LLM Local	Τοπικό Chatbot LLM	Chatbot LLM Locale	روبوت محادثة LLM محلي	Lokaler LLM-Chatbot	ローカルLLMチャットボット	Helyi LLM Chatbot	Chatbot LLM Local	Lokalni LLM Chatbot	Lokalni LLM Chatbot
models_label	Models	Modèles	Modelos	Μοντέλα	Modelli	النماذج	Modelle	モデル	Modellek	Modelos	Modeli	Modeli
models_error	Failed to fetch available models. Please check your connection and if LM Studio server is running	Échec de la récupération des modèles disponibles. Veuillez vérifier votre connexion et si le serveur LM Studio est en cours d'exécution	No se pudieron recuperar los modelos disponibles. Verifique su conexión y si el servidor LM Studio se está ejecutando	Η ανάκτηση των διαθέσιμων μοντέλων απέτυχε. Ελέγξτε τη σύνδεσή σας και εάν ο διακομιστής LM Studio εκτελείται	Impossibile recuperare i modelli disponibili. Controlla la tua connessione e se il server LM Studio è in esecuzione	فشل في جلب النماذج المتاحة. يرجى التحقق من اتصالك وما إذا كان خادم LM Studio قيد التشغيل	Fehler beim Abrufen der verfügbaren Modelle. Bitte überprüfen Sie Ihre Verbindung und ob der LM Studio-Server läuft	利用可能なモデルの取得に失敗しました。接続とLM Studioサーバーが実行されているかどうかを確認してください	Nem sikerült lekérni az elérhető modelleket. Ellenőrizze a kapcsolatot, és hogy fut-e az LM Studio szerver	Falha ao buscar os modelos disponíveis. Verifique sua conexão e se o servidor LM Studio está em execução	Nije uspjelo dohvaćanje dostupnih modela. Provjerite svoju vezu i radi li LM Studio poslužitelj.	Napaka pri pridobivanju razpoložljivih modelov. Preverite povezavo in ali strežnik LM Studio deluje.
prompt_select_label	Select a prompt...	Sélectionnez un prompt...	Seleccione un prompt...	Επιλέξτε μια προτροπή...	Seleziona un prompt...	حدد موجهًا ...	Wählen Sie einen Prompt aus...	プロンプトを選択してください...	Válasszon egy parancsot...	Selecione um prompt...	Odaberite prompt...	Izberite poziv...
prompt_content_placeholder	Paste the text/article you want to analyze rhetorically...	Collez le texte/article que vous souhaitez analyser de manière rhétorique...	Pegue el texto/artículo que desea analizar retóricamente...	Επικολλήστε το κείμενο/άρθρο που θέλετε να αναλύσετε ρητορικά...	Incolla il testo/articolo che vuoi analizzare retoricamente...	الصق النص / المقال الذي تريد تحليله بلاغياً ...	Fügen Sie den Text/Artikel ein, den Sie rhetorisch analysieren möchten...	修辞的に分析したいテキスト/記事を貼り付けてください...	Illessze be a retorikailag elemezni kívánt szöveget/cikket...	Cole o texto/artigo que você deseja analisar retoricamente...	Zalijepite tekst/članak koji želite retorički analizirati...	Prilepite besedilo/članek, ki ga želite retorično analizirati...
chatbot_typing	Chatbot is typing...	Le chatbot est en train d'écrire...	El chatbot está escribiendo...	Το chatbot πληκτρολογεί...	Il chatbot sta scrivendo...	روبوت المحادثة يكتب ...	Chatbot schreibt...	チャットボットが入力中です...	A chatbot ír...	O chatbot está a digitar...	Chatbot tipka...	Chatbot tipka...
prompt_selected	Selected:	Sélectionné :	Seleccionado:	Επιλεγμένο:	Selezionato:	المحدد:	Ausgewählt:	選択済み：	Kiválasztva:	Selecionado:	Odabrano:	Izbrano:
thinking_hide	Hide thinking	Masquer la réflexion	Ocultar pensamiento	Απόκρυψη σκέψης	Nascondi il pensiero	إخفاء التفكير	Denken ausblenden	思考を隠す	Gondolkodás elrejtése	Ocultar pensamento	Sakrij razmišljanje	Skrij razmišljanje
thinking_show	Show thinking	Afficher la réflexion	Mostrar pensamiento	Εμφάνιση σκέψης	Mostra il pensiero	إظهار التفكير	Denken anzeigen	思考を表示	Gondolkodás megjelenítése	Mostrar pensamento	Prikaži razmišljanje	Pokaži razmišljanje
chatbot_description	This chatbot is working with local LM Studio server. It aim is to anaylyse content using pre-defined prompts.	Ce chatbot fonctionne avec le serveur local LM Studio. Son objectif est d'analyser le contenu à l'aide de prompts prédéfinis.	Este chatbot funciona con el servidor local LM Studio. Su objetivo es analizar el contenido mediante prompts predefinidos.	Αυτό το chatbot λειτουργεί με τον τοπικό διακομιστή LM Studio. Στόχος του είναι να αναλύζει περιεχόμενο χρησιμοποιώντας προκαθορισμένες προτροπές.	Questo chatbot funziona con il server locale LM Studio. Il suo scopo è analizzare i contenuti utilizzando prompt predefiniti.	يعمل روبوت المحادثة هذا مع خادم LM Studio المحلي. هدفه هو تحليل المحتوى باستخدام مطالبات محددة مسبقًا.	Dieser Chatbot arbeitet mit dem lokalen LM Studio Server. Sein Ziel ist es, Inhalte mit vordefinierten Prompts zu analysieren.	このチャットボットは、ローカルのLM Studioサーバーと連携して動作します。その目的は、事前定義されたプロンプトを使用してコンテンツを分析することです。	Ez a chatbot a helyi LM Studio szerverrel működik. Célja a tartalom elemzése előre meghatározott parancsok segítségével.	Este chatbot está a funcionar com o servidor local LM Studio. O seu objetivo é analisar o conteúdo utilizando prompts pré-definidos.	Ovaj chatbot radi s lokalnim LM Studio poslužiteljem. Cilj mu je analizirati sadržaj pomoću unaprijed definiranih promptova.	Ta chatbot deluje z lokalnim strežnikom LM Studio. Njegov cilj je analizirati vsebino z vnaprej določenimi pozivi.
chatbot_settings_alert	Chatbot is configured to use local LM Studio running with this url: http://127.0.0.1:1234. Be sure that your local LM Studio is running. More details see <a href="https://lmstudio.ai/docs/app/api" "target="_blank">https://lmstudio.ai/docs/app/api</a>	Le chatbot est configuré pour utiliser LM Studio local fonctionnant avec cette url : http://127.0.0.1:1234. Assurez-vous que votre LM Studio local est en cours d'exécution. Plus de détails voir la <a href="https://lmstudio.ai/docs/app/api" "target="_blank">https://lmstudio.ai/docs/app/api</a>	El chatbot está configurado para usar LM Studio local que se ejecuta con esta url: http://127.0.0.1:1234. Asegúrese de que su LM Studio local se está ejecutando. Más detalles ver la <a href="https://lmstudio.ai/docs/app/api" "target="_blank">https://lmstudio.ai/docs/app/api</a>	Το Chatbot έχει ρυθμιστεί να χρησιμοποιεί τοπικό LM Studio που εκτελείται με αυτήν τη διεύθυνση url: http://127.0.0.1:1234. Βεβαιωθείτε ότι το τοπικό σας LM Studio εκτελείται. Περισσότερες λεπτομέρειες δείτε την <a href="https://lmstudio.ai/docs/app/api" "target="_blank">https://lmstudio.ai/docs/app/api</a>	Il chatbot è configurato per utilizzare LM Studio locale in esecuzione con questo URL: http://127.0.0.1:1234. Assicurati che il tuo LM Studio locale sia in esecuzione. Maggiori dettagli vedi la <a href="https://lmstudio.ai/docs/app/api" "target="_blank">https://lmstudio.ai/docs/app/api</a>	تم تكوين Chatbot لاستخدام LM Studio المحلي الذي يعمل مع عنوان url هذا: http://127.0.0.1:1234. تأكد من أن LM Studio المحلي الخاص بك قيد التشغيل. مزيد من التفاصيل انظر <a href="https://lmstudio.ai/docs/app/api" "target="_blank">https://lmstudio.ai/docs/app/api</a>	Der Chatbot ist so konfiguriert, dass er das lokale LM Studio verwendet, das mit dieser URL ausgeführt wird: http://127.0.0.1:1234. Stellen Sie sicher, dass Ihr lokales LM Studio ausgeführt wird. Weitere Details finden Sie in der <a href="https://lmstudio.ai/docs/app/api" "target="_blank">https://lmstudio.ai/docs/app/api</a>	チャットボットは、このURLで実行されているローカルLM Studioを使用するように構成されています: http://127.0.0.1:1234。ローカルLM Studioが実行されていることを確認してください。詳細については、<a href="https://lmstudio.ai/docs/app/api" "target="_blank">https://lmstudio.ai/docs/app/api</a> を参照してください。	A chatbot úgy van beállítva, hogy a helyi LM Studiót használja, amely ezen az URL-en fut: http://127.0.0.1:1234. Győződjön meg róla, hogy a helyi LM Studio fut. További részletekért lásd: <a href="https://lmstudio.ai/docs/app/api" "target="_blank">https://lmstudio.ai/docs/app/api</a>	O chatbot está configurado para usar o LM Studio local a funcionar com este URL: http://127.0.0.1:1234. Certifique-se de que o seu LM Studio local está a funcionar. Mais detalhes, consulte <a href="https://lmstudio.ai/docs/app/api" "target="_blank">https://lmstudio.ai/docs/app/api</a>	Chatbot je konfiguriran za korištenje lokalnog LM Studija koji se izvodi s ovim URL-om: http://127.0.0.1:1234. Provjerite radi li vaš lokalni LM Studio. Više detalja pogledajte na <a href="https://lmstudio.ai/docs/app/api" "target="_blank">https://lmstudio.ai/docs/app/api</a>	Chatbot je nastavljen za uporabo lokalnega LM Studia, ki deluje na tem URL-ju: http://127.0.0.1:1234. Prepričajte se, da vaš lokalni LM Studio deluje. Za več podrobnosti glejte <a href="https://lmstudio.ai/docs/app/api" "target="_blank">https://lmstudio.ai/docs/app/api</a>
fact_checker_system	You are a fact-checker working in an international news agency	Vous êtes un fact-checker travaillant dans une agence de presse internationale	Eres un verificador de hechos que trabaja en una agencia de noticias internacional	Είστε ένας fact-checker που εργάζεται σε ένα διεθνές πρακτορείο ειδήσεων	Sei un fact-checker che lavora in un'agenzia di stampa internazionale	أنت مدقق حقائق تعمل في وكالة أنباء دولية	Sie sind ein Faktenprüfer, der in einer internationalen Nachrichtenagentur arbeitet	あなたは国際的な通信社で働くファクトチェッカーです	Ön egy tényellenőrző egy nemzetközi hírügynökségnél	Você é um verificador de fatos trabalhando em uma agência de notícias internacional	Vi ste provjeravatelj činjenica koji radi u međunarodnoj novinskoj agenciji.	Ste preverjevalec dejstev, ki dela v mednarodni tiskovni agenciji
fact_checker_assistant	Very well, what is the article you want me to analyse ?	Très bien, quel est l'article que vous voulez que j'analyse ?	Muy bien, ¿cuál es el artículo que quieres que analice?	Πολύ καλά, ποιο είναι το άρθρο που θέλετε να αναλύσω;	Molto bene, qual è l'articolo che vuoi che analizzi?	حسنًا جدًا ، ما هو المقال الذي تريد مني تحليله؟	Sehr gut, welchen Artikel soll ich analysieren?	承知いたしました。分析をご希望の記事は何ですか？	Rendben, melyik cikket szeretné, hogy elemezzem?	Muito bem, qual é o artigo que você quer que eu analise?	Vrlo dobro, koji članak želite da analiziram?	Zelo dobro, kateri članek želite, da analiziram?
fact_check_analysis_title	Fact-Check Article Analysis	Analyse d'article de fact-checking	Análisis de artículo de verificación de hechos	Ανάλυση άρθρου Fact-Check	Analisi dell'articolo di fact-checking	تحليل مقال التحقق من الحقائق	Faktencheck-Artikelanalyse	ファクトチェック記事分析	Tényellenőrző cikk elemzése	Análise de Artigo de Verificação de Fatos	Analiza članka za provjeru činjenica	Analiza članka za preverjanje dejstev
fact_check_analysis_description	Analyze an article for bias, one-sidedness, and propaganda	Analyser un article pour déceler les préjugés, la partialité et la propagande	Analizar un artículo en busca de sesgos, unilateralidad y propaganda	Αναλύστε ένα άρθρο για προκατάληψη, μονομέρεια και προπαγάνδα	Analizzare un articolo per pregiudizi, parzialità e propaganda	تحليل مقال للكشف عن التحيز والأحادية والدعاية	Analysieren Sie einen Artikel auf Voreingenommenheit, Einseitigkeit und Propaganda	記事の偏り、一方的な見方、プロパガンダを分析する	Elemezzen egy cikket az elfogultság, az egyoldalúság és a propaganda szempontjából	Analise um artigo em busca de viés, unilateralidade e propaganda	Analizirajte članak za pristranost, jednostranost i propagandu	Analizirajte članek za pristranskost, enostranskost in propagando
fact_check_analysis_user	Analyse the following article and tell me if it is one-sided, opinionated, propaganda. Outline the sentences that will support your assessment. ! Justify by quoting sentences in the article	Analysez l'article suivant et dites-me s'il est partial, orienté, ou s'il relève de la propagande. Soulignez les phrases qui appuieront votre évaluation. ! Justifiez en citant des phrases de l'article	Analice el siguiente artículo y dígame si es unilateral, tendencioso o propagandístico. Destaque las frases que apoyarán su evaluación. ! Justifique citando frases del artículo	Αναλύστε το παρακάτω άρθρο και πείτε μου αν είναι μονόπλευρο, προκατειλημμένο, προπαγάνδα. Υπογραμμίστε τις προτάσεις που θα υποστηρίξουν την αξιολόγησή σας. ! Δικαιολογήστε παραθέτοντας προτάσεις από το άρθρο	Analizza il seguente articolo e dimmi se è unilaterale, di parte, propagandistico. Sottolinea le frasi che supporteranno la tua valutazione. ! Giustifica citando frasi dell'articolo	حلل المقال التالي وأخبرني إذا كان من جانب واحد أو متحيزًا أو دعائيًا. حدد الجمل التي ستدعم تقييمك. ! برر باقتباس جمل من المقال	Analysieren Sie den folgenden Artikel und sagen Sie mir, ob er einseitig, meinungsbildend oder Propaganda ist. Unterstreichen Sie die Sätze, die Ihre Einschätzung stützen. ! Begründen Sie mit Zitaten aus dem Artikel	次の記事を分析し、一方的、意見が多い、プロパガンダであるかどうかを教えてください。あなたの評価を裏付ける文章の概要を説明してください。 ！記事の文章を引用して正当化してください	Elemezze a következő cikket, és mondja meg, hogy egyoldalú, véleményvezérelt, propaganda-e. Vázolja fel azokat a mondatokat, amelyek alátámasztják értékelését. ! Indokolja a cikk mondatainak idézésével	Analise o artigo a seguir e diga-me se é unilateral, opinativo, propaganda. Delineie as frases que apoiarão sua avaliação. ! Justifique citando frases do artigo	Analizirajte sljedeći članak i recite mi je li jednostran, subjektivan, propaganda. Navedite rečenice koje će podržati vašu procjenu. ! Obrazložite citiranjem rečenica u članku.	Analizirajte naslednji članek in mi povejte, ali je enostranski, pristranski, propaganda. Orisajte stavke, ki bodo podprli vašo oceno. ! Utemeljite z navajanjem stavkov v članku
rhetorical_analysis_title	Rhetorical & Linguistic Analysis	Analyse rhétorique et linguistique	Análisis retórico y lingüístico	Ρητορική & Γλωσσική Ανάλυση	Analisi retorica e linguistica	التحليل البلاغي واللغوي	Rhetorische & linguistische Analyse	修辞学的・言語学的分析	Retorikai és nyelvészeti elemzés	Análise Retórica e Linguística	Retorička i lingvistička analiza	Retorična in jezikovna analiza
rhetorical_analysis_description	Deep analysis of rhetorical processes, linguistic construction, and propaganda techniques	Analyse approfondie des processus rhétoriques, de la construction linguistique et des techniques de propagande	Análisis profundo de los procesos retóricos, la construcción lingüística y las técnicas de propaganda	Βαθιά ανάλυση των ρητορικών διαδικασιών, της γλωσσικής κατασκευής και των τεχνικών προπαγάνδας	Analisi approfondita dei processi retorici, della costruzione linguistica e delle tecniche di propaganda	تحليل عميق للعمليات البلاغية والبناء اللغوي وتقنيات الدعاية	Tiefenanalyse von rhetorischen Prozessen, sprachlicher Konstruktion und Propagandatechniken	修辞的プロセス、言語的構築、プロパガンダ技術の詳細な分析	A retorikai folyamatok, a nyelvi felépítés és a propaganda technikák mélyreható elemzése	Análise aprofundada dos processos retóricos, construção linguística e técnicas de propaganda	Dubinska analiza retoričkih procesa, lingvističke konstrukcije i propagandnih tehnika	Globinska analiza retoričnih postopkov, jezikovne konstrukcije in propagandnih tehnik
