	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl
introduction_para5	You can consult the Tutorial page. There is a video explainer for each tool of the plug-in. If you are in trouble or if some of the tools is not working properly, use the feedback button on the right. Do not forget to give us your email address if you expect an answer and to provide a link if you have an issue with some particular media file.	Vous pouvez consulter la page de Tutoriel. Il y a une vidéo explicative pour chaque fonctionalité. Si vous rencontrez des difficultés ou si certains des outils ne fonctionnent pas correctement, utilisez le bouton Feedback à droite. N'oubliez pas de fournir votre adresse électronique si vous attendez une réponse et également un lien si vous avez un problème avec un fichier média en particulier.	Puede consultar la página de Tutorial. Hay un video explicativo para cada herramienta. Si sigue teniendo problemas o si alguna de las herramientas no funciona correctamente, utilice el botón de feedback a la derecha. No olvide de darnos una dirección de correo electrónico si espera una respuesta y de proporcionar un enlace si tiene algun problema con algún archivo multimedia en particular.	Μπορείτε να συμβουλευτείτε τη σελίδα Πρόγραμμα Αυτοδιδασκαλίας. Υπάρχει ένα βίντεο εξήγησης για κάθε εργαλείο της προσθήκης. Εάν αντιμετωπίζετε προβλήματα ή εάν κάποια από τα εργαλεία δεν λειτουργούν σωστά, χρησιμοποιήστε το κουμπί σχολίων στα δεξιά. Μην ξεχάσετε να μας δώσετε τη διεύθυνση email σας εάν περιμένετε απάντηση και να δώσετε έναν σύνδεσμο εάν έχετε κάποιο πρόβλημα με κάποιο συγκεκριμένο αρχείο πολυμέσων.	Puoi consultare la pagina del tutorial. C'è un video spiegatore per ogni strumento del plug-in. Se ti trovi nei guai o se alcuni degli strumenti non funzionano correttamente, utilizzare il pulsante Feedback a destra. Non dimenticare di darci il tuo indirizzo email se ti aspetti una risposta e fornire un collegamento se hai un problema con un particolare file multimediale.	يمكنك الرجوع إلى صفحة البرنامج التعليمي. يوجد فيديو توضيحي لكل أداة من أدوات البرنامج المساعد. إذا كنت تواجه مشكلة أو إذا كانت بعض الأدوات لا تعمل بشكل صحيح، فاستخدم زر الملاحظات على اليمين. لا تنس تزويدنا بعنوان بريدك الإلكتروني إذا كنت تتوقع ردًا وتقديم رابط إذا كان لديك مشكلة في ملف وسائط معين.	Sie können die Tutorial-Seite konsultieren. Es gibt ein Erklärvideo für jedes Tool des Plugins. Wenn Sie Schwierigkeiten haben oder einige der Tools nicht richtig funktionieren, verwenden Sie die Feedback-Schaltfläche auf der rechten Seite. Vergessen Sie nicht, uns Ihre E-Mail-Adresse mitzuteilen, wenn Sie eine Antwort erwarten, und einen Link anzugeben, wenn Sie ein Problem mit einer bestimmten Mediendatei haben.	チュートリアルページを参照してください。プラグインの各ツールには解説ビデオがあります。問題がある場合や、一部のツールが正しく機能しない場合は、右側のフィードバックボタンを使用してください。返信を希望する場合はメールアドレスを、特定のメディアファイルで問題がある場合はリンクを提供することを忘れないでください。	Konzultálja az oktatóanyag oldalt. Minden bővítmény eszközhöz tartozik egy videós magyarázat. Ha bajban van, vagy ha valamelyik eszköz nem működik megfelelően, használja a jobb oldali visszajelzés gombot. Ne felejtse el megadni e-mail címét, ha választ vár, és adjon meg egy linket, ha problémája van egy adott médiafájllal.	Você pode consultar a página do Tutorial. Há um vídeo explicativo para cada ferramenta do plug-in. Se você estiver com problemas ou se algumas das ferramentas não estiverem funcionando corretamente, use o botão de feedback à direita. Não se esqueça de nos fornecer seu endereço de e-mail se esperar uma resposta e de fornecer um link se tiver um problema com algum arquivo de mídia específico.	Možete pogledati stranicu Vodiča. Postoji video objašnjenje za svaki alat dodatka. Ako ste u nevolji ili ako neki od alata ne radi ispravno, koristite gumb za povratne informacije s desne strane. Ne zaboravite nam dati svoju e-mail adresu ako očekujete odgovor i dostaviti poveznicu ako imate problem s određenom medijskom datotekom.	Ogledate si lahko stran z vadnico. Za vsako orodje vtičnika je na voljo videoposnetek z razlago. Če imate težave ali če katero od orodij ne deluje pravilno, uporabite gumb za povratne informacije na desni. Ne pozabite nam posredovati svojega e-poštnega naslova, če pričakujete odgovor, in navedite povezavo, če imate težave z določeno medijsko datoteko.
classroom_teaching	Teaching	Enseignement	Enseñanza	Διδασκαλία	Insegnamento	تعليم	Lehren	教育	Oktatás	Ensino	Podučavanje	Poučevanje
classroom_gamification	Game 1	Jeu 1	Juego 1	Παιχνιδοποίηση 1	Gamification 1	لعبة 1	Spiel 1	ゲーム 1	1. játék	Jogo 1	Igra 1	Igra 1
classroom_gamification_2	Game 2	Jeu 2	Juego 2	Παιχνιδοποίηση 2	Gamification 2	لعبة 2	Spiel 2	ゲーム 2	2. játék	Jogo 2	Igra 2	Igra 2
gamification_url	https://view.genial.ly/5ebd550432a04c0d96b6da63	https://view.genial.ly/5ecceb91f02ce30db69f0c5b	https://view.genial.ly/5ebd5bc232a04c0d96b6dbf3	https://view.genial.ly/5ebd550432a04c0d96b6da63	https://view.genial.ly/5ebd550432a04c0d96b6da63	https://view.genial.ly/5ebd550432a04c0d96b6da63	https://view.genial.ly/5ebd550432a04c0d96b6da63	https://view.genial.ly/5ebd550432a04c0d96b6da63	https://view.genial.ly/5ebd550432a04c0d96b6da63	https://view.genial.ly/5ecceb91f02ce30db69f0c5b	https://view.genial.ly/5ebd550432a04c0d96b6da63	https://view.genial.ly/5ebd550432a04c0d96b6da63
gamification_url_2	https://view.genial.ly/5ebd550432a04c0d96b6da63	https://view.genial.ly/5ecceb91f02ce30db69f0c5b	https://view.genial.ly/5ebd5bc232a04c0d96b6dbf3	https://view.genial.ly/5ebd550432a04c0d96b6da63	https://view.genial.ly/5ebd550432a04c0d96b6da63	https://view.genial.ly/5ebd550432a04c0d96b6da63	https://view.genial.ly/5ebd550432a04c0d96b6da63	https://view.genial.ly/5ebd550432a04c0d96b6da63	https://view.genial.ly/5ebd550432a04c0d96b6da63	https://view.genial.ly/5ecceb91f02ce30db69f0c5b	https://view.genial.ly/5ebd550432a04c0d96b6da63	https://view.genial.ly/5ebd550432a04c0d96b6da63
teaching_url	https://docs.google.com/presentation/d/e/2PACX-1vTYjPP42BGGB5qmy1bdE3Bn0_Syj7AIP9GxL7PrErSKT5jq-j8f_BxWCQpFInjMrjyu9fzdUwz012T7/embed?start=false&loop=false&delayms=3000	https://docs.google.com/presentation/d/e/2PACX-1vQf24xk06KJgFBabG4gWXBHuzEfYvBcIF4kTQ3p4YMMFCpq98UvmpA9HBu4n88ZSBgPfCwXyHhFDLwG/embed?start=false&loop=false&delayms=3000	https://docs.google.com/presentation/d/e/2PACX-1vTinqJ3XhF8N8obwJhbzf4yukf8Ug7wtfiM0nlcxyUqfXqWQS2--wpiI7u054Im66bIRwKbRAAlIvp_/embed?start=false&loop=false&delayms=3000	https://docs.google.com/presentation/d/e/2PACX-1vTYjPP42BGGB5qmy1bdE3Bn0_Syj7AIP9GxL7PrErSKT5jq-j8f_BxWCQpFInjMrjyu9fzdUwz012T7/embed?start=false&loop=false&delayms=3000	https://docs.google.com/presentationtion/d/e/2pacx-1vtyjpp42bggb5qmy1bde3bn0_syj7aip3bn0_syj7aip9gxl7prerskt5jq-j8f_bxwcqpfinjmrjyu9fzduwz012t7/embdwz012t7/embed?start=False&loop=False&delayms=3000	https://docs.google.com/presentation/d/e/2pacx-1vtyjpp42bggb5qmy1bde3bn0_syj7aip9gxl7prerskt5jq-j8f_bxwcqpfinjmrjmrjyu9fzduwwwwwwwwwwwwwwwws012t7/embed=false	https://docs.google.com/presentation/d/e/2PACX-1vTYjPP42BGGB5qmy1bdE3Bn0_Syj7AIP9GxL7PrErSKT5jq-j8f_BxWCQpFInjMrjyu9fzdUwz012T7/embed?start=false&loop=false&delayms=3000	https://docs.google.com/presentation/d/e/2PACX-1vTYjPP42BGGB5qmy1bdE3Bn0_Syj7AIP9GxL7PrErSKT5jq-j8f_BxWCQpFInjMrjyu9fzdUwz012T7/embed?start=false&loop=false&layms=3000	https://docs.google.com/presentation/d/e/2PACX-1vTYjPP42BGGB5qmy1bdE3Bn0_Syj7AIP9GxL7PrErSKT5jq-j8f_BxWCQpFInjMrjyu9fzdUwz012T7/embed?start=false&loop=false&delayms=3000	https://docs.google.com/presentation/d/e/2PACX-1vQf24xk06KJgFBabG4gWXBHuzEfYvBcIF4kTQ3p4YMMFCpq98UvmpA9HBu4n88ZSBgPfCwXyHhFDLwG/embed?start=false&loop=false&delayms=3000	https://docs.google.com/presentation/d/e/2PACX-1vTYjPP42BGGB5qmy1bdE3Bn0_Syj7AIP9GxL7PrErSKT5jq-j8f_BxWCQpFInjMrjyu9fzdUwz012T7/embed?start=false&loop=false&delayms=3000	https://docs.google.com/presentation/d/e/2PACX-1vTYjPP42BGGB5qmy1bdE3Bn0_Syj7AIP9GxL7PrErSKT5jq-j8f_BxWCQpFInjMrjyu9fzdUwz012T7/embed?start=false&loop=false&delayms=3000
classroom_title	Classroom	Salle de cours	Aula	Αίθουσα	Aula	قاعة الدراسة	Klassenzimmer	教室	Tanerem	Sala de aula	Učionica	Učilnica
classroom_title_1	Five ways to spot fake news (Quartz)	5 conseils pour débusquer les fakes news (Kombini)	¿Qué hacemos con tanta noticia falsa?	Πέντε τρόποι για να εντοπίσετε φευδείς ειδήσεις (Quartz)	Cinque modi per individuare notizie false (Quartz)	خمس طرق لاكتشاف الأخبار الزائفة	Fünf Möglichkeiten, gefälschte Nachrichten zu erkennen (Quartz)	フェイクニュースを見分ける5つの方法（Quartz）	Öt módszer a hamis hírek felismerésére (Quartz)	Cinco maneiras de identificar notícias falsas (Quartz)	Pet načina za prepoznavanje lažnih vijesti (Quartz)	Pet načinov za prepoznavanje lažnih novic (Quartz)
classroom_url_1	https://www.youtube.com/embed/y7eCB2F89K8?rel=0	https://www.youtube.com/embed/-5BoejLNc9A?rel=0	https://www.youtube.com/embed/-FI1Tv-R7ZA?rel=0	https://www.youtube.com/embed/y7eCB2F89K8?rel=0	https://www.youtube.com/embed/y7eCB2F89K8?rel=0	https://www.youtube.com/embed/y7ecb2f89k8؟rel=0	https://www.youtube.com/embed/y7eCB2F89K8?rel=0	https://www.youtube.com/embed/y7eCB2F89K8?rel=0	https://www.youtube.com/embed/y7eCB2F89K8?rel=0	https://www.youtube.com/embed/-FI1Tv-R7ZA?rel=0	https://www.youtube.com/embed/y7eCB2F89K8?rel=0	https://www.youtube.com/embed/y7eCB2F89K8?rel=0
classroom_title_2	Helping students fighting disinformation	Comment vérifier une vidéo sur Facebook (France 24)	Guía para identificar noticias falsas	Βοηθώντας τους φοιτητές να καταπολεμήσουν την παραπληροφόρηση	Aiutare gli studenti a combattere la disinformazione	مساعدة الطلاب في محاربة التضليل	Schülern helfen, Desinformation zu bekämpfen	偽情報と戦う学生を支援する	Segítség a dezinformációval küzdő diákoknak	Ajudar os alunos a combater a desinformação	Pomoć studentima u borbi protiv dezinformacija	Pomoč študentom v boju proti dezinformacijam
classroom_url_2	https://www.youtube.com/embed/xf8mjbVRqao?rel=0	https://www.youtube.com/embed/TgOpesGF-9g?rel=0	https://www.youtube.com/embed/Y42V_qjptLA?rel=0	https://www.youtube.com/embed/xf8mjbVRqao?rel=0	https://www.youtube.com/embed/xf8mjbvrqao?rel=0	https://www.youtube.com/embed/xf8mjbvrqao؟rel=0	https://www.youtube.com/embed/xf8mjbVRqao?rel=0	https://www.youtube.com/embed/xf8mjbVRqao?rel=0	https://www.youtube.com/embed/xf8mjbVRqao?rel=0	https://www.youtube.com/embed/Y42V_qjptLA?rel=0	https://www.youtube.com/embed/xf8mjbVRqao?rel=0	https://www.youtube.com/embed/xf8mjbVRqao?rel=0
classroom_title_3	How to spot fake news (Factcheck.org)	C'est quoi une fake news ? (1 jour, 1 question)	¿Cómo identificar noticias falsas en redes sociales para no confundir a la sociedad?	Πώς να εντοπίσετε ψευδείς ειδήσεις (Factcheck.org)	Come individuare notizie false (fatcheck.org)	كيفية اكتشاف الأخبار الزائفة (factcheck.org)	So erkennen Sie gefälschte Nachrichten (factCheck.org)	フェイクニュースを見分ける方法 (Factcheck.org)	Hogyan lehet felismerni a hamis híreket (Factcheck.org)	Como identificar notícias falsas (Factcheck.org)	Kako prepoznati lažne vijesti (Factcheck.org)	Kako prepoznati lažne novice (Factcheck.org)
classroom_url_3	https://www.youtube.com/embed/AkwWcHekMdo?rel=0	https://www.youtube.com/embed/pAa80STbngQ?rel=0	https://www.youtube.com/embed/WsbS4S5ehaU?rel=0	https://www.youtube.com/embed/AkwWcHekMdo?rel=0	https://www.youtube.com/embed/akwwchekmdo?rel=0	https://www.youtube.com/embed/akwwchekmdo؟rel=0	https://www.youtube.com/embed/AkwWcHekMdo?rel=0	https://www.youtube.com/embed/AkwWcHekMdo?rel=0	https://www.youtube.com/embed/AkwWcHekMdo?rel=0	https://www.youtube.com/embed/WsbS4S5ehaU?rel=0	https://www.youtube.com/embed/AkwWcHekMdo?rel=0	https://www.youtube.com/embed/AkwWcHekMdo?rel=0
classroom_title_4	How disinformation works (WIRED)	Comment se répand une fausse information? (RTBF)	Conoce las noticias falsas que marcaron la agenda de este 2018	Πώς λειτουργεί η παραπληροφόρηση (WIRED)	Come funziona la disinformazione (WIRED)	كيف تعمل المعلومات المضللة؟	Wie Desinformation funktioniert (WIRED)	偽情報の仕組み (WIRED)	Hogyan működik a dezinformáció (WIRED)	Como funciona a desinformação (WIRED)	Kako funkcionira dezinformacija (WIRED)	Kako deluje dezinformacija (WIRED)
classroom_url_4	https://www.youtube.com/embed/frjITitjisY?rel=0	https://www.rtbf.be/embed/m?id=2149801&autoplay=0	https://www.youtube.com/embed/jDcI3akPjCE?rel=0	https://www.youtube.com/embed/frjITitjisY?rel=0	https://www.youtube.com/embed/frjititjisy؟rel=0	https://www.youtube.com/embed/frjITitjisY?rel=0		https://www.youtube.com/embed/frjITitjisY?rel=0	https://www.youtube.com/embed/frjITitjisY?rel=0	https://www.youtube.com/embed/jDcI3akPjCE?rel=0	https://www.youtube.com/embed/frjITitjisY?rel=0	https://www.youtube.com/embed/frjITitjisY?rel=0
