	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl
quiz_item_url_2	https://reveal-mklab.iti.gr/forensics_demo/Tsakalotos.jpg	https://reveal-mklab.iti.gr/forensics_demo/Tsakalotos.jpg	https://reveal-mklab.iti.gr/forensics_demo/Tsakalotos.jpg	https://reveal-mklab.iti.gr/forensics_demo/Tsakalotos.jpg	https://reveal-mklab.iti.gr/forensics_demo/Tsakalotos.jpg	https://reveal-mklab.iti.gr/forensics_demo/Tsakalotos.jpg	https://reveal-mklab.iti.gr/forensics_demo/Tsakalotos.jpg	https://reveal-mklab.iti.gr/forensics_demo/Tsakalotos.jpg	https://reveal-mklab.iti.gr/forensics_demo/Tsakalotos.jpg	https://reveal-mklab.iti.gr/forensics_demo/Tsakalotos.jpg	https://reveal-mklab.iti.gr/forensics_demo/Tsakalotos.jpg	https://reveal-mklab.iti.gr/forensics_demo/Tsakalotos.jpg
quiz_item_title_2													
quiz_item_answer_2	The picture shows the Greek minister of Economy Euclides Tsakalotos speaking in front of the painting The Scream of Norwegian painter Edvard Munch. In fact, this image is a parody: Tsakalotos was mocked for talking in front of a woman nude portait painted by Modigliani. Try the contextual menu on the picture to see the results with several image reverse search engines. The original image can be seen here:	La photo montre le ministre grec de l'Economie Euclide Tsakalotos parlant devant le tableau Le Cri du peintre norvégien Edvard Munch. En fait, cette image est une parodie : Tsakalotos a été ridiculisé pour avoir parlé devant un portrait de femme nue peint par Modigliani. Essayez le menu contextuel sur l'image pour voir les résultats avec plusieurs moteurs de recherche inversée d'images. L'image originale peut être vue ici :	La foto muestra al ministro de Economía griego Euclides Tsakalotos hablando frente al cuadro El grito del pintor noruego Edvard Munch. De hecho, esta imagen es una parodia: Se burlaron de Tsakalotos por hablar delante de un retrato de una mujer desnuda pintada por Modigliani. Pruebe el menú contextual de la imagen para ver los resultados con varios motores de búsqueda inversa de imágenes. La imagen original se puede ver aquí :	Η εικόνα δείχνει τον ΄Ελληνα υπουργό οικονομικών Ευκλείδη Τσακαλώτο να μιλάει μπροστά στον πίνακα 'Η Κραυγή' του νορβηγού ζωγράφου Edvard Munch. Στην πραγματικότητα, αυτή η εικόνα είναι μια παρωδία: Ο Τσακαλώτος είχε γίνει αντικείμενο υποτιμητικών σχολίων λόγω ομιλίας του μπροστά από πίνακα γυμνής γυναίκας του Modigliani. Δοκιμάστε το αναδυόμενο μενού πάνω στην εικόνα για να δείτε τα αποτελέσματα με αρκετές μηχανές αντίστροφης οπτικής αναζήτησης. Η αρχική εικόνα είναι διαθέσιμη εδώ:	La foto mostra il ministro greco dell'Economia Euclides Tsakalotos che parla di fronte al dipinto l'Urlo del pittore norvegese Edvard Munch. Infatti, questa immagine è una parodia: Tsakalotos è stato deriso per aver parlato di fronte a un retratto  di donna nuda dipinto da Modigliani. Prova il menu contestuale sull'immagine per vedere i risultati con diversi motori di ricerca inversa dell'immagine. L'immagine originale può essere vista qui:	Slika prikazuje grškega ministra za finance Evklida Tsakalotosa, ki govori pred sliko Krik norveškega slikarja Edvarda Muncha. Pravzaprav je ta slika parodija: Tsakalotosa so se posmehovali, ker je govoril pred portretom gole ženske, ki ga je naslikal Modigliani. Poskusite kontekstni meni na sliki, da si ogledate rezultate z več iskalniki za obratno iskanje slik. Izvirno sliko si lahko ogledate tukaj:	Das Bild zeigt den griechischen Wirtschaftsminister Euclides Tsakalotos, der vor dem Gemälde „Der Schrei“ des norwegischen Malers Edvard Munch spricht. Tatsächlich handelt es sich bei diesem Bild um eine Parodie: Tsakalotos wurde verspottet, weil er vor einem von Modigliani gemalten Aktporträt einer Frau sprach. Probieren Sie das Kontextmenü auf dem Bild aus, um die Ergebnisse mit verschiedenen Bild-Rückwärtssuchmaschinen anzuzeigen. Das Originalbild finden Sie hier:	写真は、ギリシャの経済大臣エウクレイデス・ツァカロトスが、ノルウェーの画家エドヴァルド・ムンクの絵画「叫び」の前で話している様子を示しています。実際、この画像はパロディです。ツァカロトスは、モディリアーニが描いたヌード女性の肖像画の前で話したことで嘲笑されました。画像上のコンテキストメニューを試して、いくつかの画像逆検索エンジンで結果を確認してください。元の画像はこちらで確認できます。	A kép Euclides Tsakalotos görög gazdasági minisztert ábrázolja, amint Edvard Munch norvég festő A sikoly című festménye előtt beszél. Valójában ez a kép paródia: Tsakalotos-t kigúnyolták, mert Modigliani által festett meztelen női portré előtt beszélt. Próbálja ki a kép helyi menüjét, hogy megtekinthesse az eredményeket több képfordított keresőmotorral. Az eredeti kép itt látható:	A imagem mostra o ministro da Economia grego Euclides Tsakalotos falando na frente da pintura O Grito do pintor norueguês Edvard Munch. Na verdade, esta imagem é uma paródia: Tsakalotos foi ridicularizado por falar na frente de um retrato de mulher nua pintado por Modigliani. Experimente o menu contextual na imagem para ver os resultados com vários mecanismos de busca reversa de imagens. A imagem original pode ser vista aqui:	Slika prikazuje grčkog ministra gospodarstva Euclidesa Tsakalotosa kako govori ispred slike "Krik" norveškog slikara Edvarda Muncha. Zapravo, ova slika je parodija: Tsakalotos je bio ismijavan zbog govorenja ispred portreta gole žene koju je naslikao Modigliani. Pokušajte kontekstni izbornik na slici da biste vidjeli rezultate s nekoliko pretraživača za obrnuto pretraživanje slika. Originalna slika može se vidjeti ovdje:	Slika prikazuje grškega ministra za finance Evklida Tsakalotosa, ki govori pred sliko Krik norveškega slikarja Edvarda Muncha. Pravzaprav je ta slika parodija: Tsakalotosa so se posmehovali, ker je govoril pred portretom gole ženske, ki ga je naslikal Modigliani. Poskusite kontekstni meni na sliki, da si ogledate rezultate z več iskalniki za obratno iskanje slik. Izvirno sliko si lahko ogledate tukaj:
quiz_item_answer_2_url	https://www.aftodioikisi.gr/paraskinia/o-kallianos-evgale-porno-ton-montiliani/	https://www.aftodioikisi.gr/paraskinia/o-kallianos-evgale-porno-ton-montiliani/	https://www.aftodioikisi.gr/paraskinia/o-kallianos-evgale-porno-ton-montiliani/	https://www.aftodioikisi.gr/paraskinia/o-kallianos-evgale-porno-ton-montiliani/	https://www.aftodioikisi.gr/paraskinia/o-kallianos-evgale-porno-ton-montiliani/	https://www.aftodioikisi.gr/paraskinia/o-kallianos-evgale-porno-ton-montiliani/	https://www.aftodioikisi.gr/paraskinia/o-kallianos-evgale-porno-ton-montiliani/	https://www.aftodioikisi.gr/paraskinia/o-kallianos-evgale-porno-ton-montiliani/	https://www.aftodioikisi.gr/paraskinia/o-kallianos-evgale-porno-ton-montiliani/	https://www.aftodioikisi.gr/paraskinia/o-kallianos-evgale-porno-ton-montiliani/	https://www.aftodioikisi.gr/paraskinia/o-kallianos-evgale-porno-ton-montiliani/	https://www.aftodioikisi.gr/paraskinia/o-kallianos-evgale-porno-ton-montiliani/
quiz_item_url_3	https://reveal-mklab.iti.gr/forensics_demo/WhaleKayak.jpg	https://reveal-mklab.iti.gr/forensics_demo/WhaleKayak.jpg	https://reveal-mklab.iti.gr/forensics_demo/WhaleKayak.jpg	https://reveal-mklab.iti.gr/forensics_demo/WhaleKayak.jpg	https://reveal-mklab.iti.gr/forensics_demo/WhaleKayak.jpg	https://reveal-mklab.iti.gr/forensics_demo/WhaleKayak.jpg	https://reveal-mklab.iti.gr/forensics_demo/WhaleKayak.jpg	https://reveal-mklab.iti.gr/forensics_demo/WhaleKayak.jpg	https://reveal-mklab.iti.gr/forensics_demo/WhaleKayak.jpg	https://reveal-mklab.iti.gr/forensics_demo/WhaleKayak.jpg	https://reveal-mklab.iti.gr/forensics_demo/WhaleKayak.jpg	https://reveal-mklab.iti.gr/forensics_demo/WhaleKayak.jpg
quiz_item_title_3													
quiz_item_answer_3	This picture is a composite image made from two photos taken in 2010 in Alaska. For more info see :	Cette photo est une image composite réalisée à partir de deux photos prises en 2010 en Alaska. Pour davantage d'information regarder :	Esta foto es una imagen compuesta de dos fotos tomadas en 2010 en Alaska. Para más información ver :	Αυτός ο Καναδός Σιχ είχε απεικονιστεί στο Twitter ως τρομοκράτης, φορώντας ένα γιλέκο εκρηκτικών και κρατώντας το Κοράνι πριν από τις επιθέσεις του Παρισιού τον Νοέμβριο του 2015. Στην πραγματικότητα, στην πρωτότυπη φωτογραφία που είχε δημοσιεύσει ο ίδιος, έπαιρνε μία selfie μπροστά σε καθρέφτη με το iPad του. Περισσότερες πληροφορίες:	Questa immagine è un'immagine composita composta da due foto scattate nel 2010 in Alaska. Per maggiori informazioni vedere:	Ova slika je kompozitna slika sastavljena od dvije fotografije snimljene 2010. na Aljasci. Za više informacija pogledajte:	Dieses Bild ist ein zusammengesetztes Bild aus zwei Fotos, die 2010 in Alaska aufgenommen wurden. Weitere Informationen finden Sie unter:	この写真は、2010年にアラスカで撮影された2枚の写真から作られた合成画像です。詳細については、次を参照してください。	Ez a kép két, 2010-ben Alaszkában készült fotóból álló kompozit kép. További információkért lásd:	Esta foto é uma imagem composta de duas fotos tiradas em 2010 no Alasca. Para mais informações, veja:	Ova slika je kompozitna slika sastavljena od dvije fotografije snimljene 2010. na Aljasci. Za više informacija pogledajte:	Ta slika je sestavljena iz dveh fotografij, posnetih leta 2010 na Aljaski. Za več informacij glejte:
quiz_item_answer_3_url	https://www.snopes.com/fact-check/big-gulp/	https://www.snopes.com/fact-check/big-gulp/	https://www.snopes.com/fact-check/big-gulp/	https://www.theguardian.com/world/2015/nov/16/canadian-pictured-as-paris-terrorist-in-suspected-gamergate-smearl	https://www.snopes.com/fact-check/big-gulp/	https://www.snopes.com/fact-check/big-gulp/	https://www.snopes.com/fact-check/big-gulp/	https://www.snopes.com/fact-check/big-gulp/	https://www.snopes.com/fact-check/big-gulp/	https://www.snopes.com/fact-check/big-gulp/	https://www.snopes.com/fact-check/big-gulp/	https://www.snopes.com/fact-check/big-gulp/
quiz_item_url_4	https://reveal-mklab.iti.gr/forensics_demo/sikh2.jpg	https://reveal-mklab.iti.gr/forensics_demo/sikh2.jpg	https://reveal-mklab.iti.gr/forensics_demo/sikh2.jpg	https://reveal-mklab.iti.gr/forensics_demo/sikh2.jpg	https://reveal-mklab.iti.gr/forensics_demo/sikh2.jpg	https://reveal-mklab.iti.gr/forensics_demo/sikh2.jpg	https://reveal-mklab.iti.gr/forensics_demo/sikh2.jpg	https://reveal-mklab.iti.gr/forensics_demo/sikh2.jpg	https://reveal-mklab.iti.gr/forensics_demo/sikh2.jpg	https://reveal-mklab.iti.gr/forensics_demo/sikh2.jpg	https://reveal-mklab.iti.gr/forensics_demo/sikh2.jpg	https://reveal-mklab.iti.gr/forensics_demo/sikh2.jpg
quiz_item_title_4													
quiz_item_answer_4	This Canadian Sikh man was pictured on Twitter as a terrorist wearing a suicide vest and a Qur'an book before the Paris attacks in November 2015. In fact, in the original picture that he tweeted himself, he was taking a selfie in front of a mirror with his iPad. More info:	Cet homme sikh canadien a été photographié sur Twitter comme un terroriste portant une veste de kamikaze et un livre coranique avant les attaques de Paris en novembre 2015. En fait, sur la photo originale qu'il a lui-même tweeté, il prenait un selfie devant un miroir avec son iPad. Plus d'informations:	Este hombre sij canadiense fue fotografiado en Twitter como un terrorista que llevaba un chaleco suicida y un libro del Corán antes de los atentados de París en noviembre de 2015. De hecho, en la foto original que tuiteó el mismo, se estaba tomando una foto frente a un espejo con su iPad. Más información:	Αυτή η φωτογραφία κυκλοφόρησε στη Γαλλία ως μια συγκέντρωση φανατικών μουσουλμάνων γυναικών που περιμένουν μπροστά από το γαλλικό δημόσιο φορέα για οικογενειακές παροχές. Στην πραγματικότητα, η φωτογραφία τραβήχτηκε στο Λονδίνο έξω από ένα αστυνομικό τμήμα κατά πάσα πιθανότητα το 2015. Το λογόγο πάνω δεξιά (από το γαλλικό δημόσιο φορέα για οικογενειακές παροχές) προστέθηκε στην πρωτότυπη εικόνα που είχε περικοπεί για να αποφευχθεί η εμφάνιση πινακίδας λεωφορείων Λονδίνου, όπως και το όνομα αστυνομικού τμήματος στο κτίριο. Περισσότερες πληροφορίες:	Questo uomo Sikh canadese è stato raffigurato su Twitter come terrorista che indossa un giubbotto suicida e un Corano prima degli attacchi di Parigi a novembre 2015. Infatti, nell'immagine originale che lui stesso ha twittato, stava prendendo un selfie di fronte a uno specchio con il suo iPad. Ulteriori informazioni:	Ta kanadski Sikh je bil na Twitterju prikazan kot terorist, ki nosi samomorilski jopič in knjigo Korana pred pariškimi napadi novembra 2015. V resnici je na izvirni sliki, ki jo je sam tvitnil, posnel selfi pred ogledalom s svojim iPadom. Več informacij:	Dieses kanadische Sikh-Mann wurde auf Twitter als Terrorist dargestellt, der vor den Pariser Anschlägen im November 2015 eine Selbstmordweste und ein Koranbuch trug. Tatsächlich machte er auf dem Originalbild, das er selbst getwittert hatte, ein Selfie vor einem Spiegel mit seinem iPad. Weitere Informationen:	このカナダのシーク教徒の男性は、2015年11月のパリ攻撃前に、自爆ベストとクルアーンを着用したテロリストとしてTwitterに投稿されました。実際、彼自身がツイートした元の写真では、iPadを持って鏡の前で自撮りをしていました。詳細情報:	Ez a kanadai szikh férfit terroristaként ábrázolták a Twitteren, aki öngyilkos mellényt és Koránt visel a 2015 novemberi párizsi támadások előtt. Valójában az eredeti képen, amit ő maga tweetelt, iPadjével tükör előtt szelfizett. További információk:	Este homem Sikh canadense foi retratado no Twitter como um terrorista vestindo um colete suicida e um livro do Alcorão antes dos ataques de Paris em novembro de 2015. Na verdade, na imagem original que ele mesmo tuitou, ele estava tirando uma selfie na frente de um espelho com seu iPad. Mais informações:	Ovaj kanadski Sikh prikazan je na Twitteru kao terorist koji nosi samoubilački prsluk i knjigu Kurana prije napada u Parizu u studenom 2015. Zapravo, na originalnoj slici koju je sam tvitao, slikao je selfie ispred ogledala sa svojim iPadom. Više informacija:	Ta kanadski Sikh je bil na Twitterju prikazan kot terorist, ki nosi samomorilski jopič in knjigo Korana pred pariškimi napadi novembra 2015. V resnici je na izvirni sliki, ki jo je sam tvitnil, posnel selfi pred ogledalom s svojim iPadom. Več informacij:
quiz_item_answer_4_url	https://www.theguardian.com/world/2015/nov/16/canadian-pictured-as-paris-terrorist-in-suspected-gamergate-smearl	https://www.theguardian.com/world/2015/nov/16/canadian-pictured-as-paris-terrorist-in-suspected-gamergate-smearl	https://www.theguardian.com/world/2015/nov/16/canadian-pictured-as-paris-terrorist-in-suspected-gamergate-smearl	https://observers.france24.com/en/20180824-verification-guide-cropped-photo-video	https://www.theguardian.com/world/2015/nov/16/canadian-pictured-as-paris-terrorist-in-suspected-gamergate-smearl	https://www.theguardian.com/world/2015/nov/16/canadian-pictured-as-paris-terrorist-in-suspected-gamergate-smearl	https://www.theguardian.com/world/2015/nov/16/canadian-pictured-as-paris-terrorist-in-suspected-gamergate-smearl	https://www.theguardian.com/world/2015/nov/16/canadian-pictured-as-paris-terrorist-in-suspected-gamergate-smearl	https://www.theguardian.com/world/2015/nov/16/canadian-pictured-as-paris-terrorist-in-suspected-gamergate-smearl	https://www.theguardian.com/world/2015/nov/16/canadian-pictured-as-paris-terrorist-in-suspected-gamergate-smearl	https://www.theguardian.com/world/2015/nov/16/canadian-pictured-as-paris-terrorist-in-suspected-gamergate-smearl	https://www.theguardian.com/world/2015/nov/16/canadian-pictured-as-paris-terrorist-in-suspected-gamergate-smearl
quiz_item_url_5	https://reveal-mklab.iti.gr/forensics_demo/AllocationsFamiliales.jpg	https://reveal-mklab.iti.gr/forensics_demo/AllocationsFamiliales.jpg	https://reveal-mklab.iti.gr/forensics_demo/AllocationsFamiliales.jpg	https://reveal-mklab.iti.gr/forensics_demo/AllocationsFamiliales.jpg	https://reveal-mklab.iti.gr/forensics_demo/AllocationsFamiliales.jpg	https://reveal-mklab.iti.gr/forensics_demo/AllocationsFamiliales.jpg	https://reveal-mklab.iti.gr/forensics_demo/AllocationsFamiliales.jpg	https://reveal-mklab.iti.gr/forensics_demo/AllocationsFamiliales.jpg	https://reveal-mklab.iti.gr/forensics_demo/AllocationsFamiliales.jpg	https://reveal-mklab.iti.gr/forensics_demo/AllocationsFamiliales.jpg	https://reveal-mklab.iti.gr/forensics_demo/AllocationsFamiliales.jpg	https://reveal-mklab.iti.gr/forensics_demo/AllocationsFamiliales.jpg
quiz_item_title_5													
